sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
high_school_government_and_politics/test/0,high_school_government_and_politics,Social Sciences,Which of the following best describes the balance the Supreme Court has struck between the establishment clause and the free-exercise clause?,"Freedom of speech is protected except in certain situations, such as yelling ""fire"" in a crowded theater.","Once a church has been recognized by the federal government, its tax-exempt status can never be revoked.","Once Congress has created an administrative agency, that agency can be dissolved only by a constitutional amendment.","State-sponsored prayer during school hours is prohibited, but voluntary prayer by student groups before school is allowed.",D,[],[],[],[],[],[],-,False
high_school_government_and_politics/test/1,high_school_government_and_politics,Social Sciences,Which of the following statements does NOT accurately describe voting behavior in the United States?,Registered voters between the ages of 35 and 45 are more likely to vote than are those under the age of 21.,A registered voter who has attained his or her General Educational Development (GED) is less likely to vote than a high school dropout.,Registered voters are more likely to vote in general elections than they are in primary elections.,More women than men have voted in every presidential election since 1980.,B,"['regional', 'regional', 'regional', 'regional', 'regional', 'cultural']","['Yes', 'Yes', 'Yes', 'Yes', 'No', 'Yes']","[{'end': 99, 'label': 'Geographic', 'score': None, 'start': 63}, {'end': 99, 'label': 'Geographic', 'score': None, 'start': 86}, {'end': 99, 'label': 'Geographic', 'score': None, 'start': 63}, {'end': 78, 'label': 'Cultural', 'score': None, 'start': 63}, {'end': 99, 'label': 'Geographic', 'score': None, 'start': 86}, {'end': 99, 'label': 'Cultural', 'score': None, 'start': 63}]","['Western Culture', 'Western Culture', 'Western Culture', 'Western Culture']","['North America', 'North America', 'North America', 'North America', 'North America']","['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True
high_school_government_and_politics/test/2,high_school_government_and_politics,Social Sciences,Which of the following plays the most significant role in forming a child's political views?,The geographical area in which the child grows up,The child's family,The media to which the child is exposed,The child's religion,B,[],[],[],[],[],[],-,False
high_school_government_and_politics/test/5,high_school_government_and_politics,Social Sciences,Federal judges are subject to which of the following disciplinary actions?,"Impeachment, conviction, and removal from office by Congress",Removal from office by the appointing president,Removal from office by the president-elect,Recall elections by citizens residing in the district over which the judge has jurisdiction,A,[],[],[],[],[],[],-,False
high_school_government_and_politics/test/6,high_school_government_and_politics,Social Sciences,The amount of access cabinet secretaries have to the president is most likely to be controlled by the,vice president,president's chief of staff,national security advisor,chair of the Federal Reserve Board,B,[],[],[],[],[],[],-,False
high_school_government_and_politics/test/7,high_school_government_and_politics,Social Sciences,Which of the following defines the salience of a political issue?,The amount of coverage the issue receives in the major news media,The degree to which public opinion on the issue is likely to shift quickly,The number of people affected by the issue,The importance of the issue to a particular individual or group,D,[],[],[],[],[],[],-,False
high_school_government_and_politics/test/8,high_school_government_and_politics,Social Sciences,Voters who rely exclusively on television network news coverage of national elections are most likely to be aware of,which special interest groups have endorsed which candidates,"the relative strength of each candidate's support, as indicated by public opinion polls",candidates' positions on international issues,candidates' positions on domestic issues,B,[],[],[],[],[],[],-,False
high_school_government_and_politics/test/10,high_school_government_and_politics,Social Sciences,Which of the following people would most likely be accused of influence peddling?,A congressperson who retires to take a position teaching political science at a university,A former president who advises a current president on a particular foreign policy issue,A voter who researches the positions of all candidates in a race before choosing whom to support,An official who leaves the State Department to work as a paid consultant to foreign governments,D,[],[],[],[],[],[],-,False
high_school_government_and_politics/test/11,high_school_government_and_politics,Social Sciences,Which of the following does the Supreme Court NOT have the power to override?,Constitutional amendments,Presidential executive orders,Laws passed by Congress,Laws passed by state legislatures,A,"['regional', 'none', 'regional', 'regional']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],"['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True
high_school_government_and_politics/test/12,high_school_government_and_politics,Social Sciences,"According to The Federalist Papers, federalism has which of the following effects on political factions?",It provides a structured environment in which factions may flourish.,It limits the dangers of factionalism by diluting political power.,It allows factions to dominate on the national level while limiting their influence on state governments.,It eliminates any opportunity for factions to form.,B,[],[],[],[],[],[],-,False
high_school_government_and_politics/test/13,high_school_government_and_politics,Social Sciences,Which of the following statements about voting patterns is NOT true?,Non-whites are more likely to vote Democratic than are whites.,Women are more likely to vote Democratic than are men.,Low-income Americans are more likely to vote Democratic than are upper-income Americans.,Evangelical Christians are more likely to vote Democratic than are non-religious Americans.,D,"['cultural', 'regional', 'none', 'regional']","['Yes', 'Yes', 'No', 'No']","[{'end': 55, 'label': 'Cultural', 'score': None, 'start': 40}, {'end': 55, 'label': 'Cultural', 'score': None, 'start': 40}, '-', '-']","['Western Culture', 'Western Culture']","['North America', 'North America', 'North America']","['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True
high_school_government_and_politics/test/15,high_school_government_and_politics,Social Sciences,Voters in which of the following categories would be LEAST likely to vote?,Blue-collar workers who belong to a union,Professionals,Voters who are active in their political parties,Voters aged 18-29,D,"['regional', 'cultural', 'regional', 'cultural']","['Yes', 'No', 'Yes', 'No']","[{'end': 73, 'label': 'Cultural', 'score': None, 'start': 53}, {'end': 73, 'label': 'Cultural', 'score': None, 'start': 53}, {'end': 73, 'label': 'Cultural', 'score': None, 'start': 53}, {'end': 74, 'label': 'Cultural', 'score': None, 'start': 53}]",[],[],[],CS,True
high_school_government_and_politics/test/22,high_school_government_and_politics,Social Sciences,"The Supreme Court issued the opinion quoted below in its ruling on which of the following cases? ""We conclude that in the field of education the doctrine of 'separate but equal' has no place. Separate educational facilities are inherently unequal.""",Gideon v. Wainwright,Marbury v. Madison,Engel v. Vitale,Brown v. Board of Education of Topeka,D,[],[],[],[],[],[],-,False
high_school_government_and_politics/test/25,high_school_government_and_politics,Social Sciences,Federal election laws are designed to achieve all of the following EXCEPT,require disclosure of campaign donations,"prevent campaigns from issuing ""attack"" ads",limit campaign contributions,require disclosure of campaign expenditures,B,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 21, 'label': 'Geographic', 'score': None, 'start': 0}, {'end': 21, 'label': 'Geographic', 'score': None, 'start': 0}, '-', '-']",[],['North America'],"['United States of America (USA)', 'United States of America (USA)']",CS,True
high_school_government_and_politics/test/26,high_school_government_and_politics,Social Sciences,"The president executes a ""pocket veto"" by doing which of the following?",Publicly expressing rejection of a bill,Issuing an executive order invalidating a recently passed bill,Failing to sign a bill after Congress has adjourned,Recalling ambassadors from a peace negotiation,C,[],[],[],[],[],[],-,False
