sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
medical_genetics/test/6,medical_genetics,Medical,Intergenerational transmission to offspring can occur as a result of parental exposures to ______.,war,natural disasters,hunger,all of these,D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
medical_genetics/test/10,medical_genetics,Medical,Which of the following is not a chromosome instability syndrome?,Klinefelter syndrome,Ataxia telangiectasia,Fanconi anaemia,Bloom syndrome,A,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
medical_genetics/test/12,medical_genetics,Medical,In a condition such as schizophrenia the recurrence risk will be greatest for which of the following relatives of an affected individual?,Brother,Nephew,Grandchild,Aunt,A,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
medical_genetics/test/14,medical_genetics,Medical,Which of the following is an example of monosomy?,"46,XX","47,XXX","69,XYY","45,X",D,"['none', 'none', 'none', 'none', 'none']","['No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",[],[],[],CA,True
medical_genetics/test/17,medical_genetics,Medical,It is currently estimated that there are ______ human protein-coding genes although this estimate may be reduced over time.,"10,000–15,000","19,000–20,000","29,000–30,000","100,000",B,"['none', 'none', 'none', 'none']","['No', 'No', 'Yes', 'Yes']","['-', '-', '-', '-']",[],[],[],CA,True
medical_genetics/test/18,medical_genetics,Medical,With which of the following relatives is an individual most likely to share a common HLA haplotype?,Father,Mother,Sister,Son,C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
medical_genetics/test/19,medical_genetics,Medical,Which of the following genes conveys susceptibility for polygenic Alzheimer disease?,APP,PS1,PS2,APOE,D,[],[],[],[],[],[],-,False
medical_genetics/test/24,medical_genetics,Medical,Which of the following karyotypes is diagnostic of Down syndrome,"46,XX,der(14;21)(q10;q10)pat+21","47,XY,+13","45,XX,rob,(14;21)(q10;q10)","46,XY,t(2;3)(q21;q12)",A,[],[],[],[],[],[],-,False
medical_genetics/test/25,medical_genetics,Medical,"Nature is more important for ______ differences, while nurture has greater influence on ______ differences.",structural and anatomical; psychological and social,psychological and social; structural and anatomical,structural and psychological; anatomical and social,social and anatomical; psychological and structural,A,[],[],[],[],[],[],-,False
medical_genetics/test/26,medical_genetics,Medical,Which of the following would result in Angelman syndrome?,Maternal UPD 15,Paternal UPD 15,Deletion in the paternally derived chromosome 15,A mutation in the SNRPN promoter,B,[],[],[],[],[],[],-,False
medical_genetics/test/28,medical_genetics,Medical,Research from Moshe Szyf and colleagues has provided significant findings on the epigenetic influences of prenatal maternal stress. This work has been labelled ______.,developmental epigenetics,social epigenetics,fetal epigenetics,maternal epigenetics,B,[],[],[],[],[],[],-,False
medical_genetics/test/29,medical_genetics,Medical,If both parents are affected with the same autosomal recessive disorder then the probability that each of their children will be affected equals ___.,1 in 4,1 in 2,2 in 3,1,D,[],[],[],[],[],[],-,False
medical_genetics/test/34,medical_genetics,Medical,The proportion of babies that have an abnormality identifiable at birth is _____.,1 in 10,1 in 40,1 in 100,1 in 500,B,[],[],[],[],[],[],-,False
medical_genetics/test/35,medical_genetics,Medical,______ explained genetic disorders such as alkaptonuria and albinism.,Recessive inheritance has,Dominant genes have,X chromosomes,Y chromosomes,A,[],[],[],[],[],[],-,False
medical_genetics/test/36,medical_genetics,Medical,Which of the following conditions shows anticipation in paternal transmission?,Huntington disease,Marfan syndrome,Cystic fibrosis,Fragile X syndrome,A,[],[],[],[],[],[],-,False
medical_genetics/test/38,medical_genetics,Medical,Which of the following is not a familial cancer syndrome,Familial adenomatous polyposis,Li-Fraumeni syndrome,Von Hippel-Lindau syndrome,Waardenburg syndrome,D,[],[],[],[],[],[],-,False
medical_genetics/test/39,medical_genetics,Medical,"The epigenetic inheritance system has been described as ______ (Mayr and Provine, 1980).",genotype inheritance,soft inheritance,RNA inheritance,hard inheritance,B,"['none', 'none', 'none', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",['Western Culture'],[],[],CA,True
medical_genetics/test/41,medical_genetics,Medical,"If an X-linked recessive disorder is in Hardy-Weinberg equilibrium and the incidence in males equals 1 in 100, then the expected incidence of affected homozygous females would be _______.",1 in 1000,1 in 4000,1 in 10 000,1 in 40 000,C,"['none', 'none', 'none', 'none', 'none']","['No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",[],[],[],CA,True
medical_genetics/test/42,medical_genetics,Medical,Tay-Sachs disease is caused by deficiency of _________________?,Alpha-L-iduronidase,Glucose-6-phosphatase,Hexosaminidase A,Homogentisic acid oxidase,C,[],[],[],[],[],[],-,False
medical_genetics/test/46,medical_genetics,Medical,"______ has been described as the phenomenon by which one genotype can give rise to a range of different physiological or morphological states in response to different environmental conditions during development (West-Eberhard, 1989).",Fetal plasticity,The fetal origins hypothesis,Developmental plasticity,Environmental plasticity,C,"['none', 'none', 'none', 'none', 'none', 'none', 'regional']","['No', 'No', 'No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-', '-', '-']",[],['North America'],['United States of America (USA)'],CA,True
medical_genetics/test/48,medical_genetics,Medical,The proportion of genes shared by first cousins is on average ___.,1.0/2,1.0/4,1.0/8,1.0/16,C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
medical_genetics/test/49,medical_genetics,Medical,Which of the following is not a tumour suppressor gene?,APC,NF1,RB1,RET,D,[],[],[],[],[],[],-,False
medical_genetics/test/50,medical_genetics,Medical,Which of the following is a feature of X-linked dominant inheritance?,Parental consanguinity,Male to male transmission,Transmission only by females,Transmitted by males only to females,D,[],[],[],[],[],[],-,False
