sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
us_foreign_policy/test/31,us_foreign_policy,Social Sciences,Intergovernmental organizations SELDOM do which of the following?,Provide strong enforcement,Monitor parties,Provide fora for discussion,Reduce transaction costs for agreements,A,"['none', 'none', 'none', 'none', 'cultural', 'none', 'none', 'none']","['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-', '-', '-', '-']",['Western Culture'],[],[],CA,True
us_foreign_policy/test/32,us_foreign_policy,Social Sciences,Which of the following are possible constraints on US foreign policy decision making?,Foreign policies of other states,International law,Intergovernmental organizations,All of the above,D,"['regional', 'regional', 'regional', 'regional']","['Yes', 'No', 'Yes', 'No']","['-', '-', '-', '-']",['Western Culture'],['North America'],"['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True
us_foreign_policy/test/39,us_foreign_policy,Social Sciences,"Which of the following considers it immoral to use force abroad to do good things (such human rights protection, democracy, etc)?",Realism,Idealism,Liberalism,None of the above,A,[],[],[],[],[],[],-,False
us_foreign_policy/test/43,us_foreign_policy,Social Sciences,Which of the following are possible constraints on US foreign policy decision making?,Foreign policies of other states,International law,Intergovernmental organizations,All of the above,D,[],[],[],[],[],[],-,False
us_foreign_policy/test/52,us_foreign_policy,Social Sciences,Bureaucratic politics suggests we should be worried about which of the following with regard to nuclear weapons?,Having the capability to deter the most powerful rival,Having the capability to deter smaller states,How nuclear attacks are identified and responded to; who controls the weapons,Bureaucratic politics provides no information about nuclear proliferation and use,C,"['none', 'cultural', 'none', 'none']","['No', 'Yes', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
us_foreign_policy/test/55,us_foreign_policy,Social Sciences,The best known and perhaps most important international organization is,the United Nations.,the North Atlantic Treaty Organization (NATO).,the Organization of Petroleum Exporting Countries (OPEC).,the World Trade Organization (WTO).,A,"['none', 'none', 'none', 'cultural']","['No', 'No', 'No', 'Yes']","['-', '-', '-', '-']",['Western Culture'],[],[],CA,True
us_foreign_policy/test/57,us_foreign_policy,Social Sciences,Global and regional international trade agreements work by using which of the following mechanisms?,Reciprocity across multiple issues,Reputational concerns of the actors,Side payments for adjusting to the organization (such as the Common Agricultural Policy in the EU),ALL of the above,D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
us_foreign_policy/test/64,us_foreign_policy,Social Sciences,How many states in the international system are likely to have nuclear weapons right now?,Fewer than 7,Between 8 and 15,Between 16 and 25,More than 25,B,[],[],[],[],[],[],-,False
us_foreign_policy/test/84,us_foreign_policy,Social Sciences,Which of the following considers states to be the primary actors in international relations?,Realism,Idealism,Liberalism,None of the above,A,"['regional', 'regional', 'cultural', 'none', 'none']","['No', 'Yes', 'No', 'No', 'No']","[{'end': 39, 'label': 'Geographic', 'score': None, 'start': 33}, {'end': 92, 'label': 'Geographic', 'score': None, 'start': 68}, '-', '-', '-']",['Western Culture'],[],['United States of America (USA)'],CS,True
us_foreign_policy/test/89,us_foreign_policy,Social Sciences,Which of the following points supports the argument for American unilateralism?,Benevolent hegemony,Ineffectiveness of multilateralism,American power,All of the above,D,[],[],[],[],[],[],-,False
us_foreign_policy/test/95,us_foreign_policy,Social Sciences,Which of the following is NOT a good predictor of which states will get nuclear weapons?,Receipt of sensitive nuclear assistance,Wealth/GDP,Rivalry with a nuclear state,Regime type,D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
