sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
human_sexuality/test/1,human_sexuality,Social Sciences,"The regions of the body that, when touched, are sexually exciting:",vary from person to person,vary for women depending on the phases of the menstrual cycle,are mainly on the lower portion of the body,all of the above,D,[],[],[],[],[],[],-,False
human_sexuality/test/4,human_sexuality,Social Sciences,Sociobiologists believe that there are more males than females with paraphilias because:,paraphilias guarantee survival of the species,evolutionary selection has favored the development of males who respond to novel sexual stimuli,of left brain/right brain differences between the genders,male brains are better developed than are female brains,B,[],[],[],[],[],[],-,False
human_sexuality/test/6,human_sexuality,Social Sciences,What is cocaine abuse during pregnancy related to?,an increased risk of low birth weight babies,poorer growth and lower intelligence,smaller head circumference,all of the above,D,[],[],[],[],[],[],-,False
human_sexuality/test/9,human_sexuality,Social Sciences,Judaism regards sexuality as,inherently evil,God's afterthought and has become an aberration,a gift from God,primarily a biological function,C,"['cultural', 'cultural', 'cultural', 'cultural']","['No', 'No', 'No', 'No']","[{'end': 7, 'label': 'Cultural', 'score': None, 'start': 0}, {'end': 7, 'label': 'Cultural', 'score': None, 'start': 0}, '-', '-']","['Other', 'Middle Eastern Culture', 'Western Culture']",[],[],CS,True
human_sexuality/test/10,human_sexuality,Social Sciences,Freud said that the penis first becomes the major focus of pleasure-seeking at:,birth,about age 1,between the ages of 3 and 6,puberty,C,[],[],[],[],[],[],-,False
human_sexuality/test/11,human_sexuality,Social Sciences,"What makes a relationships last, according to Sternberg?",intimacy,commitment,decision,passion,B,"['regional', 'none', 'none']","['No', 'No', 'No']","['-', '-', '-', '-']",[],['North America'],['United States of America (USA)'],CA,True
human_sexuality/test/12,human_sexuality,Social Sciences,The position that abortion is murder is held by certain people in which religion?,Orthodox Jews,Fundamentalist Protestants,Eastern Orthodox Christians,all of the above,D,[],[],[],[],[],[],-,False
human_sexuality/test/13,human_sexuality,Social Sciences,"Orders of monks and nuns found both in Eastern religions and in Christianity who affirm celibacy, virginity, and poverty follow the ethical system of:",legalism,asceticism,situationism,hedonism,B,"['cultural', 'none', 'regional', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']","['Western Culture', 'Western Culture']",['North America'],[],CS,True
human_sexuality/test/14,human_sexuality,Social Sciences,Ovaries and testes,are homologous,produce gametes,produce sex hormones,all of the above,D,[],[],[],[],[],[],-,False
human_sexuality/test/15,human_sexuality,Social Sciences,Simon LeVay studied the brains of heterosexuals and homosexuals. He found differences in:,the cortical activity of these two groups,the overall brain weights of these two groups,the cell structure in the hypothalamus of these two groups,blood volume and metabolism of sugars in the brains of these two groups,C,"['none', 'none', 'cultural', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",['Western Culture'],[],['United States of America (USA)'],CA,True
human_sexuality/test/18,human_sexuality,Social Sciences,"In the scientific community, women's capacity for multiple orgasms was originally discovered by:",Kinsey,Freud,Masters and Johnson,Kaplan,A,"['regional', 'none', 'none', 'none', 'regional']","['No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",[],"['North America', 'North America']","['United States of America (USA)', 'United States of America (USA)']",CA,True
human_sexuality/test/21,human_sexuality,Social Sciences,The average male genital size is approximately,4 inches,5 inches,7 inches,1 foot,B,[],[],[],[],[],[],-,False
human_sexuality/test/24,human_sexuality,Social Sciences,"What seems to be the case when the folk saying ""opposites attract"" (i.e., dissimilar attitudes tend to cause liking) when it is considered in light of current research?",It does not seem to be true.,It seems to be true for heterosexuals but not for homosexuals.,It seems to be true for homosexuals but not for heterosexuals.,It seems to be true for women but not for men,A,"['none', 'none', 'none', 'none']","['No', 'No', 'Yes', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
human_sexuality/test/27,human_sexuality,Social Sciences,How is endometriosis generally treated?,antiprosaglandin drugs,prostaglandin drugs,hormones,aspirin,C,[],[],[],[],[],[],-,False
human_sexuality/test/28,human_sexuality,Social Sciences,"Before the Masters and Johnson research, it was thought that vaginal lubrication was due to secretions of",Cowper's gland,Prostate gland,Bartholin glands,Adrenal gland,C,[],[],[],[],[],[],-,False
human_sexuality/test/30,human_sexuality,Social Sciences,The environment for sperm passage is most hospitable just at,preovulation,proliferation,ovulation,menstruation,C,[],[],[],[],[],[],-,False
human_sexuality/test/31,human_sexuality,Social Sciences,Secretions of Cowper's gland fluid at the tip of the penis are first evident:,following orgasm,immediately before orgasm,prior to vasocongestion,during the plateau phase,D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
human_sexuality/test/34,human_sexuality,Social Sciences,The onset (the very beginning) of labor is first triggered by,hormones secreted by the Mother's ovaries,hormones secreted by the Mother's hypothalamus,hormones secreted by the fetus' adrenal gland,the placenta and uterus secretion of prostaglandins,C,[],[],[],[],[],[],-,False
human_sexuality/test/35,human_sexuality,Social Sciences,One of the first models of the physiology of the human sexual response was provided by,Henry Havelock Ellis,Sigmund Freud,Linda George and Stephen Weiler,William Masters and Virginia Johnson,D,[],[],[],[],[],[],-,False
human_sexuality/test/37,human_sexuality,Social Sciences,We are attracted to a person who is similar to us in attitudes because:,we get positive reinforcement from that person agreeing with us,the other person's agreement bolsters our sense of rightness,we anticipate positive interactions with that person,all of the above,D,[],[],[],[],[],[],-,False
human_sexuality/test/42,human_sexuality,Social Sciences,The two principles that deal with questions of values are:,religion and ethics,faith and science,legal and ethics,legal and religion,A,"['none', 'none', 'none']","['No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
human_sexuality/test/43,human_sexuality,Social Sciences,Studies conducted by Bailey and Pillard (1991) have shown that:,the homosexuality concordance rate for identical twins is 100%,the homosexuality concordance rate for identical twins and fraternal twins is approximately the same,the homosexuality concordance rate for identical twins is higher than for fraternal twins,the homosexuality concordance rate for adoptive brothers differs little from that of biological brothers,C,[],[],[],[],[],[],-,False
human_sexuality/test/44,human_sexuality,Social Sciences,The capacity of a spinal-cord injured man to have erections depends on:,the level of the spinal cord at which the injury occurred,whether the spinal cord was partially or completely severed,the man's age,both a and b,D,[],[],[],[],[],[],-,False
human_sexuality/test/45,human_sexuality,Social Sciences,Research on the effects of sexually explicit material using material that the viewer finds acceptable has shown that:,erotica has no effect on sexual behavior,erotica may lead to increases in sexual arousal for men and women,nonaggressive erotica leads to massive increases in aggressive behavior,erotica decreases sexual arousal and sexual interest,B,[],[],[],[],[],[],-,False
human_sexuality/test/46,human_sexuality,Social Sciences,Fetishism typically develops at the age of:,30 through 50,at birth,10 through 20,20 through 30,C,[],[],[],[],[],[],-,False
human_sexuality/test/48,human_sexuality,Social Sciences,Roman Catholicism takes the position that it is sinful to,engage in homosexual acts,engage in heterosexual acts outside of marriage,take the birth control pill,all of the above,D,[],[],[],[],[],[],-,False
human_sexuality/test/51,human_sexuality,Social Sciences,Experimental work on the introduction of the birth control pill was done with,middle- and upper-class American women,white American women,poor Puerto Rican women,Asian American women,C,"['none', 'none', 'none', 'regional']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],['North America'],[],CA,True
human_sexuality/test/53,human_sexuality,Social Sciences,What sexual act is prohibited in most societies?,masturbation,incest,sex during menstruation,sex with a non-spouse if the person is married.,B,[],[],[],[],[],[],-,False
human_sexuality/test/55,human_sexuality,Social Sciences,Staphylococcus aureus is...,...a hormone released during menstruation,...the term for the follicle after it has ruptured,...a bacterium associated with Toxic Shock Syndrome,...the term for the mass of cells in the corpus luteum,C,[],[],[],[],[],[],-,False
human_sexuality/test/57,human_sexuality,Social Sciences,An anatomical difference between males and females is:,"males have one exit structure for urine and reproductive fluids, whereas females have two","males have an external sexual organ that gets engorged with blood, whereas females do not",males have many times the number of nerve endings in the penis that females have in the clitoris.,all of the above,A,[],[],[],[],[],[],-,False
human_sexuality/test/60,human_sexuality,Social Sciences,The Old Testament presents the view that sexuality is,fundamentally positive,to be considered in light of its social consequences,comparable to other biological functions,a and b,D,[],[],[],[],[],[],-,False
human_sexuality/test/61,human_sexuality,Social Sciences,Castration in adulthood,will produce a high voice because of decreased testosterone production.,will produce a high voice because of the pain that accompanies the procedure.,will not produce a high voice because the larynx has already grown.,will not produce a high voice because castration does not affect testosterone production.,C,[],[],[],[],[],[],-,False
human_sexuality/test/66,human_sexuality,Social Sciences,"When a woman thinks that she probably is a lesbian, she is at the:",pride stage,tolerance stage,acceptance stage,confusion stage,B,[],[],[],[],[],[],-,False
human_sexuality/test/69,human_sexuality,Social Sciences,"Menstrual cramps may be caused, in part, by:",low levels of prostaglandin,an increased oxygen supply to the uterus,highly sensitive nerve endings,frequent masturbation,A,[],[],[],[],[],[],-,False
human_sexuality/test/72,human_sexuality,Social Sciences,Vasocongestion is a process of :,muscle contraction,blood accumulation in the genitals,muscle relaxation,detumescence,B,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
human_sexuality/test/74,human_sexuality,Social Sciences,It's 3:00 A.M. You are male. You awaken to urinate. Standing at the commode you are in extreme agony. Your penis feels as if it is on fire. You notice a yellowish discharge coming out of your penis after you finish urinating. Your moans have awakened your significant other. She comes running into the bathroom and asks you what is wrong. You tell her you probably have:,genital herpes,AIDS,syphilis,gonorrhea,D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
human_sexuality/test/75,human_sexuality,Social Sciences,Which of these statements is accurate concerning the norms of swinging?,Male and female homosexual acts are common and widely accepted.,It is expected that couples will engage in sex with the same partners on several occasions.,The combination of two men with one woman is the typical introduction to swinging.," Most swingers also tend to have tolerant attitudes towards various forms of ""exotic"" sexuality.",D,[],[],[],[],[],[],-,False
human_sexuality/test/76,human_sexuality,Social Sciences,Romulo is on a crowded bus and he sees a woman near the door. Feeling a little saucy Romulo proceeds to rub up against the woman and is immediately aroused. Romulo's inappropriate behavior would be characterized as:,Frotteurism,Exhibitionism,Voyeurism,Sadomasochism,A,[],[],[],[],[],[],-,False
human_sexuality/test/77,human_sexuality,Social Sciences,Mini-pills contain:,estrogen only,progestin only,synthetic androgens and estrogen,synthetic estrogen,B,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
human_sexuality/test/84,human_sexuality,Social Sciences,"Danny and Sandy are coworkers. Sandy sees Danny in the break room and says ""Hey Stud! Nice buns! Wanna do it?"" This would be considered harrassment if:",Sandy is Danny's supervisor,Danny has previously told Sandy that he does not appreciate her advances,"Danny responds with ""Sure baby your office or mine?""",both A and B,D,[],[],[],[],[],[],-,False
human_sexuality/test/89,human_sexuality,Social Sciences,Approximately how many sperm are in the typical ejaculate?,"300,000",300 million,3 million,30 million,B,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
human_sexuality/test/91,human_sexuality,Social Sciences,Sociobiologists assume that the central function of sex is:,pleasure,reproduction,to maintain the double standard,to relieve tension,B,[],[],[],[],[],[],-,False
human_sexuality/test/93,human_sexuality,Social Sciences,JD Unwin's book _Sex and Culture_ argues what two things are linked?,homosexuality in sons with distant fathers,sexual abuse and Christianity,civilizational collapse and promiscuity,anthropology and evolution,C,"['cultural', 'none', 'regional', 'cultural', 'none', 'cultural']","['No', 'No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-', '-']","['Western Culture', 'Western Culture']",['Europe'],['United Kingdom (UK)'],CS,True
human_sexuality/test/95,human_sexuality,Social Sciences,"According to Byrne's law of attraction and his formula, we are attracted to people who:",provide a lot of reinforcement and a small amount of punishment,provide more punishment than reinforcement,provide an equal balance of punishment and reinforcement,are extremely attractive and provide a lot of reinforcement,A,[],[],[],[],[],[],-,False
human_sexuality/test/98,human_sexuality,Social Sciences,What are the experiences when a sexual addict has completed the sexual act?,(s)he experiences feelings of hopelessness and despair,(s)he uses the fantasy of the behaviour just completed to become aroused again,(s)he feels relaxed and emotionally relieved,(s)he immediately becomes sexually aroused again and feels good about the behaviour,A,[],[],[],[],[],[],-,False
human_sexuality/test/100,human_sexuality,Social Sciences,The endometrium grows and thickens during:,menstruation,the follicular phase,the luteal phase,ovulation,B,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
human_sexuality/test/102,human_sexuality,Social Sciences,Alexander the Great was probably,bisexual,asexual,heterosexual,pedosexual,A,[],[],[],[],[],[],-,False
human_sexuality/test/103,human_sexuality,Social Sciences,Shaggy has a fantasy about digging up a recently buried woman and having sex with her. He told his friends this and they encouraged him to get therapy. As part of the treatment he masturbates to his fantasy and at the last moment before orgasm he switches to a fantasy about having sex with a living woman. This procedure is part of the process of:,orgasmic reconditioning,aversive conditioning,covert sensitization,desensitization therapy,A,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",[],[],[],CA,True
human_sexuality/test/104,human_sexuality,Social Sciences,How do girls most frequently learn about masturbation?,through reading about it,being told by peers,self-discovery,observing others doing it.,C,"['cultural', 'regional', 'none', 'none']","['Yes', 'Yes', 'No', 'No']","[{'end': 34, 'label': 'Cultural', 'score': None, 'start': 7}, {'end': 53, 'label': 'Cultural', 'score': None, 'start': 29}, '-', '-']",[],[],[],CS,True
human_sexuality/test/105,human_sexuality,Social Sciences,How many centimetres must the cervix dilute to before a baby can be born?,5,10,15,20,B,[],[],[],[],[],[],-,False
human_sexuality/test/106,human_sexuality,Social Sciences,"From 1988 to 1990 among heterosexuals in the US, the number of unmarried adults aged 20 to 45 who report having multiple partners has:",declined for both men and women,"declined for men, but not for women","declined for women, but not for men","declined for men, and remained the same for women",A,"['cultural', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 47, 'label': 'Cultural', 'score': None, 'start': 24}, {'end': 47, 'label': 'Geographic', 'score': None, 'start': 24}, {'end': 129, 'label': 'Cultural', 'score': None, 'start': 105}, {'end': 48, 'label': 'Geographic', 'score': None, 'start': 0}]","['Western Culture', 'Western Culture']","['North America', 'North America']","['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True
human_sexuality/test/108,human_sexuality,Social Sciences,What are the three dimensions of intimacy in romantic relationships that outline closeness and sharing?,"affective, trusting, and friendship","becoming emotional, caring, and physical","affective, cognitive, and physical","mutual self-disclosure, sexuality, and trusting",C,[],[],[],[],[],[],-,False
human_sexuality/test/112,human_sexuality,Social Sciences,Menstruation is triggered by...,...a sharp increase in estrogen levels,...a sharp increase in progesterone levels,...a sharp decrease in estrogen and progesterone levels,...a sharp increase in estrogen and progesterone levels,C,[],[],[],[],[],[],-,False
human_sexuality/test/114,human_sexuality,Social Sciences,Attachment to a care-giver begins:,in the hours immediately following birth,several weeks after birth,several months after birth,when the child learns to speak,A,[],[],[],[],[],[],-,False
human_sexuality/test/116,human_sexuality,Social Sciences,Another term for sexual self-stimulation is:,masturbation,autoeroticism,self-eroticism,a and b,D,[],[],[],[],[],[],-,False
human_sexuality/test/117,human_sexuality,Social Sciences,You have been asked to write a response paper to LeVay's research on brain differences between heterosexuals and homosexuals. Which are plausible criticisms of LeVay's work?,Sample size was relatively small.,Gay and straight groups were not equivalent in terms of the number of deaths due to AIDS.,Lesbians were omitted from the study.,all of the above,D,[],[],[],[],[],[],-,False
human_sexuality/test/119,human_sexuality,Social Sciences,Hormones are secreted:,directly into the bloodstream,into the tissues surrounding the glands where they were manufactured,into the stomach and then are digested and travel throughout the body,into the ovaries and testes,A,[],[],[],[],[],[],-,False
human_sexuality/test/121,human_sexuality,Social Sciences,"""The state has no business in the bedrooms of the nation,"" is a famous quote by this former Canadian Prime Minister.",Clark,Mulroney,King,Trudeau,D,[],[],[],[],[],[],-,False
