sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
electrical_engineering/test/7,electrical_engineering,STEM,The following are the necessary requirements of an oscillator,Amplitude stability,Frequency stability,Power stability,Both A and B,D,[],[],[],[],[],[],-,False
electrical_engineering/test/23,electrical_engineering,STEM,Which of the following windings are necessary in case of all dc machines?,closed winding,lap winding,wave winding,open type winding,A,[],[],[],[],[],[],-,False
electrical_engineering/test/41,electrical_engineering,STEM,Which of the following memories uses one transistor and one capacitor as basic memory unit,SRAM,DRAM,Both SRAM and DRAM,,B,[],[],[],[],[],[],-,False
electrical_engineering/test/52,electrical_engineering,STEM,Which of the following is/are the disadvantages of an open loop control system?,Inaccurate.,Unreliable.,both A and B.,none of the above.,C,[],[],[],[],[],[],-,False
electrical_engineering/test/63,electrical_engineering,STEM,________ is the most detrimental impurity in the magnetic materials,Carbon.,Sulphur.,Oxygen.,Nitrogen.,A,[],[],[],[],[],[],-,False
electrical_engineering/test/67,electrical_engineering,STEM,Which of the following is the analogous quantity for mass element in force-voltage analogy?,Resistance.,Inductance.,Capacitance.,All of the above.,B,"['none', 'none', 'none', 'none', 'none', 'none', 'none']","['No', 'No', 'No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-', '-', '-']",[],[],[],CA,True
electrical_engineering/test/68,electrical_engineering,STEM,A latch is ________ sensitive,both level and edge,edge,level,,C,[],[],[],[],[],[],-,False
electrical_engineering/test/72,electrical_engineering,STEM,Which lamp has the best Colour Rendering Index (CRI)?,LED,Fluorescent,Incandescent,High pressure sodium vapour,C,[],[],[],[],[],[],-,False
electrical_engineering/test/74,electrical_engineering,STEM,For intermittent work which of the following furnace is suitable?,Core less furnace.,Indirect arc furnace.,Either of above.,Nither of above.,B,[],[],[],[],[],[],-,False
electrical_engineering/test/76,electrical_engineering,STEM,Which of the following are the passive elements?,Resistor,Bulb,Both,None of these.,C,[],[],[],[],[],[],-,False
electrical_engineering/test/82,electrical_engineering,STEM,A three-state buffer has the following output states,"1, 0, float","High, Low, Float",Both A and B,"Set, Reset, Halt",C,[],[],[],[],[],[],-,False
electrical_engineering/test/83,electrical_engineering,STEM,"By using which of the following elements, mechanical translational systems are obtained?",mass element,spring element,dash-pot,all of the above,D,[],[],[],[],[],[],-,False
electrical_engineering/test/95,electrical_engineering,STEM,Which of the following is a digital device,Regulator of a fan,Microphone,Resistance of a material,Light switch,D,[],[],[],[],[],[],-,False
electrical_engineering/test/97,electrical_engineering,STEM,Which of the following is a variable displacement transducer?,tachometer,potentiometer,synchros,none of the above,B,[],[],[],[],[],[],-,False
electrical_engineering/test/100,electrical_engineering,STEM,One of the following is the primary function of an oscillator,produces sinusoidal oscillations,generates non sinusoidal waveforms,generates sustained oscillations at a constant amplitude and specific frequency,none of the above,C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",[],[],[],CA,True
electrical_engineering/test/111,electrical_engineering,STEM,Which of the following is used in SCR to protect from high dV / dt?,Snubber circuit.,Fuse.,Equalizing circuit.,Circuit breaker.,A,[],[],[],[],[],[],-,False
electrical_engineering/test/117,electrical_engineering,STEM,Which of the following oscillators are used for low frequency (LF) applications,LC oscillators,RC oscillators,Both LC and RC Oscillators,,B,[],[],[],[],[],[],-,False
electrical_engineering/test/122,electrical_engineering,STEM,Which of the following are the disadvantages of a closed loop control system?,Reduces the overall gain.,Complex and costly.,Oscillatory response.,All of the above.,D,[],[],[],[],[],[],-,False
electrical_engineering/test/130,electrical_engineering,STEM,Which of the following methods is/are used for reactive or voltage compensation,shunt capacitor,series capacitor,generation excitation control,all of the above,D,[],[],[],[],[],[],-,False
electrical_engineering/test/136,electrical_engineering,STEM,Silicon and Germanium are ________ elements.,trivalant,pentavalant,hexavalant,tetravalant,D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
electrical_engineering/test/143,electrical_engineering,STEM,Which of the following is not a sinusoidal oscillator?,LC oscillator,RC phase shift oscillator,Relaxation oscillator,Crystal oscillator,C,[],[],[],[],[],[],-,False
