sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
professional_law/test/2,professional_law,Humanities,"A taxpayer was notified by the government that her individual income tax was underpaid by $1,012. 69. The taxpayer retained an attorney to represent her in contesting the assessment. During the preparation of his client's case, the attorney suggested that it might be a good idea if the taxpayer hired an accountant to organize her records and prepare a financial statement for the year in question. Following the attorney's advice, the taxpayer consulted an accountant, an old family friend, who prepared a financial statement, which the attorney referred to at trial. During the trial, the attorney representing the government called the accountant to testif' about statements that the taxpayer made to him. The accountant's proposed testimony is","inadmissible, because it would violate the attorney-client privilege.","inadmissible, because it would violate the taxpayer's privilege against self-incrimination.",inadmissible as violative of the work-product rule.,admissible as an admission.,D,[],[],[],[],[],[],-,False
professional_law/test/3,professional_law,Humanities,"A resident announced his candidacy for state representative. A law in the state requires new political entrants (regardless of party affiliation) to obtain three times the number of signatures as other candidates who have run for office previously. The resident, however, failed to obtain the necessary number of authenticating signatures to have his name placed on the ballot. The resident filed a complaint in federal district court alleging the unconstitutionality of the authenticating requirement. Which of the following, if established, is the state's strongest argument for sustaining the validity of the authenticating requirement?",The resident's petition contained a large number of false signatures.,A similar authenticating statute was held to be constitutional in another state the previous year.,The authenticating requirement was necessary to further a compelling state interest.,Two other candidates had successfully petitioned to have their names included on the ballot.,C,[],[],[],[],[],[],-,False
professional_law/test/4,professional_law,Humanities,"A defendant was angry at his friend for marrying the defendant's former girlfriend. As the friend was painting his house one afternoon, the defendant fired a shot from his gun at him. Although the shot missed the friend, the bullet struck and killed the friend's daughter. The defendant is subsequently charged with the first-degree murder of the daughter. The relevant statutes in effect in this jurisdiction are as follows:Section 169: Murder in the first degree is the unlawful and intentional killing of a human being with malice aforethought. Section 170: Malice is expressed when there is manifested a deliberate intention to take away the life of another. Which of the following, if established, would provide the defendant with his best defense?",He intended to kill the friend and not the daughter.,He intended only to wound the friend.,He was unaware of the elements of malice.,The killing was the result of negligence in missing the friend.,B,[],[],[],[],[],[],-,False
professional_law/test/5,professional_law,Humanities,"The accused made a confession to the police, but his defense attorney needs to find out if the confession is admissible. In which of the following situations would a confession be inadmissible?",The defendant's statement was involuntary.,The defendant's statement was voluntary.,The defendant was not in custody when the statement was made.,The statement was not made in response to a known police interrogation.,A,[],[],[],[],[],[],-,False
professional_law/test/7,professional_law,Humanities,Which of the following is not a warrantless search exception?,Cold pursuit,Incident to a lawful arrest,Plain view,Stop and frisk,A,[],[],[],[],[],[],-,False
professional_law/test/11,professional_law,Humanities,"For many years, persons engaged in real estate transactions in a state have utilized installment land contracts. The so-called installment land contract has been popular as a substitute for the mortgage or deed of trust. Under such a contract, the seller agrees to accept, and the buyer agrees to pay, the purchase price in installments over a stipulated period of time. The vendor retains legal title as security for the payment of the purchase price; and the vendee has equitable title under the doctrine of equitable conversion. The most important characteristic of the installment land contract, however, is the forfeiture clause, which provides that if the vendee is in default for 30 days, the vendor may, at his option, declare a forfeiture of the contract, in which case all payments made shall be forfeited as ""liquidated"" damages and the buyer shall become a tenant at will of the seller. Over the years, many sellers of property under such installment land contracts have declared forfeitures in situations where the prospective buyers were delinquent in their payments, even when the buyer was late with a single payment after nearly all the other payments had been made. In order to remedy this inequitable situation, the state legislature enacted a statute requiring any seller attempting to declare a forfeiture of an installment land contract to do so by instituting a formal foreclosure action in the courts. The new law also provided that prior to the commencement of such a foreclosure action, the seller under such an arrangement must give the buyer a 60-day grace period to make up any delinquent installment payment with interest. The new law expressly applied both to installment land contracts entered into subsequent to its enactment and to installment land contracts already in existence at the time of its enactment. Is this new state statute likely to be held constitutional?","Yes, because it is a reasonable regulation of the procedure to be followed in such cases and does not substantially diminish the underlying obligations of the buyer.","Yes, because the authority to enact laws regulating real estate sales transactions occurring within the boundaries of individual states is reserved exclusively to the states by the Tenth Amendment.","No, because application of the law to installment land contracts entered into prior to its enactment is a violation of the obligation of contracts.","No, because application of the law to installment land contracts entered into before or after its enactment is a deprivation of a proprietary interest without due process of the law.",A,[],[],[],[],[],[],-,False
professional_law/test/12,professional_law,Humanities,"A man placed the following advertisement in his local newspaper:""Public Auction Sale . . . without reserve December 7, 10:00 a. m. 110 Walnut St. , City, StateEntire furnishings of home must go: antiques, piano, pool table, appliances, tables, stereo system, etc. ""On the morning of December 7, a group of approximately 20 people showed up at the man's home. The first item the man put up for bid was an antique Baldwin grand piano. The man announced that the bidding would be ""without reserve"" and said, ""What's the opening bid on this beautiful Baldwin grand piano?"" A woman opened the bidding with $100. The man then commented, ""This piano is worth at least $5,000. What other bids am I offered?"" When the man did not receive any other bids, he informed the woman that he would not accept $100 and was removing the piano from the sale. If the woman asserts an action against the man for breach of contract, the woman will most likely","prevail, because goods put up at an auction ""without reserve"" may not be withdrawn.","prevail, because whether or not the auction is ""without reserve,"" goods cannot be withdrawn after the auctioneer calls for bids.","not prevail, because at an auction ""without reserve,"" the auctioneer may withdraw goods until he announces completion of the sale.","not prevail, because at an auction ""without reserve,"" the auctioneer invites offers, which he may accept or reject.",A,[],[],[],[],[],[],-,False
professional_law/test/14,professional_law,Humanities,A regulation prevents persons with a drug arrest and conviction and/or those undergoing current treatment for drug abuse from working in certain state run facilities for the safety of the general public. One employee of the department of treasury brought an action claiming a denial of equal protection and due process by taking away his right to a job. It is claimed that the prohibition is necessary to protect the public from potential problems that could arise. Which test of constitutional validity would be likely applied to this regulation?,"Strict scrutiny, since drug users are a special class of persons often discriminated against by the public.","Intermediate scrutiny, because, like gender, this can be a sensitive area where discrimination is common.","The rational basis test, because discrimination is generally favored with drug users or even those getting treatment.","The rational basis test, because the regulation need only be related to a legitimate state interest to be valid.",D,[],[],[],[],[],[],-,False
professional_law/test/16,professional_law,Humanities,"The authorities arrested a man without a warrant and held him imprisoned for 14 days without a determination of probable cause. He finally saw a public defender who filed a motion to dismiss alleging an unconstitutional detention in violation of due process. The prosecution countered that the state's rules allowed for detention without a probable cause hearing for up to 30 days, and that the procedure was constitutional. Will the court most likely decide that this detention is unconstitutional?","No, because the Supreme Court has ruled that detentions can properly last up to 30 days without a probable cause determination.","No, because each case must be decided on its own facts and there may be many good reasons why the state has not yet provided a probable cause determination.","Yes, because when the state arrests someone without a warrant it must provide a prompt probable cause determination.","No, because it is constitutional to hold someone for up to 15 days without a probable cause determination.",C,[],[],[],[],[],[],-,False
professional_law/test/17,professional_law,Humanities,"A man owned land along the south side of a highway. To the south of the man's land was a lot owned by a woman who lived on it in a house. Five years ago the man conveyed a right-of-way easement over his land to the woman because it provided a more direct route between her house and the highway. The easement was evidenced by a clearly marked path. The document granting the easement was promptly recorded. Three years ago, the woman conveyed her house to the man. The man never took actual possession of the house. Two years ago, the man conveyed the house to a purchaser by a warranty deed. Two months after the purchaser moved into the house, a neighbor informed him about the easement. He then began using the path that had been marked on the man's land. When the man noticed the purchaser using the path, he erected a barricade on his land that effectively prevented the purchaser from using the path. The purchaser has sued the man, claiming that he has an easement over the man's land. Who is likely to prevail?","The man, because the easement was extinguished.","The man, because the purchaser did not have actual notice of the easement at the time of acquisition.","The purchaser, because he purchased the house by warranty deed.","The purchaser, because the easement was of public record when he acquired the house.",A,[],[],[],[],[],[],-,False
