sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
virology/test/0,virology,Medical,How many human polyomaviruses are known at present?,100,1,10,unknown,A,[],[],[],[],[],[],-,False
virology/test/1,virology,Medical,AIDS activism in the U.S. resulted in:,Food and Drug Administration reforms,Easier access to investigational drugs,Changes in the way medicine was practiced in the U.S.,All of the above,D,[],[],[],[],[],[],-,False
virology/test/2,virology,Medical,"Globally, the most deaths are caused by:",Respiratory infections,Diarrheal diseases,Malaria,Tuberculosis,B,[],[],[],[],[],[],-,False
virology/test/3,virology,Medical,What happens during the 'incubation period'?,The virus is cleared from the body by the immune system,Virus replication happens at an intracellular level,This period commonly lasts for a few days,This period commonly lasts for a few hours,B,[],[],[],[],[],[],-,False
virology/test/4,virology,Medical,Newborn infants in countries with limited access to safe water and low levels of education should be:,Exclusively formula fed for six months,Exclusively breast fed for six months,Should receive both breast milk and other foods as tolerated in the first 6,months,B,"['none', 'regional', 'none', 'none', 'none']","['No', 'Yes', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",[],[],[],CA,True
virology/test/6,virology,Medical,“Contingency management” is”:,A strategy of last resort for reducing high-risk behaviors,Paying drug users for negative urine specimens,Paying sex workers to use condoms,Paying drug users to use condoms,B,[],[],[],[],[],[],-,False
virology/test/11,virology,Medical,How were retroviruses discovered?,In chickens as Rous sarcoma,In humans as HTLV-1,In mice causing leukaemia,In cats causing leukaemia,C,[],[],[],[],[],[],-,False
virology/test/14,virology,Medical,Public health ethics is:,Patient-centered,Population-centered,Subject-centered,Must respect the rights of individuals,B,"['none', 'cultural', 'none', 'none']","['No', 'Yes', 'No', 'No']","['-', '-', '-', '-']",['Western Culture'],[],[],CA,True
virology/test/15,virology,Medical,How many people globally are currently infected with hepatitis B?,350 million,2 billion,"100,000",1 million,A,[],[],[],[],[],[],-,False
virology/test/16,virology,Medical,"In a study, a group of people are exposed to an environmental toxin but are not treated observed over time on a standard set of measures to ascertain the potential effects of the toxin. This type of study design is called",Clinical trial,Double-blind,Longitudinal,Prospective cohort,D,[],[],[],[],[],[],-,False
virology/test/17,virology,Medical,Which disease do polyomaviruses predominantly cause?,Tumours,Brain pathology,No disease at all,Kidney infections,C,[],[],[],[],[],[],-,False
virology/test/18,virology,Medical,How are antibody producing cells stimulated?,Interacting with a virus short peptide,Interacting with a T helper cell.,Interacting with a plasma cell,Interacting with a virus infected cell,B,[],[],[],[],[],[],-,False
virology/test/19,virology,Medical,The single most important key to the success of the Multicenter AIDS Cohort (MACS) is:,The brilliance of the principal investigator,The commitment of the staff,The commitment of the participants,The quality of the laboratories,C,[],[],[],[],[],[],-,False
virology/test/21,virology,Medical,Why are members of the astrovirus family only recently recognised as significant enteric viruses for humans?,The genome has been identified by the new method of deep sequencing,A new vector has been discovered,They infect a wide range of domestic animals and so contaminate meat,Knowledge of their replication as positive sense ssRNA viruses is now complete,A,[],[],[],[],[],[],-,False
virology/test/22,virology,Medical,Which virus infection was not first identified by clinical observation?,HIV,Rubella teratogenicity,Microcephaly and Zika,Hepatitis C,D,[],[],[],[],[],[],-,False
virology/test/23,virology,Medical,The particular quality of the U.S. health care system is its:,"Systematic, democratic approach","Fragmented, uncoordinated approach",The result of rationale decisions by informed legislators,a. and c. above,B,[],[],[],[],[],[],-,False
virology/test/24,virology,Medical,The three key intervention strategies according to Professor Shoptaw are:,"Behavioral intervention, treatment and structural interventions","Condoms, drug therapy and regulation of commercial sex establishments","Drug replacement therapy, community intervention and needle exchange","HIV testing, drug therapy and condom use",A,[],[],[],[],[],[],-,False
virology/test/26,virology,Medical,How can the spread of filoviruses be restricted?,New antivirals,New humanised monoclonal antibodies,Hygiene and social distancing,New vaccines,C,[],[],[],[],[],[],-,False
virology/test/28,virology,Medical,PreP is an effective strategy for reducing the incidence of HIV in:,Women,Drug users,Pregnant women,a. and b. above,B,[],[],[],[],[],[],-,False
virology/test/30,virology,Medical,How does the papilloma family of viruses cause cancer?,"Replicate in dividing cells and encodes three oncogenic proteins E5, E6 and E7",Integrates viral genome into cellular DNA,Has an oncogene able to initiate cancer,Acts as a co factor for a cellular oncogene,B,[],[],[],[],[],[],-,False
virology/test/32,virology,Medical,Deep nucleotide sequencing (NGS) is now cheap enough for general application. What will the technique mainly be useful for?,Speedy vaccine development,Identifying genetic variation,Giving details on virus excretion in symptomless carriers,Quickly identifying new viruses,D,[],[],[],[],[],[],-,False
