sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
electrical_engineering/test/0,electrical_engineering,STEM,The Barkhausen criterion for an oscillator,Loop gain should be unity,Loop gain should be less than unity,The phase of a feedback signal with respect to input should be 0° or 360°,Both A and C,D,[],[],[],[],[],[],-,False
electrical_engineering/test/1,electrical_engineering,STEM,Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because,It loads the circuit moderately.,It loads the circuit to maximum extent.,It uses centre zero galvanometer instead of voltmeter.,It does not load the circuit at all.,D,[],[],[],[],[],[],-,False
electrical_engineering/test/2,electrical_engineering,STEM,Which of these sets of logic gates are designated as universal gates?,"NOR, NAND.","XOR, NOR, NAND.","OR, NOT, AND.","NOR, NAND, XNOR.",A,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
electrical_engineering/test/3,electrical_engineering,STEM,"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is",30° to 150°.,30° to 180°.,60° to 120°.,60° to 180°.,A,[],[],[],[],[],[],-,False
electrical_engineering/test/4,electrical_engineering,STEM,A box which tells the effect of inputs on control sub system is known as,Data Box.,Logical box.,Decision box.,State box.,C,[],[],[],[],[],[],-,False
electrical_engineering/test/5,electrical_engineering,STEM,Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is,same as that produced by one plate.,double the field produced by one plate.,dependent on coordinates of field points.,zero.,D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
electrical_engineering/test/6,electrical_engineering,STEM,The resistance in the circuit of the moving coil of a dynamometer wattmeter should be,Low.,Very low.,High.,Almost zero.,C,[],[],[],[],[],[],-,False
electrical_engineering/test/8,electrical_engineering,STEM,The normal voltage used in directional heating is,1.5 KV.,15 KV.,33 KV.,66 KV.,A,[],[],[],[],[],[],-,False
electrical_engineering/test/9,electrical_engineering,STEM,LC oscillators are used for produce a waveform with frequency ranging from,1MHz to 500 MHz,100 KHz to 500 MHz,1 KHz to 1 MHz,1MHz to 100 GHz,A,[],[],[],[],[],[],-,False
electrical_engineering/test/10,electrical_engineering,STEM,A working diode must have,High resistance when forward or reverse biased,"Low resistance when forward biased, while high resistance when reverse bias","High resistance when forward biased, while low resistance when reverse bias",Low resistance when forward or reverse biased,B,[],[],[],[],[],[],-,False
electrical_engineering/test/11,electrical_engineering,STEM,What is the name of the fluorescent material that gives red colour fluorescence?,Zinc silicate.,Calcium silicate.,Zinc sulphide.,Magnesium silicate.,D,[],[],[],[],[],[],-,False
electrical_engineering/test/12,electrical_engineering,STEM,How many bits are required to store one BCD digit ?,1,2,3,4,D,[],[],[],[],[],[],-,False
electrical_engineering/test/13,electrical_engineering,STEM,Commutator in DC generator is used for,collecting of current,reduce losses,increase efficiency,convert AC armature current in to DC,D,[],[],[],[],[],[],-,False
