sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
professional_law/test/25,professional_law,Humanities,"A widow owned an apartment building. Several years ago, a student, in a signed writing, entered a three-year lease agreement with the widow. The student agreed to pay $800 monthly rent for the third-floor apartment in the widow's building. The original three-year term had long since expired, but the student had continued to pay his rent, and the widow continued to accept it. If the widow had chosen to evict the student immediately upon the end of the three-year period, and before she had accepted the next rent check, the student's strongest argument to prevent eviction, if true, would have been that",the leasehold contract was void ab initio.,the widow had not given the student requisitenotice for terminating a periodic tenancy.,the widow had not given the student requisitenotice for terminating a term of years.,the terms of the leasehold contract were binding on both parties.,B,[],[],[],[],[],[],-,False
professional_law/test/46,professional_law,Humanities,"A young lawyer worked late at her office one night. When she finally decided to go home, she headed to the elevator, got in, and pushed the button for the ground floor. The elevator went all the way to the ground floor, but then just stopped there. The doors did not open. The lawyer tried pushing each of the buttons in the elevator and tried to use the intercom in the elevator to call for help, but nothing on the elevator's control panel seemed to be functioning. The lawyer was afraid that she would be stuck in the elevator all night. She began pounding on the doors and yelling. She started to feel panicked, hyperventilated, lost consciousness, and fell to the floor of the elevator. As she fell, she struck her head on the elevator wall, causing a large bump and bruise on her head. She was unconscious in the elevator for about 30 minutes before a security guard tried to use the elevator and realized it wasn't working. The guard managed to force the doors open and found the lawyer. At that moment, the lawyer regained consciousness. An investigation revealed that the elevator stopped working because it had not been properly maintained. The owner of the building had canceled all service and maintenance work on the elevator in order to save money. If the lawyer sues the building owner for false imprisonment, she will most likely","prevail, because she was confined in the elevator for an unreasonably long period of time.","prevail, because she was injured during her confinement in the elevator.","not prevail, because the building owner did not intentionally cause the lawyer to be confined.","not prevail, because the lawyer was unconscious and unaware of what was happening for most of the confinement period.",C,[],[],[],[],[],[],-,False
professional_law/test/54,professional_law,Humanities,"Bob Wilson borrowed $20,000 from Ted Lamar to open a hardware store. Ted's only interest in the business was the repayment of his 5-year unsecured loan. Bob was so grateful for the loan that he named his business ""Wilson and Lamar Hardware"" and purchased signs and advertising displaying this name. He also listed Bob Wilson and Ted Lamar as ""partners"" on his stationery. When Ted found out, he was flattered to the point that he voluntarily reduced Bob's interest rate from 9 percent to 8 percent per annum. A few weeks later, Pete Smith, who had assumed that both Wilson and Lamar were operating the hardware store and was not familiar with the true situation, sold goods to Wilson and Lamar Hardware. Pete Smith has been unable to collect for the goods and he seeks your advice. Your advice to Pete is",only Bob Wilson is liable.,Bob Wilson and Ted Lamar are liable jointly.,Bob Wilson is liable for the entire amount and Ted Lamar is liable only to the extent the debt cannot be collected from Bob Wilson.,only the de facto partnership arising from the relationship between Wilson and Lamar is liable.,B,[],[],[],[],[],[],-,False
professional_law/test/102,professional_law,Humanities,"After being passed over for a promotion, an aeronautic engineer became a whistleblower. He contacted a government agency to state that the company for which he worked was submitting false safety reports on newly built aircraft. When the company learned that the engineer was leaking this information to the government agency, he was fired from his job. Afterward, the engineer sued the company for wrongful termination of employment. During the discovery stage of litigation, the engineer was deposed by the company's attorney. In his deposition, the engineer stated that the company submitted false safety reports to the government agency to cover up structural defects in its aircraft. A pilot was injured when one of the company'sairplanes he was piloting crashed. The pilot asserteda strict products liability tort against the company. At thal, the pilot seeks to introduce into evidence portions of the engineer's deposition from his wrongful termination lawsuit against the company. Assume that the engineer is unavailable to testify at trial. Upon objection by the company, the trial court judge should rule the engineer's deposition testimony",admissible as former testimony.,admissible as a vicarious admission.,inadmissible as hearsay not within any recognized exception.,"inadmissible, because the company did not have the opportunity to cross-examine the engineer on the liability issue for which the statement is now being offered.",A,[],[],[],[],[],[],-,False
professional_law/test/125,professional_law,Humanities,"There is a voting law that is going to be reviewed by the court. If the law is upheld, what must be true?",The law is necessary to achieve a compelling government purpose.,The law is substantially related to an important government purpose.,The law is rationally related to a legitimate government purpose.,The law is substantially related to a legitimate government purpose.,A,[],[],[],[],[],[],-,False
professional_law/test/130,professional_law,Humanities,"A defendant has been charged with making a false statement to a federally insured financial institution to secure a loan. At trial, the prosecutor calls the defendant's wife as a willing witness to testify that the defendant told her in confidence that he had misrepresented his assets on the loan application. The defendant objects to his wife's testimony. Should the testimony be admitted?","No, because even though the wife is a willing witness, the defendant has the right to exclude confidential marital communications in federal court.","No, but only if the law of the state where the defendant and his wife reside recognizes a privilege for confidential marital communications.","Yes, because in federal court the right not to testify belongs to the testifying spouse, and she is a willing witness.","Yes, because while the adverse testimonial privilege is recognized in federal court, the marital communications privilege is not.",A,[],[],[],[],[],[],-,False
professional_law/test/163,professional_law,Humanities,"A U.S. senator made a speech on the floor of the Senate accusing a low-level purchasing officer employed by a federal agency of wasting millions of dollars of taxpayer money by purchasing many more office supplies than the agency needed. The accusation was demonstrably false, and the senator was negligent in making it. The purchasing officer has sued the senator for defamation, alleging only that the accusation was false and that the senator was negligent. What is the most appropriate ground for the court to dismiss the purchasing officer's complaint?","The federal government is constitutionally immune from suit without its consent, and it has not consented to suits of this kind.",The First Amendment guarantees members of Congress an unqualified right to speak on matters of public concern at any place and time without having to fear adverse legal consequences.,"The First Amendment protects public officials from defamation liability for statements made in their official capacity, unless the plaintiff alleges and proves that the statement was false and uttered with actual malice.","The speech and debate clause of Article I, Section 6 of the Constitution wholly insulates members of Congress from tort liability for statements made on the floor of Congress.",D,[],[],[],[],[],[],-,False
professional_law/test/172,professional_law,Humanities,"A state has adopted a system of bifurcated trials in cases in which a defendant's insanity is in issue. According to the bifurcated trial system, whenever a defendant pleads not guilty to an offense by reason of insanity, two trials will be held. The first one will simply determine whether the defendant has committed the offense for which she is charged. This trial will not address the issue of insanity. In the event that it is found that the defendant has, in fact, committed the offense, then a second trial will be conducted to determine whether she should be exculpated for the criminal action by reason of insanity. A woman was arrested and charged with murder. She pleaded not guilty by reason of insanity. At her first trial, the state introduced evidence showing that the woman was having an affair with the victim. When the victim tried to break off their relationship, the woman shot and killed him during a lover's quarrel. The woman was then called to testify in her own behalf. She testified that she had been living with the victim for two years prior to the time of his death. During that period she had undergone psychiatric treatment and was diagnosed as being schizophrenic. She further testified that at the time the victim was killed, she was under the influence of narcotics. While she was hallucinating, she remembered perceiving the victim as a demon and shot at this satanic figure in order to free herself from his evil spell. She then testified that she didn't believe shooting the demon was morally wrong. The prosecuting attorney objected to the woman's testimony. Over such objections, the trial judge admitted the woman's testimony. Was the trial judge correct in admitting the woman's testimony?","No, because proof of mental disease requires the use of expert testimony.","No, because testimony relating to her belief that she didn't know what she was doing was wrong, is not relevant until the second trial.","Yes, because her testimony is relevant to the mental state necessary for the commission of the crime.","Yes, because her testimony is relevant to the issue of self-defense.",C,[],[],[],[],[],[],-,False
professional_law/test/219,professional_law,Humanities,"A defendant was being prosecuted on a charge of manslaughter in the first degree for causing the death of a 15-year-old girl on whom he had allegedly performed an abortion in his private clinic. A witness for the defendant testified to the defendant's non-culpability at the grand jury proceeding. The witness was later called as a defense witness at the trial. During his direct examination, defendant's attorney asked him, ""Is it not true that the defendant could not have performed the abortion on the decedent since he was assisting you in another abortion at the time?"" The witness answers in the negative and states that the defendant did, in fact, perform the abortion on the girl. The defendant's attorney then assails the witness's testimony as a recent fabrication, and asks the witness if he had not stated to a grand jury that the defendant was not guilty of performing the abortion, thus causing the death of the girl. The prosecutor objects to this question. The trial judge should rule that this question is","objectionable, because the defendant's attorney did not lay a proper foundation for impeaching his own witness.","objectionable, because a party may not impeach his own witness.","unobjectionable, because a witness's testimony before a grand jury is more reliable because it occurred shortly after the abortion was allegedly performed.","unobjectionable, because a party can impeach his own witness by a prior inconsistent statement.",D,[],[],[],[],[],[],-,False
professional_law/test/299,professional_law,Humanities,"A protester brought an action in federal court against a police officer, alleging that the officerÕs use of force in arresting the protester violated the protesterÕs federal civil rights. During the jury trial, eyewitnesses gave conflicting testimony on the arrest. At the close of evidence, the protester moved for judgment as a matter of law, which the court denied. The court instructed the jury that the protesterÕs burden of proof was clear and convincing evidence, rather than the correct burden of preponderance of the evidence. The jury returned a verdict for the officer, and the court entered judgment accordingly. What is the protesterÕs best option for challenging the judgment?","Seek a new trial, because the jury instruction affected the protesterÕs substantial rights.","Seek a new trial, because the verdict was against the clear weight of the evidence.","Seek judgment as a matter of law, because the jury did not have legally sufficient evidence to find for the officer.","Seek judgment as a matter of law, because the juryÕs findings were clearly erroneous.",A,[],[],[],[],[],[],-,False
