sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
logical_fallacies/test/0,logical_fallacies,Humanities,A valid disjunctive syllogism has a major premise that:,includes two or more alternatives,classifies subjects,affirms the antecedent or denies the consequent,leads to a valid conclusion,A,[],[],[],[],[],[],-,False
logical_fallacies/test/1,logical_fallacies,Humanities,Which of the following best describes the fallacy of style over substance?,Changing the meaning of a word or phrase from one part of the argument to another.,Confusing figurative language with literal language.,"Reasoning that ideas presented in an appealing manner are correct, regardless of the content of the message.","Using emotionally charged language to create an impression about the subject of a claim, without making an argument that the language fits the subject.",C,"['cultural', 'cultural', 'cultural', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']","['Western Culture', 'Western Culture', 'Western Culture']",[],[],CS,True
logical_fallacies/test/2,logical_fallacies,Humanities,"Which of the following fallacies is a way of suppressing evidence that eliminates a source of evidence from consideration by claiming the source is flawed, when there is no true relationship between the alleged flaw and the reliability of the source?",significance,snob appeal,poisoning the well,appeal to anonymous authority,C,[],[],[],[],[],[],-,False
logical_fallacies/test/3,logical_fallacies,Humanities,The false analogy fallacy is,a specific type of false cause fallacy that argues that since two event happened at the same time one event must have caused the other,arguing that an event that preceded another event necessarily is the cause of the second event,arguing that since something is new it is necessarily good,drawing a conclusion based on a comparison when the items being compared are not similar enough to support the conclusion.,D,[],[],[],[],[],[],-,False
logical_fallacies/test/4,logical_fallacies,Humanities,The _ad nauseam_ fallacy is,arguing that something should be done because that's the way it's been done in the past.,"arguing that an act should be carried out because it will not have any significant consequences, when there is no evidence of the effects",reasoning that a conclusion is true because it's been claimed so often,reasoning that a claim is true because so many people believe it is true,C,[],[],[],[],[],[],-,False
logical_fallacies/test/5,logical_fallacies,Humanities,Arguing that what is true of an entire object is also true of each part of that object is the fallacy of,false criteria,hasty generalization,ad crumenam,division,D,"['cultural', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",['Western Culture'],[],[],CA,True
logical_fallacies/test/6,logical_fallacies,Humanities,Which of the following describes the horse laugh fallacy?,responding to an argument with an expression of derision instead of a counter argument,attempts to gain agreement based solely the feelings aroused by the message,characterizing an opponent's position in such way to make it or its consequences appear to be ridiculous,"arguing actions should be taken to avoid negative results, when those results are exaggerated, unlikely, or irrelevant",A,"['cultural', 'none', 'cultural', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', {'end': 56, 'label': 'Cultural', 'score': None, 'start': 37}, {'end': 56, 'label': 'Cultural', 'score': None, 'start': 37}]","['Western Culture', 'Western Culture', 'Western Culture']",[],[],CS,True
logical_fallacies/test/7,logical_fallacies,Humanities,Arguing that a lack of evidence proves something is the fallacy of...,Appeal to ignorance,Double negative,Equivocation,Burden of proof,A,[],[],[],[],[],[],-,False
logical_fallacies/test/8,logical_fallacies,Humanities,The argument against the person consists of,ignoring another person's arguments and attacking her character instead,"asserting an opposing arguer has taken an easily defeated position, which she has not really taken",causing confusion during an argument by a lack of ability to engage in refutation,using threats of harm instead of reasoning to gain agreement,A,[],[],[],[],[],[],-,False
logical_fallacies/test/9,logical_fallacies,Humanities,Which of the following fallacies happens when someone concludes that someone must be honest because the people he hangs around with are honest?,Laudatory personality,Guilt by association,Reprehensible personality,Circular reasoning,B,[],[],[],[],[],[],-,False
logical_fallacies/test/10,logical_fallacies,Humanities,Asking a question that includes an unproven assumption may lead to which of the following fallacies?,Appeal to ignorance,Extension,a priori,Complex question,D,"['none', 'cultural', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",['Western Culture'],[],[],CA,True
logical_fallacies/test/11,logical_fallacies,Humanities,"Polonius in William Shakespeare's Hamlet: ""Your noble son is mad: Mad call I it, for to define true madness, What is't but to be nothing else but mad?""",Attacking the Person (ad hominem),Equivocation,Begging the Question,Appeal to Pity,C,"['none', 'none', 'cultural', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",['Western Culture'],[],['United Kingdom (UK)'],CA,True
logical_fallacies/test/12,logical_fallacies,Humanities,Notice from the Hyatt Regency Hotel in New Orleans: We are pleased to confirm your reservation. It will be held on a space-available basis.,Equivocation,Affirming the Consequent,Gambler's Fallacy,Inconsistency,D,[],[],[],[],[],[],-,False
logical_fallacies/test/13,logical_fallacies,Humanities,The natural law fallacy is,arguing that something is necessarily bad because it doesn't cost very much,substituting individual stories for a larger sample when supporting a generalization,arguing that what is true in nature must be true about humans,the same thing as the  post hoc  fallacy,C,[],[],[],[],[],[],-,False
logical_fallacies/test/14,logical_fallacies,Humanities,"If someone uses an emotionally charged restatement of a claim in place of support for the claim, that person may have committed which of the following fallacies?",Style over substance,Question begging epithets,Hypostatization,Amphiboly,B,[],[],[],[],[],[],-,False
logical_fallacies/test/15,logical_fallacies,Humanities,Arguing that a claim must be true merely because a substantial number of people believe it is called the fallacy of...,Tu quoque,Composition,Appeal to the masses,Appeal to reason,C,[],[],[],[],[],[],-,False
logical_fallacies/test/16,logical_fallacies,Humanities,_Ad populum_. is another name for which fallacy?,poisoning the well,suppressed evidence,appeal to pride,appeal to the people,D,[],[],[],[],[],[],-,False
logical_fallacies/test/17,logical_fallacies,Humanities,In a valid disjunctive syllogism the minor premise must,accept one choice,reject all but one choice,either A or B,none of the above,C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
logical_fallacies/test/18,logical_fallacies,Humanities,Which of the following describes the fallacy of appeal to spite?,responding to an argument with an expression of derision instead of a counter argument,arguing against a position based only on negative personal feelings toward the position,arguing someone should do something only because that person dislikes someone else,saying someone shouldn't do something because if he or she does it people won't like him or her,C,[],[],[],[],[],[],-,False
logical_fallacies/test/19,logical_fallacies,Humanities,_Ad hominem_ is another name for the fallacy of,appeal to loyalty,reducing to an absurdity,ignorance of refutation,argument against the person,D,[],[],[],[],[],[],-,False
logical_fallacies/test/20,logical_fallacies,Humanities,The fallacy of appeal to the person is rejecting a claim by...,Using rhetoric,Making false statements,Ignoring the person,Criticizing the person who makes it,D,[],[],[],[],[],[],-,False
logical_fallacies/test/21,logical_fallacies,Humanities,Another name for hasty conclusion is,hasty generalization,post hoc ergo prompter hoc,jumping to a conclusion,ad novitatem,C,[],[],[],[],[],[],-,False
logical_fallacies/test/22,logical_fallacies,Humanities,"John S. Knight, Detroit Free Press (3 July 1970): ...Capitalism is the economic system in which the means of production and distribution are privately owned and operated for profit. The alternative system is called socialism, the theory of the ownership and operation of the means of production by society, with all members sharing in the work and the products.",Begging the Question,False Dilemma,Straw Man,Appeal to Gallery (Provicialism),B,"['regional', 'cultural', 'regional', 'none', 'cultural', 'regional']","['Yes', 'No', 'No', 'No', 'No', 'No']","[{'end': 34, 'label': 'Geographic', 'score': None, 'start': 0}, {'end': 79, 'label': 'Cultural', 'score': None, 'start': 53}, '-', '-', '-', '-']","['Western Culture', 'Western Culture', 'Western Culture']","['North America', 'North America', 'North America']","['United States of America (USA)', 'United States of America (USA)']",CS,True
logical_fallacies/test/23,logical_fallacies,Humanities,The fallacy of composition is,attributing the cause of an event to a simple cause when the cause is more complex,arguing that what is true of part of an object must be true of the entire object,drawing a conclusion without enough evidence to support that conclusion,drawing a conclusion based on sign reasoning when there is not really a direct relationship between the alleged sign and the subject of the conclusion,B,"['none', 'none', 'none', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",['Western Culture'],[],[],CA,True
logical_fallacies/test/24,logical_fallacies,Humanities,""" _Ad crumenam_ "" is a specific kind of",False analogy,Hasty Generalization,False sign,Hasty Conclusion,C,[],[],[],[],[],[],-,False
logical_fallacies/test/25,logical_fallacies,Humanities,Which of the following fallacies happens when someone draws a conclusion that is simply a restatement of one of the premises?,Laudatory personality,Guilt by association,Accident,Begging the question,D,"['cultural', 'cultural', 'cultural']","['No', 'No', 'No']","['-', '-', '-', '-']","['Western Culture', 'Western Culture', 'Western Culture']",[],[],CS,True
logical_fallacies/test/26,logical_fallacies,Humanities,"I don't know what the answer is to number 8. But Heather hasn't made the third option into the correct answer for a while, and even then only once, so I'm guessing that this is the fallacy of Composition!",Gambler's Fallacy,Equivocation,Fallacy of Composition,Appeal to Pity,A,[],[],[],[],[],[],-,False
logical_fallacies/test/27,logical_fallacies,Humanities,"When someone argues that making a change will have no significant effect, but there is no evidence that the effect will not be significant, that person has committed which of the following fallacies?",poisoning the well,solid slope,appeal to tradition,argument from authority,B,"['cultural', 'none', 'none', 'regional']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",['Western Culture'],['North America'],[],CS,True
logical_fallacies/test/28,logical_fallacies,Humanities,Which of the following best describes the fallacy of question begging epithets?,Treating something that exists in the mind as if it was a real object.,"A form of loaded language that uses an emotionally charged restatement of the claim, often in the form of name calling, in place of support for the claim.",Changing the meaning of a word or phrase from one part of the argument to another.,"Reasoning that ideas presented in an appealing manner are correct, regardless of the content of the message.",B,[],[],[],[],[],[],-,False
logical_fallacies/test/29,logical_fallacies,Humanities,Which of the following describes he fallacy of appeal to pride?,arguing a claim should be accepted based only on evidence that unidentified authorities accept it.,arguing someone should accept a claim based only on the evidence that he or she has the favorable characteristics to understand the truth of the claim.,"arguing something should be done based only on evidence that it's been done that way in the past, or should be believed only because it's been believed for a long time.","arguing that an act or series of acts should be carried out because they will have no significant consequences, when there is no evidence for the lack of significant effects.",B,[],[],[],[],[],[],-,False
logical_fallacies/test/30,logical_fallacies,Humanities,A syllogism that is formally invalid,cannot be materially true,might be materially true,might be materially untrue,both B and C,D,[],[],[],[],[],[],-,False
logical_fallacies/test/31,logical_fallacies,Humanities,Another name for the fallacy of false dilemma is,Guilt by association,Circular reasoning,Laudatory personality,False dichotomy,D,[],[],[],[],[],[],-,False
logical_fallacies/test/32,logical_fallacies,Humanities,"When someone responds to your argument with a sarcastic statement such as, ""Yeah, right. Like that's ever going to happen,"" that person may have committed which fallacy?",appeal to indignation,appeal to spite,horse laugh,tu quoque,C,"['dialect', 'cultural', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']","['Western Culture', 'Western Culture']",['North America'],['United States of America (USA)'],CS,True
logical_fallacies/test/33,logical_fallacies,Humanities,The _post hoc_ fallacy is,arguing that a single event caused another when the cause is really several events,arguing that since two things happened at the same time one must have caused the other,drawing a conclusion about a causal relationship when there is no evidence of a causal relationship,arguing that since one event preceded another event the first event must have caused the second event,D,[],[],[],[],[],[],-,False
logical_fallacies/test/34,logical_fallacies,Humanities,The fallacy of reprehensible personality is a specific type of,the fallacy of accident,False dilemma,Begging the question,Circular reasoning,A,"['cultural', 'cultural', 'none', 'none', 'none']","['No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']","['Western Culture', 'Western Culture']",[],[],CA,True
logical_fallacies/test/35,logical_fallacies,Humanities,_A priori_ is a fallacy that involves,"asking a question that includes either an unproven assumption or more than one question, thus making a straightforward yes or no answer meaningless.",arguing something is inferior just because it doesn't do something it was never intended to do.,arguing that a claim must be true because there is no evidence that it is false.,"reasoning that determines the conclusion one wants first, then accepts only evidence supporting that conclusion, or interprets all evidence as support for that conclusion.",D,"['dialect', 'cultural', 'none', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']","['Western Culture', 'Western Culture']",[],[],CS,True
logical_fallacies/test/36,logical_fallacies,Humanities,"If you say an opposing arguer has taken a position that you can easily defeat, when he or she has not taken that position, then you go on to defeat that position and claim to have done significant damage to that arguer's overall argument, you are probably guilty of which of the following fallacies?",genetic fallacy,appeal to emotions,straw person,ignorance of refutation,C,[],[],[],[],[],[],-,False
logical_fallacies/test/37,logical_fallacies,Humanities,"""The minor premise must affirm the antecedent or deny the consequent"" is a way to determine the validity of which type of argument?",Categorical syllogism,Disjunctive syllogism,Hypothetical syllogism,Toulmin model,C,[],[],[],[],[],[],-,False
logical_fallacies/test/38,logical_fallacies,Humanities,Arguing that someone couldn't have done something good because he is incapable of doing good commits the fallacy of,Begging the question,False dilemma,Accident,False dichotomy,A,"['cultural', 'cultural', 'cultural', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']","['Western Culture', 'Western Culture', 'Western Culture']",[],[],CS,True
logical_fallacies/test/39,logical_fallacies,Humanities,The complex proposition fallacy involves,including more than one claim in the proposition and treating proof for one claim as proof for all the claims.,"asking a question that includes either an unproven assumption or more than one question, thus making a straightforward yes or no answer meaningless.",arguing that a claim must be true because there is no evidence that it is false.,arguing something is inferior just because it doesn't do something it was never intended to do.,A,"['cultural', 'cultural', 'cultural', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']","['Western Culture', 'Western Culture', 'Western Culture']",[],[],CS,True
logical_fallacies/test/40,logical_fallacies,Humanities,Anecdotal evidence is a specific kind of,False sign,False criteria,False cause,Hasty Generalization,D,"['none', 'none', 'cultural', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",['Western Culture'],[],[],CA,True
logical_fallacies/test/41,logical_fallacies,Humanities,Fallacies can be psychologically persuasive even though they are...,Psychologically impotent,Logically flawed,Deductively valid,Inductively valid,B,[],[],[],[],[],[],-,False
logical_fallacies/test/42,logical_fallacies,Humanities,Referring to an act committed by an opponent in negative terms while referring to the same act committed by the arguer or supporters in favorable terms describes which of the following fallacies?,Ambiguity,Special pleading,Reification,Hypostatization,B,"['cultural', 'cultural', 'cultural', 'cultural']","['No', 'No', 'No', 'No']","[{'end': 194, 'label': 'Cultural', 'score': None, 'start': 152}, {'end': 195, 'label': 'Cultural', 'score': None, 'start': 185}, {'end': 195, 'label': 'Cultural', 'score': None, 'start': 185}, {'end': 194, 'label': 'Cultural', 'score': None, 'start': 185}]","['Western Culture', 'Western Culture', 'Western Culture', 'Western Culture']",[],[],CS,True
logical_fallacies/test/43,logical_fallacies,Humanities,Which of the following explanations best fits the fallacy of ignorance of refutation?,"asserting an argumentative opponent has taken an easily defeated position, which the opponent has not really taken, defeating the position, and acting as if you've done significant damage to that person's overall argument.",causing confusion during refutation because of a real or feigned lack of the ability to engage in refutation,characterizing an opposing argument in such a way to make it or its consequences appear to be ridiculous,arguing an action should be taken based only on the need to be loyal to someone or to a group,B,"['none', 'cultural', 'cultural', 'cultural', 'none']","['No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']","['Western Culture', 'Western Culture', 'Western Culture']",[],[],CS,True
logical_fallacies/test/44,logical_fallacies,Humanities,Another name for the fallacy of reducing to an absurdity is,tu quoque,ad baculum,ad hominem,reductio ad absurdum,D,[],[],[],[],[],[],-,False
logical_fallacies/test/45,logical_fallacies,Humanities,Another name for the fallacy of complex question is,Fallacy of interrogation,Compound proposition,Appeal to ignorance,Extension,A,[],[],[],[],[],[],-,False
logical_fallacies/test/46,logical_fallacies,Humanities,The appeal to joy fallacy involves,arguing that someone should do something based only on the assertion that it will make him or her feel happier,causing confusion during refutation because of a lack of ability to engage in refutation,arguing for a conclusion based only on feeling sorry for someone when that feeling is irrelevant to the conclusion,arguing someone should do something only because other people will like him or her for doing it,A,[],[],[],[],[],[],-,False
logical_fallacies/test/47,logical_fallacies,Humanities,Another name for the fallacy of accident is,Sweeping generalization,Black-or-white fallacy,Petitio principii,False dichotomy,A,[],[],[],[],[],[],-,False
logical_fallacies/test/48,logical_fallacies,Humanities,Which of the following describes the fallacy of evading the issue?,arguing that someone should do something only because of ill will towards someone else,characterizing an opponent's position in a way that makes it seem ridiculous,"supporting a claim with evidence or reasoning that is not relevant to the proposition, or responding to another's argument by changing the subject",attempting to gain agreement based only on the feelings aroused in the message,C,[],[],[],[],[],[],-,False
logical_fallacies/test/49,logical_fallacies,Humanities,Including more than one claim in a proposition may lead to which of the following fallacies?,Complex question,Appeal to ignorance,Compound proposition,Extension,C,[],[],[],[],[],[],-,False
logical_fallacies/test/50,logical_fallacies,Humanities,Which of the following fallacies happens when someone concludes that someone couldn't have done something bad because he or she has good qualities?,Laudatory personality,Guilt by association,Reprehensible personality,Circular reasoning,A,"['none', 'cultural', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",['Western Culture'],[],[],CA,True
logical_fallacies/test/51,logical_fallacies,Humanities,Which of the following describes the fallacy of appeal to popularity?,saying someone should do something because he or she dislikes someone else,saying someone should do something to be better liked by others,saying someone should do something because it will make him or her feel good,saying someone should accept an idea because of the source of the idea,B,"['cultural', 'cultural', 'cultural', 'none', 'cultural']","['No', 'No', 'No', 'No', 'No']","[{'end': 68, 'label': 'Cultural', 'score': None, 'start': 33}, {'end': 68, 'label': 'Cultural', 'score': None, 'start': 37}, '-', '-', '-']","['Western Culture', 'Western Culture', 'Western Culture']",[],[],CS,True
logical_fallacies/test/52,logical_fallacies,Humanities,Which fallacy happens because of a failure to recognize the alternatives presented are not mutually exclusive?,Begging the Question,Accident,Circular reasoning,False dilemma,D,"['none', 'cultural', 'cultural', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', {'end': 13, 'label': 'Cultural', 'score': None, 'start': 6}, {'end': 13, 'label': 'Cultural', 'score': None, 'start': 6}]","['Western Culture', 'Western Culture']",[],[],CS,True
logical_fallacies/test/53,logical_fallacies,Humanities,"In a conditional syllogism, when the minor premise denies the antecedent",no valid conclusion can be drawn,the conclusion must affirm the consequent,the conclusion must deny the consequent,the conclusion must affirm the antecedent,A,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
logical_fallacies/test/54,logical_fallacies,Humanities,"The Dean was showing a visitor around the campus. The visitor asked, ""About how many students do you have here?"" After a moment of reflection the Dean replied, ""Oh, I'd guess about one in a hundred.""",Equivocation,Fallacy of Division,Appeal to Authority,Denying the Antecedent,A,[],[],[],[],[],[],-,False
logical_fallacies/test/55,logical_fallacies,Humanities,The appeal to anonymous authority fallacy consists of,"reasoning that an act or series of acts should be carried out because they will have no significant consequences, when there is no evidence there will be no consequences.",arguing that a claim should be accepted based on the evidence that a large number of people accept it,arguing that something should be done because it has been done in the past,arguing a claim should be accepted based only on the assertion that unidentified authorities accept it,D,[],[],[],[],[],[],-,False
logical_fallacies/test/56,logical_fallacies,Humanities,A hasty generalization is a fallacy of...,Acceptable premises,Unacceptable premises,Deduction,Acceptable but untrue premises,B,[],[],[],[],[],[],-,False
logical_fallacies/test/57,logical_fallacies,Humanities,Which of the following best describes the fallacy of figure of speech?,"Using emotionally charged language to create an impression about the subject of a claim, without making an argument that the language fits the subject.",Treating something that exists in the mind as if it was a real object.,Confusing figurative language with literal language.,A form of loaded language that uses an emotionally charged restatement of the claim in place of support for the claim.,C,"['cultural', 'cultural', 'none', 'none']","['No', 'No', 'No', 'No']","[{'end': 49, 'label': 'Cultural', 'score': None, 'start': 42}, {'end': 69, 'label': 'Cultural', 'score': None, 'start': 42}, '-', '-']","['Western Culture', 'Western Culture']",[],[],CS,True
logical_fallacies/test/58,logical_fallacies,Humanities,The fallacy of extension consists of,"asking a question that includes either an unproven assumption or more than one question, thus making a straightforward yes or no answer meaningless.",arguing something is flawed because it doesn't do what it was never intended to do.,arguing about something when you don't know what you're talking about,including more than one claim in the proposition and treating proof for one claim as proof for all the claims.,B,[],[],[],[],[],[],-,False
logical_fallacies/test/59,logical_fallacies,Humanities,Arguing that a claim must be true because there is no evidence that it is false is which of the following fallacies?,a priori,Extension,Appeal to ignorance,plurium interrogationum,C,[],[],[],[],[],[],-,False
logical_fallacies/test/60,logical_fallacies,Humanities,Which of the following describes the fallacy of appeal to common practice?,"eliminating a source of evidence from consideration by claiming the source is flawed, when there is no true relationship between the alleged flaw and the reliability of the source","reasoning that an act or series of acts should be carried out because they will have no significant consequences, when there is no evidence there will be no consequences",drawing a conclusion after purposely leaving out evidence or ignoring known evidence that might contradict a claim,arguing that something is the right thing to do based only on evidence that other people are already doing it.,D,[],[],[],[],[],[],-,False
logical_fallacies/test/61,logical_fallacies,Humanities,Which of the following is another name for evading the issue?,"""you too"" fallacy",irrelevant conclusion,appeal to fear,argument against the person,B,[],[],[],[],[],[],-,False
logical_fallacies/test/62,logical_fallacies,Humanities,"I don't understand why everyone thinks they belong in college. After all, everyone knows that when you are intelligent you'll succeed. But so many people that elect to attend college don't have even the most basic intelligence. How do they expect to get anywhere here?",Attacking the Person (ad hominem),Straw Man,Denying the Antecedent,Begging the Question,C,"['none', 'regional', 'cultural', 'none', 'none', 'none']","['No', 'No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-', '-']",['Western Culture'],['North America'],['United States of America (USA)'],CA,True
logical_fallacies/test/63,logical_fallacies,Humanities,When someone treats an imaginary concept as if it was something tangible that person might commit the fallacy of,Question begging epithets,Misusing ambiguity,Hypostatization,Amphiboly,C,[],[],[],[],[],[],-,False
logical_fallacies/test/64,logical_fallacies,Humanities,Another name for hasty generalization is,false criteria,secundum quid,anecdotal evidence,ad crumenam,B,[],[],[],[],[],[],-,False
logical_fallacies/test/65,logical_fallacies,Humanities,An arguer who threatens another to gain agreement commits the fallacy of,appeal to force,tu quoque,ignorance of refutation,straw person,A,[],[],[],[],[],[],-,False
logical_fallacies/test/66,logical_fallacies,Humanities,"Which type of syllogism's major premise takes the form, ""All A's are B""?",categorical,disjunctive,conditional,hypothetical,A,[],[],[],[],[],[],-,False
logical_fallacies/test/67,logical_fallacies,Humanities,"Which of the following fallacies happens when someone argues that a choice must be made among a certain set of alternatives, when there are really other alternatives to choose from?",Laudatory personality,Accident,False dilemma,Circular reasoning,C,[],[],[],[],[],[],-,False
logical_fallacies/test/68,logical_fallacies,Humanities,"If you think that someone's argument is strong based on their compelling use of language and confident delivery, you've probably committed which fallacy?",Amphiboly,Equivocation,Special pleading,Style over substance,D,"['cultural', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",['Western Culture'],[],[],CA,True
logical_fallacies/test/69,logical_fallacies,Humanities,Which of the following describes the fallacy of appeal to indignation?,attacking the character or background of someone making an argument instead of his or her evidence and reasoning,responding to charges of wrongdoing by saying other people do the same thing,arguing against a position only based on personal feelings toward the position,responding to an argument with an expression of derision instead of a counter argument,C,"['none', 'cultural', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",['Western Culture'],[],[],CA,True
logical_fallacies/test/70,logical_fallacies,Humanities,Evading burden of proof is another name for the fallacy of,Extension,Appeal to ignorance,Complex question,Complex proposition,B,"['cultural', 'cultural', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']","['Western Culture', 'Western Culture']",[],[],CS,True
logical_fallacies/test/71,logical_fallacies,Humanities,"In a hypothetical syllogism, when the minor premise affirms the antecedent",no valid conclusion can be drawn,the conclusion must affirm the consequent,the conclusion must deny the consequent,the conclusion must deny the antecedent,B,[],[],[],[],[],[],-,False
logical_fallacies/test/72,logical_fallacies,Humanities,"Moses Maimonides, ""The Guide of the Perplexed"": God, may He be exalted ... existed alone, and nothing else. ...Afterwards, through His will and His volition, He brought into existence out of nothing all the beings as they are, time itself being one of the created things. For time is consequent upon motion, and motion is an accident of what is moved. Furthermore, what is moved...is itself created in time ....",Equivocation,Appeal to Authority,Inconsisteny,Slippery Slope,C,[],[],[],[],[],[],-,False
logical_fallacies/test/73,logical_fallacies,Humanities,"John Stuart Mill: Each person's happiness is a good to that person, and the general happiness, therefore, a good to the aggregate of all persons.",Fallacy of Composition,Fallacy of Division,Gambler's Fallacy,Equivocation,A,[],[],[],[],[],[],-,False
logical_fallacies/test/74,logical_fallacies,Humanities,_Circulus in probando_ is another name for,The fallacy of accident,False dilemma,Begging the question,Guilt by association,C,"['dialect', 'cultural', 'cultural', 'cultural', 'none', 'dialect', 'none', 'none']","['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-', '-', '-', '-']","['Western Culture', 'Western Culture', 'Western Culture', 'Western Culture']",[],[],CS,True
logical_fallacies/test/75,logical_fallacies,Humanities,Arguing that an idea should be accepted or rejected only because of the source of the idea commits which of the following fallacies?,genetic fallacy,appeal to popularity,scare tactics,appeal to emotions,A,[],[],[],[],[],[],-,False
logical_fallacies/test/76,logical_fallacies,Humanities,"At the end of the course, Professor Jones told us that we were the best class he had ever had. That's why I'm sure that the 0.0 the appeared on my grade report is a mistake. Surely, if we were as good a class as Professor Jones said we were, none of us deserved to fail.",Fallacy of Composition,Fallacy of Division,Questionable Cause,Appeal to Gallery (Provicialism),B,[],[],[],[],[],[],-,False
logical_fallacies/test/77,logical_fallacies,Humanities,Which of the following best describes the fallacy of equivocation?,A form of loaded language that uses an emotionally charged restatement of the claim in place of support for the claim.,Changing the meaning of a word or phrase from one part of the argument to another.,Confusing figurative language with literal language.,Referring to an act committed by an opponent in negative terms while referring to the same act committed by the arguer or supporters in favorable terms.,B,[],[],[],[],[],[],-,False
