sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
human_aging/test/0,human_aging,Medical,The study of older adults and aging is referred to as,Gerontology,Geropsychiatry,Geriatrics,Gero-education,A,[],[],[],[],[],[],-,False
human_aging/test/2,human_aging,Medical,The docility hypothesis is that,Those with low capabilities are more vulnerable to environmental demands,Those who experience high environmental demands become more docile,Those who experience high environmental demands become less docile,Those with less capability are less vulnerable to environmental demands,A,[],[],[],[],[],[],-,False
human_aging/test/3,human_aging,Medical,Normal memory seems to be improved by,Aerobic exercise,Taking acetylcholine,Taking gingko,Increasing social contacts,A,[],[],[],[],[],[],-,False
human_aging/test/4,human_aging,Medical,The perspective that development is embedded in history means that,Change can always occur regardless of age,Sociocultural conditions must always be considered,"Development in any particular areas (e.g., social) is tied to development in other areas (e.g., cognitive)",Some characteristics change with age while others do not,B,[],[],[],[],[],[],-,False
human_aging/test/5,human_aging,Medical,"The answer ""both play an important role"" is clearly applicable to the question of",Nature vs. nurture,Mechanistic vs organismic,Continuity vs. discontinuity,All of these questions,D,[],[],[],[],[],[],-,False
human_aging/test/7,human_aging,Medical,The houses of the future may allow you to operate virtually everything in the house from a central terminal; such a house is already in production and is referred to as,Technohouse,Compuhouse,Futurehouse,Smarthouse,D,[],[],[],[],[],[],-,False
human_aging/test/8,human_aging,Medical,The reaction time difference between younger and older adults is reduced when older adults,Practice regular aerobic exercise,Lift weights on a regular schedule,Consume large quantities of vitamins,Practice Tai chi,A,[],[],[],[],[],[],-,False
human_aging/test/9,human_aging,Medical,A major difference between programmed and unprogrammed theories of senescence is that programmed theories,Attribute senescence only to environmental factors,Are far too difficulty to test,Claim that senescence follows a predetermined plan,Rely too heavily on computer models,C,[],[],[],[],[],[],-,False
human_aging/test/10,human_aging,Medical,One reason that older adults show high levels of optimism is that,Many pessimists die at a younger age,They do not really know what is going on,This may be a warning sign for dementia,Our measures have low validity,A,[],[],[],[],[],[],-,False
human_aging/test/11,human_aging,Medical,Bu is often late for appointments but says it's because she had more important things on her mind. This is an example of which coping strategy?,Immunization,Accommodation,Avoidance,Assimilation,A,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
human_aging/test/13,human_aging,Medical,That super sweet iced tea that your grandmother gives you might be that way because she,Has lost a lot of sweet taste buds and cannot taste sweetness as well anymore,Is a member of that cohort that really enjoys sweets,Is trying to get you to be a little sweeter than you have been in the past,Has experienced damage in her parietal lobe where sweet sensations are directed,A,[],[],[],[],[],[],-,False
human_aging/test/14,human_aging,Medical,A shortage of these two vitamins can produce symptoms that mimic dementia:,A and C,B6 and B12,B6 and D,B12 and E,B,[],[],[],[],[],[],-,False
human_aging/test/16,human_aging,Medical,"In this chapter's Senior View, Dr. Donham told us that mental stimulation, exercise, diet, and what other factor is important for long life?",Moderate amounts of alcohol,Social support,Good genes,Avoiding stress,C,[],[],[],[],[],[],-,False
human_aging/test/17,human_aging,Medical,Surveys of older adults who are living together show that they tend to view cohabitation as,A first step toward eventual marriage,An alternative to marriage,A way to save on expenses,Their swan song,B,[],[],[],[],[],[],-,False
human_aging/test/18,human_aging,Medical,Older adults may be more attached to a place than younger adults because,That place holds many memories,It's much harder to move when you're older,Young adults pay less attention to place then do older adults,That place represents transcendence,A,[],[],[],[],[],[],-,False
human_aging/test/19,human_aging,Medical,The Hayflick number for human cells is,Unknown,Between 45 and 55,Less than 30,More than 60,B,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
human_aging/test/20,human_aging,Medical,High levels of self-care behaviors have been associated with high levels of,Neuroticism,Extraversion,Agreeableness,Secondary control,C,[],[],[],[],[],[],-,False
human_aging/test/21,human_aging,Medical,Research has offered some longitudinal as well as cross sectional support for the theory put forth by,Peck,Foos,Levenson,Erikson,D,"['regional', 'none', 'none']","['No', 'No', 'No']","['-', '-', '-', '-']",[],['North America'],['United States of America (USA)'],CA,True
human_aging/test/23,human_aging,Medical,Fear of aging has been associated with high levels of,Introversion,Neuroticism,Rigidity,Mid-life crisis,B,[],[],[],[],[],[],-,False
human_aging/test/25,human_aging,Medical,"In this chapter's Senior View, Dr. Shealy advises you to",Stay in school,Eat the right foods,Get plenty of exercise,Find a high paying job,A,"['cultural', 'none', 'none', 'none']","['Yes', 'No', 'No', 'No']","['-', '-', '-', '-', '-', '-', '-']",['Western Culture'],['North America'],['United States of America (USA)'],CA,True
human_aging/test/26,human_aging,Medical,"When your sister Patricia was feeling depressed, you comforted her and reminisced about happier times. You provided which type of social support?",Emotional,Instrumental,Informational,Friendly,A,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
human_aging/test/27,human_aging,Medical,Hearing loss occurs more frequently for,Men than women,Women than men,People who already have some loss of vision,People who are obese,A,[],[],[],[],[],[],-,False
human_aging/test/28,human_aging,Medical,Continued stress is damaging to health and longevity because it leads to,Over exercising which causes physical damage,Suppression of the immune system,"Less eating and, in many cases, severe eating disorders",Risky behaviors such as speeding and not using a seat belt,B,[],[],[],[],[],[],-,False
human_aging/test/30,human_aging,Medical,"According to Tat Kleckley of this chapter's Senior View, the most important part of the healing process for those who are bereaved is to",Stay away from other people for a while,Get out and be active,Talk about your loss,Make new friends who don't know about your loss,C,[],[],[],[],[],[],-,False
human_aging/test/32,human_aging,Medical,Free radicals are produced by,Normal metabolism,Excess consumption of Vitamins A and C,Lack of sunlight,A weakened immune system,A,[],[],[],[],[],[],-,False
human_aging/test/33,human_aging,Medical,Prejudice or bias against older adults is referred to as,Ageism,Oldism,Age bigotry,Senilism,A,[],[],[],[],[],[],-,False
human_aging/test/34,human_aging,Medical,"The program that takes over care for those with 6 or fewer months to live, attempts to keep them at home, provides pain relief, and ends all life-prolonging technologies is called",Euthanasia,Cryonics,Medicare,Hospice,D,[],[],[],[],[],[],-,False
human_aging/test/35,human_aging,Medical,Loss of smell for adults 80 and older is,Very infrequent (less than 15%),Very frequent (more than 75%),Infrequent (less than 40%),Frequent (close to 50%),B,"['regional', 'none', 'none', 'none']","['Yes', 'No', 'No', 'No']","['-', '-', '-', '-']",[],['North America'],['United States of America (USA)'],CA,True
human_aging/test/36,human_aging,Medical,Activation of a class of genes called sirtuins may help to,Prevent some diseases,Ward off dementias,Increase memory and intelligence,Produce emotional stability,A,[],[],[],[],[],[],-,False
human_aging/test/37,human_aging,Medical,Elder abuse most frequently comes from the older adult's,Spouse,Children,Grandchildren,Neighbors,B,[],[],[],[],[],[],-,False
human_aging/test/39,human_aging,Medical,Cells in the eye that respond to low levels of illumination are called,Rods,Cones,Retinal cells,Nocturnal detectors,A,"['none', 'none', 'none', 'none', 'none', 'none']","['No', 'No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-', '-']",[],[],[],CA,True
human_aging/test/40,human_aging,Medical,Some work on age stereotypes suggests that,Positive ones are stronger,Negative ones are stronger,They never last very long,They are very rare,B,[],[],[],[],[],[],-,False
human_aging/test/42,human_aging,Medical,The major question concerning aging and personality is:,Do older adults still have personalities?,Does personality change with age?,Does personality decline as we grow older?,Does personality increase of decrease with age?,B,"['none', 'none', 'none', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
human_aging/test/46,human_aging,Medical,One advantage of an expected death over an unexpected death is that,One can use up some grief before the actual loss,One can make funeral and estate plans with the loved one,One can find ways to avoid having the same death for themselves,One can assist the terminally ill person in speeding their death,B,[],[],[],[],[],[],-,False
human_aging/test/49,human_aging,Medical,The majority of older widows live,Alone,With children,With a friend,In an institution,A,[],[],[],[],[],[],-,False
