sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
world_religions/test/0,world_religions,Humanities, What can murtis be translated as?,Offerings,Prayers,Apparitions,Idols,D,[],[],[],[],[],[],-,False
world_religions/test/2,world_religions,Humanities, When was the first Buddhist temple constructed in Japan?,325 CE,119 CE,451 CE,596 CE,D,[],[],[],[],[],[],-,False
world_religions/test/3,world_religions,Humanities, What is the name of the ten day New Year festival that celebrated Babylon's culture?,Akitu,Wag and Thoth,Bast,Nehebkau,A,"['cultural', 'regional', 'regional', 'cultural', 'cultural']","['No', 'No', 'No', 'No', 'No']","['-', '-', '-', {'end': 50, 'label': 'Cultural', 'score': None, 'start': 13}, {'end': 85, 'label': 'Cultural', 'score': None, 'start': 67}]","['Other', 'Middle Eastern Culture', 'Middle Eastern Culture']",['Asia'],"['Iraq', 'Iraq']",CS,True
world_religions/test/6,world_religions,Humanities," Guru Nanak used what term to denote the ""divine word"" as part of divine revelation?",Shabad,Khalse,Nam,Guru,A,[],[],[],[],[],[],-,False
world_religions/test/7,world_religions,Humanities,What is the mi'raj?,Muhammad's miraculous ascent to heaven,Muhammad's migration to Mecca,Muhammad's first community in Mecca,Muhammad's revelations of the Qur'an,A,"['cultural', 'cultural', 'none', 'cultural', 'cultural']","['No', 'No', 'No', 'No', 'No']","[{'end': 18, 'label': 'Cultural', 'score': None, 'start': 8}, {'end': 18, 'label': 'Cultural', 'score': None, 'start': 12}, '-', '-', '-']","['Other', 'Middle Eastern Culture', 'Middle Eastern Culture']",[],[],CS,True
world_religions/test/8,world_religions,Humanities,"What is the name of the most famous dharmashastras, which probably dates from around the first century?",Laws of Dharma,Laws of Karma,Laws of Vishnu,Laws of Manu,D,"['cultural', 'cultural', 'cultural', 'cultural']","['No', 'No', 'No', 'No']","[{'end': 50, 'label': 'Cultural', 'score': None, 'start': 36}, {'end': 50, 'label': 'Cultural', 'score': None, 'start': 36}, {'end': 50, 'label': 'Cultural', 'score': None, 'start': 29}, {'end': 50, 'label': 'Cultural', 'score': None, 'start': 36}]","['South Asian Culture', 'South Asian Culture', 'South Asian Culture', 'South Asian Culture']",['Asia'],['India'],CS,True
world_religions/test/9,world_religions,Humanities,"What does the term ""Qur'an"" literally mean?",The Holy Book,The Narrative,The Recitation,The Pillars,C,[],[],[],[],[],[],-,False
world_religions/test/11,world_religions,Humanities," Which tradition is known to promote ""gradual enlightenment""?",Bushido,Shinto,Nichiren,Soto Zen,D,[],[],[],[],[],[],-,False
world_religions/test/12,world_religions,Humanities,What is the communal meal offered at the place of worship called in Sikhism?,Sangat,Langar,Gurdwara,Panth,B,[],[],[],[],[],[],-,False
world_religions/test/13,world_religions,Humanities,To which tradition do the anti-Han rebel group known as the Celestial Masters belong?,Buddhism,Daoism,Confucianism,Shamanism,B,[],[],[],[],[],[],-,False
world_religions/test/14,world_religions,Humanities,"What does the word ""Islam"" mean in Arabic?",Worship,Submission,Obedience,Faith,B,[],[],[],[],[],[],-,False
world_religions/test/15,world_religions,Humanities,What does the term anatman mean?,Suffering,Soul,Impermanence,No-self,D,[],[],[],[],[],[],-,False
world_religions/test/16,world_religions,Humanities, What genre of Sikh literature is denoted by the term janam-sakhis?,Spiritual narratives,Redemption narratives,Birth narratives,Theological narratives,C,[],[],[],[],[],[],-,False
world_religions/test/17,world_religions,Humanities,Pure Land Buddhism belongs to which school?,Vajrayana,Theravada,Mahayana,Mahavira,C,[],[],[],[],[],[],-,False
world_religions/test/18,world_religions,Humanities, Which Jaina group only allows women to lead a life of semi-renunciation?,Svetambara,Jina,Agama,Digambara,D,[],[],[],[],[],[],-,False
