sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
global_facts/test/3,global_facts,Other,Which of the following countries generated the most total energy from solar sources in 2019?,China,United States,Germany,Japan,A,[],[],[],[],[],[],-,False
global_facts/test/13,global_facts,Other,Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,A,"['regional', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
global_facts/test/24,global_facts,Other,Which of the following is true as of 2020?,males are more likely to have depression and are more likely to have an alcohol use disorder than females.,females are more likely to have depression and are more likely to have an alcohol use disorder than males.,males are more likely than females to have depression while females are more likely than males to have an alcohol use disorder.,females are more likely than males to have depression while males are more likely than females to have an alcohol use disorder.,D,"['cultural', 'none', 'regional', 'none', 'none', 'none', 'regional', 'none']","['No', 'No', 'No', 'Yes', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-', '-', '-', '-']",[],[],[],CA,True
global_facts/test/36,global_facts,Other,Which of the following was responsible for the most death in the 20th century?,Earthquakes,Volcanic activity,Wildfires,Floods,D,[],[],[],[],[],[],-,False
global_facts/test/42,global_facts,Other,"As of 2019, which of the following had the lowest life expectancy?",Brazil,China,Mexico,Iran,C,[],[],[],[],[],[],-,False
global_facts/test/44,global_facts,Other,Which of the following causes more deaths globally each year (as of 2017)?,Diarrheal diseases,Diabetes,Dementia,Road injuries,C,[],[],[],[],[],[],-,False
global_facts/test/64,global_facts,Other,"Consider the following statements: (1) In every country, people think other individuals in their country are less happy than they actually are. (2) In the United States, women’s happiness has increased both absolutely and relative to men. Which of these statements is True/False?","True, True","True, False","False, True","False, False",B,[],[],[],[],[],[],-,False
global_facts/test/67,global_facts,Other,Which of the following countries emitted the most CO2 per capita in 2017?,Japan,Canada,Russia,Iran,B,"['regional', 'none', 'regional', 'regional', 'none']","['No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",[],"['North America', 'North America']","['Canada', 'Canada', 'Canada']",CS,True
global_facts/test/77,global_facts,Other,"As of 2013, which of the following countries had the highest per capita rate of homelessness?",US,Chile,Ireland,Spain,A,"['none', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],['North America'],"['United States of America (USA)', 'United States of America (USA)']",CS,True
global_facts/test/84,global_facts,Other,"Consider the following statements: (1) As countries get richer, the population tends to report higher average life satisfaction. (2) Important life events such as marriage or divorce do affect our happiness, but have surprisingly little long-term impact. Which of these statements is True/False, as of 2020?","True, True","True, False","False, True","False, False",A,[],[],[],[],[],[],-,False
global_facts/test/87,global_facts,Other,Which of the following countries invested the largest fraction of its GDP in renewable energy in 2015?,China,Japan,Chile,India,C,"['regional', 'regional', 'none', 'regional', 'regional', 'none']","['No', 'No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-', '-']",[],['South America'],"['Chile', 'Chile', 'Chile']",CS,True
global_facts/test/90,global_facts,Other,Which of the following countries emitted the most CO2 in 2017?,Canada,Russia,Iran,Japan,D,"['none', 'none', 'regional', 'regional']","['No', 'No', 'No', 'No']","['-', '-', {'end': 32, 'label': 'Geographic', 'score': None, 'start': 0}, {'end': 32, 'label': 'Geographic', 'score': None, 'start': 23}]",[],[],"['Japan', 'Canada']",CS,True
global_facts/test/91,global_facts,Other,"At the time of independence, there were already hundreds of thousands of university graduates in ____, but hardly any at all in ____.","India, Congo","India, South Korea","Congo, South Korea","South Korea, India",A,"['none', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],"['Congo', 'Congo', 'Congo']",CS,True
global_facts/test/97,global_facts,Other,Which of the following mental disorders is most prevalent in the world?,Bipolar disorder,Schizophrenia,Alcohol use disorders,Anxiety disorders,D,[],[],[],[],[],[],-,False
