sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
high_school_mathematics/test/41,high_school_mathematics,STEM,"A number’s prime factors are 2, 5, 7, 13, and 31. Which of the following must be a factor of the number?",4,6,10,15,C,[],[],[],[],[],[],-,False
high_school_mathematics/test/57,high_school_mathematics,STEM,The longest side of a triangle is 10. Which of the following could NOT be the lengths of the other two sides?,"4, 7","5, 5","3, 9","9, 8",B,[],[],[],[],[],[],-,False
high_school_mathematics/test/62,high_school_mathematics,STEM,"If f (x) = x^3 + 2x^2 – 9x – 18, which of the following statements is true?",f (x) = 0 has three real solutions.,f (x) ≥ –18 for all x ≥ 0.,f (x) ≤ –18 for all x ≤ 0.,The function f (x) is decreasing for x ≤ –3.,A,[],[],[],[],[],[],-,False
high_school_mathematics/test/99,high_school_mathematics,STEM,Which of the following points is NOT a solution to both the inequalities y > 9x – 8 and y < – x + 8?,"(– 2, 15)","(–1, 5)","(0, 0)","(1, 5)",A,[],[],[],[],[],[],-,False
high_school_mathematics/test/132,high_school_mathematics,STEM,"For all real numbers $r$ and $s$, define the mathematical operation $\#$ such that the following conditions apply: $r\ \#\ 0 = r, r\ \#\ s = s\ \#\ r$, and $(r + 1)\ \#\ s = (r\ \#\ s) + s + 1$. What is the value of $11\ \#\ 5$?",11,12,64,71,D,[],[],[],[],[],[],-,False
high_school_mathematics/test/135,high_school_mathematics,STEM,"John is playing a game in which he tries to obtain the highest number possible. He must put the symbols +, $\times$, and - (plus, times, and minus) in the following blanks, using each symbol exactly once:\[2 \underline{\hphantom{8}} 4 \underline{\hphantom{8}} 6 \underline{\hphantom{8}} 8.\] John cannot use parentheses or rearrange the numbers. What is the highest possible number that John could obtain?",22,46,100,99,B,[],[],[],[],[],[],-,False
high_school_mathematics/test/142,high_school_mathematics,STEM,Simplify the following expression: $(9x^9+7x^8+4x^7) + (x^{11}+x^9+2x^7+3x^3+5x+8).$ Express your answer as a polynomial with the degrees of the terms in decreasing order.,x^{11}+2x^9+2x^8,x^{11}-6x^8+6x^7+3x^3+5x+8,x^11 + 10x^9 + 7x^8+6x^73x^3+5x+8,x^{11}+10x^9+7x^8+6x^7+3x^3+5x+8,D,[],[],[],[],[],[],-,False
high_school_mathematics/test/169,high_school_mathematics,STEM,Which of the following could NOT be the sides of an isosceles triangle?,"2,2,3","2,2,4","4,12,12","5,5,5",B,[],[],[],[],[],[],-,False
high_school_mathematics/test/199,high_school_mathematics,STEM,"If g (x) = f (–x) for all real numbers x, and if (3, 2) is a point on the graph of g, which of the following points MUST be on the graph of f ?","(3, 2)","(3, –2)","(–3, 2)","(–3, –2)",C,"['none', 'regional', 'none', 'none', 'none']","['No', 'Yes', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",[],[],[],CA,True
high_school_mathematics/test/218,high_school_mathematics,STEM,"John has five children. What is the probability that at least half of them are girls? (We can assume a boy is equally likely to be born as is a girl, and vice-versa.)",\frac{1}{2},\frac{1}{4},\frac{1}{8},\frac{3}{5},A,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
high_school_mathematics/test/226,high_school_mathematics,STEM,A consumer report revealed the following information about three tubes of toothpaste. Bright is $60 \%$ more expensive than Fresh and has $25\%$ less volume than Glow. Glow is $25\%$ less expensive than Bright and has $33\frac{1}{3} \%$ more volume than Fresh. Fresh costs $\$1.00$ per unit of volume. What is the number of cents per unit of volume of Glow?,90,120,60,320,A,[],[],[],[],[],[],-,False
high_school_mathematics/test/265,high_school_mathematics,STEM,"Alex needs to borrow $\$10,\!000$ from the bank. The bank gives him two options. 1. A ten-year loan with an annual interest rate of $10\%$ compounded quarterly, with the condition that at the end of 5 years, Alex must make a payment equal to half of what he owes. The other half continues to accrue interest, and at the end of the ten years, Alex will pay off the remaining balance. 2. A ten-year loan with a simple annual interest rate of $12\%$, with just one lump-sum payment at the end of the ten years. Find the positive difference between the total amounts Alex has to pay back under the two schemes. Round your answer to the nearest dollar.",16401,16400,382,383,C,[],[],[],[],[],[],-,False
high_school_mathematics/test/266,high_school_mathematics,STEM,"If f is a linear function with nonzero slope, and c < d, which of the following must be FALSE?",f (c) = f (d),f (c) ≠ f (d),f (c) > f (d),f (c) < f (d),A,[],[],[],[],[],[],-,False
