sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
college_biology/test/3,college_biology,STEM,Which of the following is a second messenger that stimulates release of calcium ions into the cytoplasm?,Prostaglandins,Inositol triphosphate,Cyclic AMP,Calmodulin,B,"['none', 'none', 'none', 'none']","['No', 'No', 'Yes', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
college_biology/test/5,college_biology,STEM,"In order for the Hardy-Weinberg law to operate with respect to a population of organisms, each of the following conditions must be met EXCEPT:",Genes are exchanged with other populations.,Population size is large.,Natural selection does not take place.,Matings are random.,A,[],[],[],[],[],[],-,False
college_biology/test/7,college_biology,STEM,Which of the following is NOT a source of atmospheric carbon?,Respiration,Photosynthesis,Bacterial decomposition,Combustion of fossil fuels,B,"['none', 'none', 'none', 'none', 'none']","['No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",[],[],[],CA,True
college_biology/test/9,college_biology,STEM,"When an influenza virus enters a cell, it immediately starts to do which of the following?",Incorporate viral DNA into the host cell’s chromosome,Destroy the host cell’s transcriptional machinery,Replicate its genetic material and synthesize viral proteins,Use a viral copy of reverse transcriptase to manufacture viral DNA,C,"['none', 'none', 'none', 'none', 'none', 'none', 'none', 'none']","['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-', '-', '-', '-']",[],[],[],CA,True
college_biology/test/11,college_biology,STEM,Targeting of a newly synthesized protein is most likely to require two different signal peptides for which of the following destinations?,Plasma membrane,Lysosome,Cytosol,Chloroplast,D,"['none', 'none', 'none', 'none', 'none']","['No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",[],[],[],CA,True
college_biology/test/12,college_biology,STEM,"In Sweden, the red fox (Vulpes vulpes) severely limits populations of its prey, including hares. However, red fox populations are sometimes attacked by a fatal parasite, the mange mite. As mite population sizes increase at a given site, how are hare and fox populations most likely to respond at the same site? (Assume that hares have no major predators at this site other than foxes.)",Both fox and hare populations will decrease.,Both fox and hare populations will increase.,Fox populations will decrease and hare populations will increase.,Fox populations will increase and hare populations will decrease.,C,"['none', 'none', 'none', 'none', 'regional']","['No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",[],['Europe'],['Sweden'],CA,True
college_biology/test/13,college_biology,STEM,"A cell nucleus contains which of the following?
I. DNA
II. Protein
III. RNA",I only,II only,III only,"I, II, and III",D,[],[],[],[],[],[],-,False
college_biology/test/14,college_biology,STEM,"In one taxonomic classification, Archaea, Eukarya, and Bacteria represent the three major domains of life. Eukarya utilize the general transcription factors TBP (TATA-binding protein) and TFIIB in transcription, whereas Bacteria do not. At least one member of Archaea has a protein similar to TBP and a protein similar to TFIIB. Based on this observation, which of the following scenarios is most likely?",Archaea and Eukarya diverged after their common ancestor diverged from Bacteria.,Archaea and Bacteria diverged after their common ancestor diverged from Eukarya.,Bacteria and Eukarya diverged after their common ancestor diverged from Archaea.,"Archaea, Eukarya, and Bacteria diverged simultaneously from a common ancestor.",A,[],[],[],[],[],[],-,False
college_biology/test/16,college_biology,STEM,Which of the following is a benefit that mycorrhizal fungi confer to many plants?,They protect plant roots from desiccation in extremely dry habitats.,"They fix nitrogen, which is particularly important for plants in nitrogen-limited habitats.","They provide access to phosphorus, an essential element that is limited in many kinds of soils.",They provide carbon to plants in exchange for fixed nitrogen.,C,[],[],[],[],[],[],-,False
college_biology/test/17,college_biology,STEM,"Experiments on song development in birds have shown that when a young male reared in isolation hears only the song of a different bird species, he will develop an adult song repertoire that lacks certain characteristics typical of his own species. This result shows that the song of his species is most likely",entirely learned during development,entirely instinctive,both instinctive and learned,dependent upon hormones for proper development,C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
college_biology/test/18,college_biology,STEM,Which of the following most accurately describes a retrotransposon?,A DNA sequence that can move from one site in the genome to another without replicating,A DNA sequence that can be deleted from the genome without consequence,A DNA sequence that replicates via an RNA intermediate,A DNA sequence that replicates via a protein intermediate,C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
college_biology/test/19,college_biology,STEM,The soils of which of the following biomes has the highest rate of leaching and cycling of nutrients?,Tropical rain forest,Tundra,Taiga,Desert,A,[],[],[],[],[],[],-,False
college_biology/test/20,college_biology,STEM,Which of the following best explains why enzymes are effective in facilitating chemical reactions?,"They raise the temperature of the reaction mixture, thereby speeding up the conversion of reactants to products.",They alter the equilibrium constant of a reaction (K_eq) so that more reactant can be converted to product.,They increase the maximal rate of the chemical reaction (V_max).,"They lower the activation energy, thereby speeding up the conversion of reactants to products.",D,[],[],[],[],[],[],-,False
college_biology/test/26,college_biology,STEM,Brood parasites such as the cuckoo successfully trick other species of birds into rearing their young by exploiting the host birds' instinctive response to the loud begging cues of a fledgling in their nest. The genes that allow the host bird species to be duped into rearing the cuckoo fledglings to the detriment of their own offspring most likely remain in the gene pool of the population because,"on average, the host birds' response allows them to rear their own young efficiently by feeding only those who indicate they are hungry",the maximum fitness of the duped bird is not compromised when the bird rears an interloper of another species,"on average, little energy is spent on rearing a fledgling bird, whether it is an interloper or one's own",the maximum fitness of the cuckoo would then be reduced,A,[],[],[],[],[],[],-,False
college_biology/test/27,college_biology,STEM,"Cell motility, as viewed in a cultured fibroblast, encompasses all of the following EXCEPT",adhesion plaques,vinculin,clathrin,lamellipodia,C,[],[],[],[],[],[],-,False
college_biology/test/29,college_biology,STEM,Adaptations of plants to minimize water loss in environments with high temperatures include which of the following?,Numerous stomata,Thin cuticles,Spines instead of leaves,Large surface-to-volume ratios,C,"['none', 'none', 'regional', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
