sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
human_sexuality/test/0,human_sexuality,Social Sciences,Which of the following methods of detecting breast cancer involves exposure to radiation?,Needle aspiration,Mammography,Mastectomy,Lumpectomy,B,[],[],[],[],[],[],-,False
human_sexuality/test/2,human_sexuality,Social Sciences,Which of the following is/are true of gonorrhea?,can be treated with antibiotics,has a high risk of infection with a single exposure,is asymptomatic (without symptoms) in only a small percentage of those infected,infections are limited to genital areas,A,[],[],[],[],[],[],-,False
human_sexuality/test/3,human_sexuality,Social Sciences,"You are a homosexual male: Last night, you were tempted by lusty, swarthy Jacques (the king of fraternity row) to join him at the local dairy bar for a tall cool glass of milk. You also briefly considered studying for this test, but Jacques won out. In Freudian terms, which of the following was dominant?",the id,the ego,the superego,the Oedipus complex,A,[],[],[],[],[],[],-,False
human_sexuality/test/5,human_sexuality,Social Sciences,"According to a study by Sprecher, Barbee, and Schwartz (1995), women were more likely than men to have ________ following their first act of intercourse.",felt glad,felt fear,experienced guilt,experienced regret,C,[],[],[],[],[],[],-,False
human_sexuality/test/7,human_sexuality,Social Sciences,Joe wants desperately to get close to Helen. Helen appears to be put off by Joe's desperate advances. This is typical of Joe's relationships with women. According to attachment theory Joe would best be described as:,a secure lover,an avoidant lover,an anxious-ambivalent lover,a passionate lover,C,"['none', 'cultural', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",['Western Culture'],[],[],CA,True
human_sexuality/test/8,human_sexuality,Social Sciences,Bruce is a homosexual man. His friend Chuck is a heterosexual man. If we could have observed Bruce and Chuck as children we might have expected which of the following?,Bruce likely participated in more female-typical play than Chuck.,Bruce likely participated in more male-typical play than Chuck.,Bruce and Chuck likely participated in more male-typical play than female-typical play.,Bruce's father was more likely to have homosexual tendencies than Chuck's father.,A,[],[],[],[],[],[],-,False
human_sexuality/test/16,human_sexuality,Social Sciences,"Which of the following theories uses terms such as ""modelling"" and ""imitation"" to explain the effects of exposure to erotica on a person's behaviour?",sociobiology,psychoanalytic theory,script theory,social learning theory,D,[],[],[],[],[],[],-,False
human_sexuality/test/17,human_sexuality,Social Sciences,"________ men, on the average, begin engaging in sexual intercourse approximately two years later than ________ men do.",Mexican Americans and whites; African Americans,Mexican Americans; African Americans and whites,African Americans; whites and Latinos,Whites; African Americans and Latinos,A,[],[],[],[],[],[],-,False
human_sexuality/test/19,human_sexuality,Social Sciences,Which of the following characteristics are generally consistent with date rape?,use of excessive force,premeditated,sexually motivated,involves use of a weapon,C,[],[],[],[],[],[],-,False
human_sexuality/test/20,human_sexuality,Social Sciences,"According to John Money, __________ refers to a person's private internal sense of maleness or femaleness.",Gender identity,Sexual nomenclature,Gender schema,Intrapsychic sexual orientation,A,[],[],[],[],[],[],-,False
human_sexuality/test/22,human_sexuality,Social Sciences,People who cannot reach orgasm without touching a woman's shoe would certainly be considered sexually abnormal or deviant by which of the following definitions?,psychological,sociological,statistical,b and c,D,[],[],[],[],[],[],-,False
human_sexuality/test/23,human_sexuality,Social Sciences,"If a woman or man repeatedly experiences pain during intercourse, she will probably want to have intercourse infrequently or not all. In this situation, __________ would likely classify the pain as a punishment.",Sigmund Freud,John Money,B. F. Skinner,Havelock Ellis,C,"['cultural', 'regional', 'cultural', 'regional']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",['Western Culture'],"['North America', 'North America']","['United States of America (USA)', 'United States of America (USA)']",CS,True
human_sexuality/test/25,human_sexuality,Social Sciences,The egg can be fertilized until about _______ after ovulation.,6 hours,24 hours,72 hours,1 week,B,"['none', 'none', 'none', 'none', 'none']","['No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",[],[],[],CA,True
human_sexuality/test/26,human_sexuality,Social Sciences,"After releasing an egg, the follicle, under stimulation of luteinizing hormone, turns into a a glandular mass of cells called the __________",corpus cavernosum,corpus luteum,corpus callosum,corpus glandula,B,[],[],[],[],[],[],-,False
human_sexuality/test/29,human_sexuality,Social Sciences,Buffy and Willow were discussing their sexual fantasies. Buffy revealed that she sometimes fantasizes about sex with other women even though she normally finds herself attracted to men. She also fantasizes about group sex. Which of the following statements can be inferred from Buffy's fantasies?,Buffy's fantasies suggest that she must be a latent homosexual or bisexual.,Buffy's fantasies are indicative of a paraphilia.,Buffy's fantasies indicate that she is not getting enough sex to keep her satisfied.,Buffy's fantasies are fairly typical and tell us little about her sexual tendencies.,D,[],[],[],[],[],[],-,False
human_sexuality/test/32,human_sexuality,Social Sciences,Which of the following restrictions existed in at least one culture? No sex,for a period of time following childbirth,during menstruation,between parents and children,all of the above,D,"['none', 'none', 'cultural', 'none', 'cultural']","['No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",[],[],[],CA,True
human_sexuality/test/33,human_sexuality,Social Sciences,Which of the following teenagers have the highest pregnancy rates?,U.S.,Canadian,Swedish,French,A,"['cultural', 'regional', 'regional', 'regional']","['Yes', 'Yes', 'Yes', 'Yes']","['-', '-', '-', '-']",['Western Culture'],"['North America', 'North America']","['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True
human_sexuality/test/36,human_sexuality,Social Sciences,"An adult feels himself becoming aroused when looking at a child and realizes that the response is totally inappropriate, as a result he feels anxiety rather than arousal. This is an example of __________ according to Walen and Roth's cognitive model of the sexual response.",negative perception,negative evaluation,negative arousal,cognitive dissonance,B,"['none', 'none', 'regional', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],['North America'],['United States of America (USA)'],CA,True
human_sexuality/test/38,human_sexuality,Social Sciences,"According to the Ethnocultural Communities Facing AIDS study, single _________ men are more likely than single _________ to report having had more than one sexual partner in the previous year.",Chinese; North African Muslim,South Asian; English-speaking Caribbean,South Asian; Chinese,North African Muslim; Latin American,B,"['regional', 'none', 'regional', 'regional', 'regional', 'regional']","['Yes', 'No', 'Yes', 'Yes', 'No', 'Yes']","['-', '-', {'end': 60, 'label': 'Geographic', 'score': None, 'start': 17}, {'end': 60, 'label': 'Geographic', 'score': None, 'start': 17}, '-', '-']",[],"['North America', 'North America']",['United States of America (USA)'],CS,True
human_sexuality/test/39,human_sexuality,Social Sciences,Penile or clitoral erection occurs because of activation of the _________ system.,pathetic,apathetic,sympathetic,parasympathetic,D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
human_sexuality/test/40,human_sexuality,Social Sciences,Which of the following is homologous to the glans of the penis?,labia minora,labia majora,mons,clitoris,D,[],[],[],[],[],[],-,False
human_sexuality/test/41,human_sexuality,Social Sciences,What day of a typical 28-day menstrual cycle is a woman likely to ovulate?,4,10,14,22,C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
human_sexuality/test/47,human_sexuality,Social Sciences,Hillary just found out that she is pregnant but she suspects that her husband has been fooling around. It is important that she be tested for chlamydia because chlamydia can cause which of the following complications?,tubal pregnancies,premature delivery,spontaneous abortion,all of the above,D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
human_sexuality/test/49,human_sexuality,Social Sciences,Which of the following is the most common method of birth control for married couples in the U.S..,Sterilization,The IUD,The diaphragm,The rhythm method,A,[],[],[],[],[],[],-,False
human_sexuality/test/50,human_sexuality,Social Sciences,The theory of _______ is used by sociobiologists specifically to explain the evolution of gender differences.,natural selection,the new synthesis,sexual selection,the gender schema,C,[],[],[],[],[],[],-,False
human_sexuality/test/52,human_sexuality,Social Sciences,Which of the following have menstrual cycles?,some monkey species,some ape species,some breeds of dogs,a and b only,D,[],[],[],[],[],[],-,False
