sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
jurisprudence/test/1,jurisprudence,Humanities,Maine's famous aphorism that 'the movement of progressive societies has hitherto been a movement from Status to Contract' is often misunderstood. In what way?,It is misinterpreted as a prediction.,His concept of status is misrepresented.,It is taken literally.,His idea is considered inapplicable to Western legal systems.,A,[],[],[],[],[],[],-,False
jurisprudence/test/4,jurisprudence,Humanities,Which proposition below is the most consistent with what Rawls claims the POP would opt for in respect of 'social primary goods'?,The POP will choose wealth over a compassionate society.,The POP will choose equality over power.,The POP will be unselfish.,The POP will choose to protect the disabled.,A,[],[],[],[],[],[],-,False
jurisprudence/test/7,jurisprudence,Humanities,How does Weber solve the 'England problem'?,By denying its existence.,By explaining the difference between the common law and civil law.,By distinguishing certain features of the English legal system that facilitated the development of capitalism.,By recognizing the importance of legitimate domination.,C,"['regional', 'cultural', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 14, 'label': 'Geographic', 'score': None, 'start': 9}, {'end': 43, 'label': 'Cultural', 'score': None, 'start': 9}, '-', '-']","['Western Culture', 'Western Culture', 'Western Culture']","['Europe', 'Europe']","['United Kingdom (UK)', 'United Kingdom (UK)', 'United Kingdom (UK)']",CS,True
jurisprudence/test/9,jurisprudence,Humanities,"Catharine MacKinnon argues that since men dominate women, the question is ultimately one of power. Which proposition below is the most inconsistent with this argument?",Women can achieve equality through political pressure.,Equality is impossible because men define women as different.,The idea of 'woman' needs to be redefined.,The world is phallocentric and oppressive.,A,[],[],[],[],[],[],-,False
jurisprudence/test/10,jurisprudence,Humanities,Who was an exponent of “natural law with a variable content”?,John Rawls,Stammler,Jerome Hall,John Finns,B,"['cultural', 'none', 'cultural', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']","['Western Culture', 'Western Culture', 'Western Culture']",['Europe'],['Germany'],CS,True
jurisprudence/test/12,jurisprudence,Humanities,"According to Malinowski, the Trobriand Islanders organized their society around what concept?",Conflict.,Love.,War.,Reciprocity.,D,"['none', 'none', 'regional', 'cultural', 'regional', 'regional']","['No', 'No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-', '-']",['Western Culture'],['Australia and Oceania'],"['Papua New Guinea', 'Papua New Guinea']",CS,True
jurisprudence/test/13,jurisprudence,Humanities,In Justice for Hedgehogs Dworkin endorses 'Hume's principle'. What does he understand by this idea?,That there is no distinction between law and morality.,That there is a distinction between right and wrong.,That facts about the world or human nature cannot normally ordain what ought to be,That human rights are fundamentally unsound.,C,"['cultural', 'cultural', 'regional', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']","['Western Culture', 'Western Culture']",['North America'],['United States of America (USA)'],CS,True
jurisprudence/test/14,jurisprudence,Humanities,Lyotard's dictum 'I define postmodern as incredulity toward meta-narratives' means:,Individual stories are suspect.,The law is static.,Universal values are meaningless.,Literature reproduces repression.,C,"['none', 'cultural', 'cultural', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', {'end': 9, 'label': 'Cultural', 'score': None, 'start': 0}, {'end': 9, 'label': 'Cultural', 'score': None, 'start': 0}]","['Western Culture', 'Western Culture', 'Western Culture']",[],['France'],CS,True
jurisprudence/test/16,jurisprudence,Humanities,To claim that one has a prima facie duty to obey the law is to assert that:,"One is under a duty to obey the law without exception, regardless of its content.",There is no duty to obey a law to which one hasn't agreed.,The duty applies only to those who are directly affected by the law in question.,The obligation arises independently of the precise legal provisions involved - unless there are grounds to justify a specific exception.,D,[],[],[],[],[],[],-,False
jurisprudence/test/17,jurisprudence,Humanities,Dworkin contends that to every legal question there is only one right answer. Which proposition below is most inconsistent with this claim?,In hard cases judges generally decide cases on the basis of rights.,The rights of the parties feature in the determination of most cases before the courts.,Judges exercise strong discretion.,Judges seek the best 'fit' with constitutional and institutional history.,C,"['regional', 'regional', 'none', 'regional', 'cultural']","['No', 'No', 'No', 'No', 'No']","[{'end': 7, 'label': 'Geographic', 'score': None, 'start': 0}, {'end': 7, 'label': 'Geographic', 'score': None, 'start': 0}, '-', '-', '-']","['Western Culture', 'Western Culture', 'Western Culture']",['North America'],"['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True
jurisprudence/test/19,jurisprudence,Humanities,According to Austin the science of jurisprudence is concerned with,Morality,Positive law,Divine law,Natural law,B,[],[],[],[],[],[],-,False
jurisprudence/test/21,jurisprudence,Humanities,Hart argues that secondary rules are 'power-conferring' but this seems unconvincing in the case of the rule of recognition because:,It both confers power and imposes duties on judges to decide cases.,It is not a social rule.,It applies only in the case of unitary constitutions.,It fails to specify the source of authority.,A,[],[],[],[],[],[],-,False
jurisprudence/test/23,jurisprudence,Humanities,Which proposition below may be characterized as the most powerful refutation by Hart of Lord Devlin's argument?,Society has no right to preserve its moral and social cohesion through the criminal law.,Homosexual acts cause public outrage.,The courts are the best place to resolve moral questions such as those concerning homosexuality and prostitution.,The law is anachronistic.,A,[],[],[],[],[],[],-,False
jurisprudence/test/24,jurisprudence,Humanities,What relationships to the type of law that exists in society does Durkheim identify between (1) mechanical and (2) organic solidarity?,Mechanical solidarity produces conflict in society. Organic solidarity leads to greater social harmony.,Mechanical solidarity leads to repressive law. Organic solidarity leads to restitutive law.,Mechanical solidarity fosters efficiency. Organic solidarity leads to inefficiency.,Mechanical solidarity generates a more democratic legal system; organic solidarity a more authoritarian legal system.,B,[],[],[],[],[],[],-,False
jurisprudence/test/32,jurisprudence,Humanities,Which is the least accurate description of legal positivism?,It regards morals and law as inseparable.,It perceives law as commands.,It regards a legal order as a closed logical system.,It espouses the view that there is no necessary connection between morality and law.,A,[],[],[],[],[],[],-,False
jurisprudence/test/33,jurisprudence,Humanities,Which proposition below is the most powerful refutation of Bentham's felicific calculus?,Happiness is less important than economic prosperity.,It is impossible to calculate all the consequences of one's acts.,Pain and pleasure are inevitable features of life.,Utilitarianism fails to take account of differences in social background.,B,"['none', 'cultural', 'none']","['No', 'No', 'No']","['-', '-', '-', '-']",['Western Culture'],[],[],CA,True
jurisprudence/test/35,jurisprudence,Humanities,Why does a Marxist account of law reject individual rights?,Because they are inconsistent with state control.,Because they are an expression of a capitalist economy and are unnecessary in a socialist society.,Because the concept of rights is philosophically unsound.,"Because Marx, Engels, and Lenin failed to provide a coherent analysis of rights.",B,"['cultural', 'cultural', 'cultural', 'cultural', 'cultural', 'cultural']","['No', 'No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', {'end': 18, 'label': 'Cultural', 'score': None, 'start': 11}, {'end': 18, 'label': 'Cultural', 'score': None, 'start': 11}]","['Western Culture', 'Western Culture', 'Western Culture', 'Western Culture', 'Western Culture', 'Western Culture']",[],[],CS,True
jurisprudence/test/36,jurisprudence,Humanities,Kelsen’s theory of law is called pure theory because Kelsen :,Purely discussed jurisprudence only,Defined law in according with morality and purity,"Separated law from religion, ethics, sociology and history",Discussed law purely in terms of justice,A,"['cultural', 'none', 'cultural', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']","['Western Culture', 'Western Culture']",[],[],CS,True
jurisprudence/test/38,jurisprudence,Humanities,The body of law which establishes rights between persons and provides for redress for violation of those rights is known as:,Criminal Law,Civil Law.,The Uniform Commercial Code.,Stare decisis.,B,[],[],[],[],[],[],-,False
