sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
world_religions/test/1,world_religions,Humanities, Naturalists who concentrated on natural elements and processes are associated with which of the following?,Daoism,Yin-Yang School,Mengzi,Humanistic Buddhism,B,[],[],[],[],[],[],-,False
world_religions/test/4,world_religions,Humanities,Which of the following terms denote the Japanese art of flower arranging?,Zazen,Tariki,Kami,Ikebana,D,"['cultural', 'cultural', 'dialect', 'regional', 'regional', 'dialect', 'cultural', 'cultural']","['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-', '-', '-', '-']","['Eastern Asia Culture', 'Eastern Asia Culture', 'Eastern Asia Culture', 'Eastern Asia Culture', 'Eastern Asia Culture', 'Eastern Asia Culture', 'Eastern Asia Culture']","['Asia', 'Asia', 'Asia']","['Japan', 'Japan', 'Japan', 'Japan', 'Japan', 'Japan', 'Japan']",CS,True
world_religions/test/5,world_religions,Humanities, Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following?,Harmony and balance,Devotion and piety,Love and passion,Goodwill and love,A,[],[],[],[],[],[],-,False
world_religions/test/10,world_religions,Humanities, Mani referred to God by which of the following names?,Mother of Light,Father of Goodness,Ineffable Lover,Eternal Spirit,B,[],[],[],[],[],[],-,False
world_religions/test/20,world_religions,Humanities, The socio-political alliance between the kshatriyas and the shramanas was rooted in their shared opposition to which of the following?,Brahminic orthodoxy,Legalistic asceticism,Bhakti devotionals,Unorthodox practices,A,"['cultural', 'regional', 'cultural', 'cultural']","['No', 'Yes', 'No', 'No']","[{'end': 70, 'label': 'Cultural', 'score': None, 'start': 42}, {'end': 70, 'label': 'Geographic', 'score': None, 'start': 42}, {'end': 70, 'label': 'Cultural', 'score': None, 'start': 5}, {'end': 108, 'label': 'Cultural', 'score': None, 'start': 5}]","['Eastern Asia Culture', 'South Asian Culture', 'South Asian Culture', 'South Asian Culture']",['Asia'],"['India', 'India']",CS,True
world_religions/test/23,world_religions,Humanities," During Japan's occupation of Korea (1910-1945), which of the following was imposed upon the Koreans?",Confucianism,Buddhism,Christianity,Daoism,A,[],[],[],[],[],[],-,False
world_religions/test/25,world_religions,Humanities, Which of the following shuns politics?,The sages of the Zhuangzi,The Songs of the South,The Duke of Zhou,"The Confucian ""sage kings""",A,"['cultural', 'regional', 'cultural', 'regional']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']","['Eastern Asia Culture', 'Eastern Asia Culture', 'Eastern Asia Culture', 'Eastern Asia Culture']","['Asia', 'Asia', 'Asia']","['China', 'China', 'China']",CS,True
world_religions/test/34,world_religions,Humanities," In the Zoroastrian tradition, the term Gathas refers to which of the following?",Hymns,Laws,Ethics,Myths,A,"['cultural', 'cultural', 'cultural', 'cultural']","['No', 'No', 'No', 'No']","[{'end': 29, 'label': 'Cultural', 'score': None, 'start': 8}, {'end': 34, 'label': 'Cultural', 'score': None, 'start': 8}, {'end': 19, 'label': 'Cultural', 'score': None, 'start': 8}, {'end': 46, 'label': 'Cultural', 'score': None, 'start': 8}]","['Middle Eastern Culture', 'Middle Eastern Culture', 'Middle Eastern Culture']",['Asia'],[],CS,True
world_religions/test/40,world_religions,Humanities," In his final work, Laws, Plato shifted from cosmology to which of the following issues?",Epistemology,Morality,Religion,Aesthetics,B,"['cultural', 'cultural', 'cultural', 'cultural']","['No', 'No', 'No', 'No']","[{'end': 31, 'label': 'Cultural', 'score': None, 'start': 26}, {'end': 88, 'label': 'Cultural', 'score': None, 'start': 71}, '-', '-']","['Western Culture', 'Western Culture', 'Western Culture', 'Western Culture']",[],[],CS,True
world_religions/test/45,world_religions,Humanities,"Zhuangzi describes a state as ziran, which means which of the following?",Thoughtfulness,Non-action,Spontaneity,Meditation,C,[],[],[],[],[],[],-,False
world_religions/test/49,world_religions,Humanities,The widely adored Egyptian goddess Hathor was depicted as which of the following?,Serpent,Eagle,Cheetah,Cow,D,"['cultural', 'cultural', 'cultural', 'cultural']","['No', 'No', 'No', 'No']","[{'end': 41, 'label': 'Cultural', 'score': None, 'start': 18}, {'end': 41, 'label': 'Cultural', 'score': None, 'start': 18}, '-', '-']","['African Culture', 'Middle Eastern Culture', 'Middle Eastern Culture', 'Middle Eastern Culture']",[],"['Egypt', 'Egypt', 'Egypt', 'Egypt']",CS,True
world_religions/test/55,world_religions,Humanities,"Which of the following does the term ""Arhats"" refer to?",Enlightened being,Worthy ones,Saintly ones,Sages,A,[],[],[],[],[],[],-,False
world_religions/test/63,world_religions,Humanities, Which of the following does NOT describe the Ka'ba?,It was visited by Moses.,It is a haram.,It was built by Abraham.,It is a square building.,A,[],[],[],[],[],[],-,False
world_religions/test/65,world_religions,Humanities,Sacred literature originated with which of the following jina?,Sri Lakshmi,Mahavira,Rsabha,Nanak,C,[],[],[],[],[],[],-,False
world_religions/test/73,world_religions,Humanities,The central prayer in Jainism is known by which of the following names?,Namokar Mantra,The Liberation Mantra,Ahimsa,Archaryas,A,[],[],[],[],[],[],-,False
world_religions/test/76,world_religions,Humanities,The title Dalai Lama means which of the following?,Ocean of Love,Lover of Wisdom,Ocean of Wisdom,Stillness of Love,C,[],[],[],[],[],[],-,False
