sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
moral_disputes/test/7,moral_disputes,Humanities, Nathanson supports which of the following kinds of retributivism?,preventive,proportional,equality,retaliatory,B,[],[],[],[],[],[],-,False
moral_disputes/test/8,moral_disputes,Humanities, Carruthers approaches questions about the moral standing of nonhuman animals from the perspective of which of the following moral theories?,consequentialism,Kantianism,virtue ethics,contractualism,D,[],[],[],[],[],[],-,False
moral_disputes/test/9,moral_disputes,Humanities," In Gardiner's analysis, which of the following is a characteristic of the climate change problem?",institutional adequacy,dispersion of causes and effects,fragmentation of agency,all of the above,D,"['regional', 'none', 'none', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",['Western Culture'],['North America'],['United States of America (USA)'],CS,True
moral_disputes/test/14,moral_disputes,Humanities, Which of the following is an example of a value-based moral theory?,consequentialism,virtue ethics,both A and B,neither A nor B,C,"['cultural', 'none', 'none', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']","['Western Culture', 'Western Culture']",[],[],CS,True
moral_disputes/test/20,moral_disputes,Humanities, Which of the following is not an objection that Kass makes against cloning?,It constitutes unethical experimentation.,It threatens identity and individuality.,It will produce harmful biological mutations as clones produce further clones.,It perverts our values concerning parenthood and the raising of children.,C,[],[],[],[],[],[],-,False
moral_disputes/test/22,moral_disputes,Humanities," If it were known that a policy would wipe out several animal species without negatively affecting human beings, Baxter would most likely say that",this policy is morally problematic because it harms the environment.,this policy is morally problematic because it damages the integrity of the ecosystem.,this policy is morally obligatory because the environment ought not to exist.,this policy is morally unproblematic.,D,[],[],[],[],[],[],-,False
moral_disputes/test/30,moral_disputes,Humanities, What assumption does Pence think people who object to SCNT make when they say that SCNT is not best for the child?,The parents have good motives.,We can't tell what the motives of the parents are.,The parents have bad motives.,none of the above,A,"['regional', 'regional', 'regional', 'regional', 'cultural']","['No', 'No', 'No', 'No', 'No']","[{'end': 27, 'label': 'Geographic', 'score': None, 'start': 22}, {'end': 27, 'label': 'Geographic', 'score': None, 'start': 22}, {'end': 27, 'label': 'Geographic', 'score': None, 'start': 22}, {'end': 27, 'label': 'Geographic', 'score': None, 'start': 22}, {'end': 27, 'label': 'Cultural', 'score': None, 'start': 22}]","['Western Culture', 'Western Culture', 'Western Culture', 'Western Culture']","['North America', 'North America', 'North America']","['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True
moral_disputes/test/41,moral_disputes,Humanities, Which of the following is a feature of consequentialist moral theory?,It is a value-based theory.,It involves the idea of alternative actions open to the agent.,It is a strongly impartialist moral theory.,all of the above,D,[],[],[],[],[],[],-,False
moral_disputes/test/43,moral_disputes,Humanities, Which of the following is not mentioned by Macedo as a duty that societies have toward nonmembers?,"duties of fair dealing (e.g., nonexploitation)","cosmopolitan egalitarian duties (e.g., ensuring that everyone has equal wealth)","duties of rectification and redress (e.g., redressing those who were oppressed)","humanitarian duties (e.g., preventing systematic violations of human rights)",B,[],[],[],[],[],[],-,False
moral_disputes/test/50,moral_disputes,Humanities, Which of the following is one of de Marneffe's responses to the objection that drug prohibition would be paternalistic?,"Drug prohibition would be done for the benefit of others, not the benefit of those who wish to produce/sell drugs, so it is not paternalistic in an objectionable sense.","Drug prohibition would be paternalistic, but its consequences would be good enough to outweigh considerations about paternalism.","Drug prohibition would be targeted to adults, and one can only be paternalistic toward children.",Paternalism is always justified when the paternalistic practices truly are in the best interest of those affected.,A,[],[],[],[],[],[],-,False
moral_disputes/test/60,moral_disputes,Humanities," Which of the following is, according to the introduction to chapter 8, typically defined as the act or practice of killing or allowing someone to die?",murder,ethical killing,suicide,euthanasia,D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
moral_disputes/test/63,moral_disputes,Humanities, Which of the following are forms of misogynist speech according to Richardson-Self?,Interdivisional misogynist speech,Intradivisional misogynist speech,Interpersonal misogynist speech,A and B only,D,[],[],[],[],[],[],-,False
moral_disputes/test/64,moral_disputes,Humanities," Leopold most likely describes the ""land pyramid"" to",argue that nature is not inherently normative.,"provide a description of a mechanism that ""we can see, feel, understand, love, or otherwise have faith in.""",give a detailed description of how plants absorb energy from the sun.,"argue that even the noneconomic parts of the ""biotic clock"" have economic value.",B,[],[],[],[],[],[],-,False
moral_disputes/test/71,moral_disputes,Humanities," Corvino considers the following argument: Homosexuals are ""born that way""; therefore, homosexual activity is good and natural. Corvino claims that this argument is unsound. Why?",It ignores the possibility that homosexuality is a lifestyle choice.,It assumes that all innate desires are good ones.,It is equivalent to recognizing that homosexuality is unusual.,None of the above,B,[],[],[],[],[],[],-,False
moral_disputes/test/73,moral_disputes,Humanities, Which of the following theories will approach the morality of abortion by considering how much overall intrinsic value is likely to be brought about by abortion?,virtue ethics,consequentialist theory,Kantian ethics,natural law theory,B,[],[],[],[],[],[],-,False
moral_disputes/test/77,moral_disputes,Humanities, A truly environmental ethic must hold that which of the following has direct moral standing?,at least some nonhuman beings,at least some nonconscious beings,both A and B,neither A nor B; an environmental ethic may deny that there are any nonhuman and nonconscious beings with direct moral standing.,C,[],[],[],[],[],[],-,False
moral_disputes/test/79,moral_disputes,Humanities," According to Singer, the conclusions argued for in ""all animals are equal"" flow from which of the following principles alone?",the principle of maximizing happiness,the principal principle,the principle of double effect,the principle of minimizing suffering,D,[],[],[],[],[],[],-,False
moral_disputes/test/82,moral_disputes,Humanities, Mill defends which of the following liberty-limiting principles?,the harm principle,the offense principle,the principle of legal paternalism,wthe principle of legal moralism,A,"['cultural', 'cultural', 'none', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']","['Western Culture', 'Western Culture', 'Western Culture']",[],[],CS,True
moral_disputes/test/85,moral_disputes,Humanities," Which of the following is a problem for Kant's principle of equality and an ""eye for an eye"" according to Nathanson?",It fails to tell us what the appropriate punishment would be for all cases of criminal action.,It does not provide an adequate measure of moral desert.,It requires that we punish criminals in ways that are morally unacceptable.,all of the above,D,[],[],[],[],[],[],-,False
moral_disputes/test/89,moral_disputes,Humanities, Which of the following is a method of torture that Dershowitz believes is appropriate in those cases where torture is permissible?,having a sterilized needle shoved under the victim's fingernails,electrocution at nonlethal levels,submerging the victim in water so he or she feels as if he or she is drowning,none of the above; Dershowitz thinks torture is wrong in all cases.,A,[],[],[],[],[],[],-,False
