sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
human_aging/test/1,human_aging,Medical,Which of the following factors is associated with a decreased risk of Alzheimer's?,Being African or Hispanic American,Eating fish,A lower level of education,Being married,B,[],[],[],[],[],[],-,False
human_aging/test/6,human_aging,Medical,Which of the following does NOT usually occur to the lens of the eye as one grows older?,It becomes thicker,It yellows,It becomes clouded,It fills with fluid,D,[],[],[],[],[],[],-,False
human_aging/test/12,human_aging,Medical,Which of the following is most strongly associated with loss of bone density?,Genetic factors,Lifestyle factors like not exercising,Hormonal factors such as loss of estrogen,Cohort factors,B,[],[],[],[],[],[],-,False
human_aging/test/15,human_aging,Medical,Which of the following is one of McAdam's levels of personality?,Control,Identity,Generativity,Assimilation,B,[],[],[],[],[],[],-,False
human_aging/test/22,human_aging,Medical,"Which of the following is more likely to be a cohort, rather than an age, difference?",A higher proportion of older women have completed menopause,A smaller proportion of older women report dreams about sex,A higher proportion of older men are bald,A higher proportion of older men and women are victims of cancer,B,[],[],[],[],[],[],-,False
human_aging/test/24,human_aging,Medical,In which dementia are cognitive symptoms less likely?,Parkinson's,Pick's,Huntington's,NeuroAIDS,A,[],[],[],[],[],[],-,False
human_aging/test/29,human_aging,Medical,One difference that seems to be mostly cohort rather than age is the difference in ____ for different age groups,Coping strategies,Work productivity,Rates of dementia,Personality traits,D,"['none', 'none', 'none']","['No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
human_aging/test/31,human_aging,Medical,Social support is most likely to have a positive influence on health and well being when it is,Very emotional,Perceived as support,Unexpected,External rather than internal,B,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
human_aging/test/38,human_aging,Medical,Projective tests generally ___ than objective tests of personality.,Have higher reliability,Are more visual,Are more valid,Provide more information,B,[],[],[],[],[],[],-,False
human_aging/test/41,human_aging,Medical,Which of the following could very well be a cohort difference rather than a change that occurs with age?,Differences in weight,Shrinkage of the thymus gland,Enlargement of the heart,Increasing size of nose and ears,A,[],[],[],[],[],[],-,False
human_aging/test/43,human_aging,Medical,A researcher who wants to examine both age and cohort differences is advised to use a _____ design.,Cross-sectional,Cross-sequential,Correlational,Quasi-experimental,B,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
human_aging/test/44,human_aging,Medical,Which of the following is NOT one of the most rewarding aspects of being a grandparent as reported by grandparents?,Feelings of immortality,Spoiling the grandchildren,Having others to wait on you,Remembering when they were grandchildren,C,"['none', 'none', 'cultural', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
human_aging/test/45,human_aging,Medical,"Of the following animals, which has the longest life span by current measures?",Gorilla,Blue whale,Dog,Queen honey bee,B,[],[],[],[],[],[],-,False
human_aging/test/47,human_aging,Medical,Changes in the reproductive system are more _____ for men but not for women,Mechanistic,Continuous,Organismic,Nurturant,B,[],[],[],[],[],[],-,False
human_aging/test/48,human_aging,Medical,Which of the following hormones has not yet been claimed to ward off senescence?,DHEA,Human growth hormone,Melatonin,Viasterol,D,[],[],[],[],[],[],-,False
human_aging/test/52,human_aging,Medical,Which of the following groups of Americans have the lowest rate of alcohol abuse?,African-American,White,Native-American,Asian-American,D,[],[],[],[],[],[],-,False
human_aging/test/53,human_aging,Medical,"If you believe that changes occur slowly and steadily throughout life, you would be holding the _____ side of this view of development.",Mechanistic,Organismic,Continuity,Stability,C,[],[],[],[],[],[],-,False
human_aging/test/54,human_aging,Medical,"All other things being equal, which of the following persons is likely to live the longest?",A black man,A white man,A black woman,A white woman,D,[],[],[],[],[],[],-,False
human_aging/test/55,human_aging,Medical,"Which of the following age differences could be, in part, a cohort effect? Differences in",Depression,Alcoholism,Dementia,Suicide,B,[],[],[],[],[],[],-,False
human_aging/test/58,human_aging,Medical,Older adults generally perform very well when their _____ memory is tested.,Episodic,Working,Retrospective,Semantic,D,[],[],[],[],[],[],-,False
human_aging/test/61,human_aging,Medical,The least favored theory of senescence among researchers is the _____ theory,Free radical,Biological clock,Wear and tear,Garbage accumulation,C,[],[],[],[],[],[],-,False
human_aging/test/74,human_aging,Medical,The total number of people who have some disorder divided by the total number of people gives you the ____ rate.,Prevalence,Incidence,Incipient,Diseased,A,[],[],[],[],[],[],-,False
human_aging/test/78,human_aging,Medical,People with which of the following forms of control are least likely to have accessibility problems where they live?,External,Internal,Primary,Total,B,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
human_aging/test/79,human_aging,Medical,Which of the following has been found to improve balance for older adults?,Tai chi,Aerobic exercise,Weight lifting,Walking briskly,A,[],[],[],[],[],[],-,False
human_aging/test/86,human_aging,Medical,Which of the following forms of dementia has the highest prevalence rate?,Alzheimer's,Vascular,Parkinson's,Fronto-temporal lobe,A,[],[],[],[],[],[],-,False
human_aging/test/89,human_aging,Medical,Middle-aged adults appear to be more ____ than older or younger adults,Generative,Neurotic,Agreeable,Certain,A,[],[],[],[],[],[],-,False
human_aging/test/90,human_aging,Medical,Which of the following improves attitudes toward aging and older adults?,Staying away from older adults,Education about older adults,Travelling to older communities,Watching the portrayals of older adults in movies and on TV,B,[],[],[],[],[],[],-,False
human_aging/test/92,human_aging,Medical,Those more likely to experience depression after a loss are those who,Are young survivors,Have not previously experienced depression,Have been married more than 40 years,Are in poor health themselves,A,[],[],[],[],[],[],-,False
human_aging/test/93,human_aging,Medical,Which of the following appears to lower bad cholesterol?,Vitamin D,Niacin,Thiamine,Riboflavin,B,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
human_aging/test/95,human_aging,Medical,A researcher who is interested in the differences between two or more groups of people is most likely to use which of the following approaches?,Quasi-experimental,Longitudinal,Correlational,Cross-sequential,A,[],[],[],[],[],[],-,False
human_aging/test/98,human_aging,Medical,The model of social support that says that those who are close to you now are likely to be close for the rest of your days is called the ____ model,Consistency,Convoy,Attachment,Train,B,[],[],[],[],[],[],-,False
human_aging/test/104,human_aging,Medical,The gender gap is likely to be associated with male/female differences in,Hormones,Risky behaviors and occupations,Proportion who smoke,All of the above,D,[],[],[],[],[],[],-,False
human_aging/test/107,human_aging,Medical,Which of the following countries has the longest life expectancy?,U. S. A.,Sweden,Japan,Saudi Arabia,C,"['none', 'regional', 'regional', 'none']","['Yes', 'Yes', 'Yes', 'No']","['-', '-', '-', '-']",[],['North America'],"['Japan', 'United States of America (USA)']",CS,True
human_aging/test/109,human_aging,Medical,Gary says he won $1000 in the lottery because he really knows how to pick those numbers. Gary would be said to have a strong ____ locus of control,"External, powerful others",Internal,"External, chance",Secondary,B,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
human_aging/test/115,human_aging,Medical,As working people get closer to retirement they are more likely to,Be absent from work,Invest in craft and hobby books,Do some informal planning,Become irritated and anxious,C,[],[],[],[],[],[],-,False
human_aging/test/126,human_aging,Medical,Which of the following is NOT one of the major reasons for the increase in numbers of older adults?,The Baby Boom generation,The steadily increasing birth rate,Increases in life expectancy at birth,Increases in life expectancy at a specified age,B,[],[],[],[],[],[],-,False
human_aging/test/132,human_aging,Medical,Which of the following factors has NOT received as much support as the others in research investigating why social support is related to better health?,Social,Behavioral,Psychological,Gerontological,B,[],[],[],[],[],[],-,False
human_aging/test/134,human_aging,Medical,Men are more likely than women to die from,Septicemia,Stroke,Suicide,Influenza,C,"['none', 'regional', 'none', 'none']","['No', 'Yes', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
human_aging/test/139,human_aging,Medical,The dementia that results from a long-term deficiency of thiamine is one type of ____ dementia,Alzheimer's,Korsakoff's,Creutzfeldt-Jakob,Lewy body,B,[],[],[],[],[],[],-,False
human_aging/test/143,human_aging,Medical,Workers in which of the following jobs still have mandatory retirements once they reach a certain age?,Cab drivers,Fire fighters,Insurance regulators,Computer programmers,B,[],[],[],[],[],[],-,False
human_aging/test/147,human_aging,Medical,Which of the following appears to remain relatively stable over the adult years?,Sensory memories,Personal concerns,Marital strain,Job satisfaction,A,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
human_aging/test/148,human_aging,Medical,Which of the following is always the longest?,Life expectancy at birth (LEAB),Life span,Life expectancy at a specified age (LEASA),There is no way of knowing,B,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
human_aging/test/149,human_aging,Medical,"Of the following, which is the more frequent stereotype of older adults?",Full of wisdom and knowledge,Healthy and independent,Confused and disoriented,Sleepy and lazy,C,[],[],[],[],[],[],-,False
human_aging/test/153,human_aging,Medical,"Over the last decade or two, which of the following causes of death has shown a huge increase?",Alzheimer's,Cancer,Cardiovascular diseases,Homicide,A,[],[],[],[],[],[],-,False
human_aging/test/154,human_aging,Medical,Which of the following statements is TRUE concerning older workers' job performance?,Older workers always perform better because of their vast experience,"Older workers never perform better than younger workers because with age, a worker's skills decline.",Job performance for older workers depends both upon the decline of skills and the benefits of experience,Most jobs are performed better by younger adults but a few are performed better by older adults,C,[],[],[],[],[],[],-,False
human_aging/test/155,human_aging,Medical,Older adults' negative beliefs about their own memories seem to be more influenced by _____ than by their actual performance on memory tests,Negative stereotypes about older memory,Time of day and weather conditions,Who they are speaking with,Their slower processing speed,A,"['none', 'none', 'none', 'none', 'none']","['No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",[],[],[],CA,True
human_aging/test/156,human_aging,Medical,Which of the following is NOT one of the more frequently named activities by those who are retired?,Volunteering,Travel,Redoing the home,Household chores,C,[],[],[],[],[],[],-,False
human_aging/test/157,human_aging,Medical,The retirement phase that occurs least frequently is the ____ phase,Disenchantment,Honeymoon,Retirement routine,Preretirement,A,[],[],[],[],[],[],-,False
human_aging/test/158,human_aging,Medical,Which of the following is the most important variable for gerontological researchers?,Age,Gender,Cohort,Time of measurement,A,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
human_aging/test/159,human_aging,Medical,Which of the following does NOT increase the risk of falling?,Taking many prescription medications,Visual impairment,Having no emotional support,A change in walking style or gait,C,[],[],[],[],[],[],-,False
human_aging/test/161,human_aging,Medical,"An older adult who has received a message (e.g., it's going to rain tomorrow) would be most likely to remember what when telling another person?",The person who told them it would rain,Where they were when they received the message,The contents of the message,The time of day that the message was received,C,[],[],[],[],[],[],-,False
human_aging/test/164,human_aging,Medical,Current estimates of how many people exercise on a regular basis suggest that _____ do,Less than 50%,More than 75%,Less than 25%,More than 50%,A,[],[],[],[],[],[],-,False
human_aging/test/165,human_aging,Medical,An increased frequency of urination in older adults is most likely caused by,Prostate cancer,Smaller bladder,Kidney problems,Gall stone(s),B,[],[],[],[],[],[],-,False
human_aging/test/168,human_aging,Medical,Which of the following is NOT among the top 10 causes of death in the U. S.?,Kidney diseases,AIDS,Septicemia,Accidents,B,[],[],[],[],[],[],-,False
human_aging/test/170,human_aging,Medical,The design of products and environments to fit the capabilities of people who use them or live there is called _____ design,Environmental,Ecological,Ergonomic,Eclectic,C,[],[],[],[],[],[],-,False
human_aging/test/175,human_aging,Medical,Older adults are most likely to be involved in a traffic accident when they are,On foot,Driving in a new location,A passenger in a younger person's car,Alone,A,[],[],[],[],[],[],-,False
human_aging/test/176,human_aging,Medical,Life stories are more likely for people who have a sense of,Well being,Personal control,Generativity,Humor,B,[],[],[],[],[],[],-,False
human_aging/test/177,human_aging,Medical,The idea that the ability to complete a task depends on the fit between the environment and the person undertaking the task is a basic tenet of which of the following theories of aging?,Environmental,Ecological,Fitness,Congruence,B,[],[],[],[],[],[],-,False
human_aging/test/178,human_aging,Medical,Neuroticism has been found to be correlated with which of the following?,Anger and guilt,Apathy and indifference,Deceit and cunning,Mania and hypertension,A,[],[],[],[],[],[],-,False
human_aging/test/183,human_aging,Medical,Which of the following is caused by a prion?,Vascular dementia,Alzheimer's,Creutzfeldt-Jakob,Huntington's,C,[],[],[],[],[],[],-,False
human_aging/test/189,human_aging,Medical,"Of the following types of memory, which shows the biggest deficit with advanced age?",Sensory memory,Episodic memory,Semantic memory,Procedural memory,B,[],[],[],[],[],[],-,False
human_aging/test/190,human_aging,Medical,The loss of a ____ is regarded in the U. S. as the most severe loss and frequently produces guilt in addition to other emotions.,Spouse,Parent,Child,Sibling,C,[],[],[],[],[],[],-,False
human_aging/test/195,human_aging,Medical,A burial site where the body is allowed to decompose naturally without a casket is called a _____ cemetery,Naturalistic,Green,Rapid decay,Sunshine,B,[],[],[],[],[],[],-,False
human_aging/test/196,human_aging,Medical,Older adults with higher education and self-esteem are more likely to be,Sexually active,Socially isolated,Lonely as they grow older,Married for a long time,A,"['cultural', 'none', 'none', 'regional']","['No', 'No', 'No', 'Yes']","['-', '-', '-', '-']",[],[],[],CS,True
human_aging/test/202,human_aging,Medical,The Kingbergs give us several keys to successful aging; which of the following is one that they did not name?,Eat the correct food but not too much.,Respect each other,Party at least once a month,Make long-range plans,C,[],[],[],[],[],[],-,False
human_aging/test/206,human_aging,Medical,Which of the following groups is likely to have the more positive view of aging and older adults?,Other older adults,Children younger than 10,Young adults,Adolescents,A,[],[],[],[],[],[],-,False
