sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
elementary_mathematics/test/13,elementary_mathematics,STEM,Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,[],[],[],[],[],[],-,False
elementary_mathematics/test/25,elementary_mathematics,STEM,Find the number that makes the statement true: 0.32 g = _ cg.,32,3.2,"3,200",320,A,[],[],[],[],[],[],-,False
elementary_mathematics/test/39,elementary_mathematics,STEM,Let 12-9+c=12. What value of c makes the equation true?,0,3,9,12,C,[],[],[],[],[],[],-,False
elementary_mathematics/test/86,elementary_mathematics,STEM,What value of y makes y + 2.9 = 11 true?,8.1,8.9,9.1,13.9,A,[],[],[],[],[],[],-,False
elementary_mathematics/test/98,elementary_mathematics,STEM,Find the number that makes the statement true: 26.1 mm = _ dm.,0.261,261,2.61,"2,610",A,[],[],[],[],[],[],-,False
elementary_mathematics/test/128,elementary_mathematics,STEM,Tayshawn sorts 56 marbles into equal groups with no marbles left over. Which statement could be true of the groups of marbles Tayshawn sorts?,There are 6 groups of marbles with 8 marbles in each group.,There are 7 groups of marbles with 7 marbles in each group.,There are 8 groups of marbles with 7 marbles in each group.,There are 9 groups of marbles with 6 marbles in each group.,C,[],[],[],[],[],[],-,False
elementary_mathematics/test/130,elementary_mathematics,STEM,"The distance between Miriam’s house and Debbie’s house is 444.44 meters. Which statement about the values of the digits in the distance, in meters, between their houses is true?",The value of the 4 in the tenths place is 1/10 the value of the 4 in the tens place.,The value of the 4 in the hundredths place is 1/10 the value of the 4 in the ones place.,The value of the 4 in the hundreds place is 10 times greater than the value of the 4 in the ones place.,The value of the 4 in the tenths place is 10 times greater than the value of the 4 in the hundredths place.,D,[],[],[],[],[],[],-,False
elementary_mathematics/test/167,elementary_mathematics,STEM,In which set do all of the values make the inequality 2x — 1 < 10 true?,"{10, 15, 20}","{5, 7, 9}","{4, 6, 8}","{2, 3, 4}",D,[],[],[],[],[],[],-,False
elementary_mathematics/test/198,elementary_mathematics,STEM,"The first number in a number pattern is 28. The pattern rule is to add 14 to get the next number in the pattern. If the pattern continues, which statement is true?",All the numbers in the pattern can be divided equally by 10.,All the numbers in the pattern can be divided equally by 4.,All the numbers in the pattern can be divided equally by 8.,All the numbers in the pattern can be divided equally by 7.,D,[],[],[],[],[],[],-,False
elementary_mathematics/test/204,elementary_mathematics,STEM,Point A and point B are placed on a numberline. Point A is located at -20 and point B is 5 less than point A. Which statement about point B is true?,It is located at -25 and is to the right of point A on the numberline.,It is located at -15 and is to the right of point A on the numberline.,It is located at -25 and is to the left of point A on the numberline.,It is located at -15 and is to the left of point A on the numberline.,C,"['none', 'none', 'none', 'none', 'none']","['No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",[],[],[],CA,True
elementary_mathematics/test/215,elementary_mathematics,STEM,What number makes the equation 35 / ? = 7 true?,5,6,7,8,A,[],[],[],[],[],[],-,False
elementary_mathematics/test/229,elementary_mathematics,STEM,Find the number that makes the statement true: 48 m = Box mm.,"48,000",480,"4,800",5,A,[],[],[],[],[],[],-,False
elementary_mathematics/test/288,elementary_mathematics,STEM,The American flag is usually made with its width and length in the ratio of 10 to 19. Which dimensions are in the correct ratio for the flag?,30 ft by 53 ft,27 ft by 53 ft,27 in. by 57 in.,30 in. by 57 in.,D,[],[],[],[],[],[],-,False
elementary_mathematics/test/303,elementary_mathematics,STEM,Find the number that makes the statement 2 over 9 = 14 over ? true.,14,16,15,63,D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
elementary_mathematics/test/324,elementary_mathematics,STEM,Which statement is true?,All hexagons are triangles because they have at least 3 sides.,All octagons are polygons because they have at least 3 sides.,All parallelograms are rectangles because they have 2 sets of parallel sides.,All rhombi are squares because they have 4 sides that are all the same length.,B,[],[],[],[],[],[],-,False
elementary_mathematics/test/330,elementary_mathematics,STEM,Which statement is false?,3 < 5,5 > 3,−5 > −3,−3 > −5,C,[],[],[],[],[],[],-,False
elementary_mathematics/test/342,elementary_mathematics,STEM,Find the number that makes the statement 12 over 18 = ? over 9 true.,4,6,8,12,A,[],[],[],[],[],[],-,False
elementary_mathematics/test/355,elementary_mathematics,STEM,Which statementis true?,The product of 5 x 2 is even because both of the factors are even.,The product of 4 x 4 is odd because both of the factors are even.,The productof 2 x 7 is even because both of the factors are odd.,The product of 5 x 3 is odd because both of the factors are odd.,D,[],[],[],[],[],[],-,False
