sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
high_school_geography/test/0,high_school_geography,Social Sciences,The main factor preventing subsistence economies from advancing economically is the lack of,a currency.,a well-connected transportation infrastructure.,government activity.,a banking service.,B,[],[],[],[],[],[],-,False
high_school_geography/test/1,high_school_geography,Social Sciences,The tendency for a population to continue to grow long after replacement fertility has been achieved is called,zero population growth.,rapid growth rate.,homeostatic plateau.,demographic momentum.,D,[],[],[],[],[],[],-,False
high_school_geography/test/2,high_school_geography,Social Sciences,The tendency for migration to decrease with distance is called,push factors.,pull factors.,distance decay.,migration selectivity.,C,[],[],[],[],[],[],-,False
high_school_geography/test/3,high_school_geography,Social Sciences,"Which zone contains low-income slums, ethnic ghettos, and general deterioration in Burgess's concentric zone model of urban form?",First,Second,Third,Fourth,A,[],[],[],[],[],[],-,False
high_school_geography/test/10,high_school_geography,Social Sciences,The first stage of the demographic transition exhibits,high birth rates with high but fluctuating death rates.,declining birth rates with continuing high death rates.,low birth rates with continuing high death rates.,high birth rates with declining death rates.,A,[],[],[],[],[],[],-,False
high_school_geography/test/11,high_school_geography,Social Sciences,What is the population statistic that tells us the level of fertility at which a population will have just enough births to replace parents and compensate for early deaths?,Crude birth rate,Replacement level,Mortality rate,Total fertility rate,B,[],[],[],[],[],[],-,False
high_school_geography/test/12,high_school_geography,Social Sciences,What is the most rapidly growing religion in the United States today?,Islam,Christianity,Hinduism,Buddhism,A,[],[],[],[],[],[],-,False
high_school_geography/test/13,high_school_geography,Social Sciences,The outlying area serviced by a urban center is referred to as a,redline area.,threshold.,range.,hinterland.,D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",[],[],[],CA,True
high_school_geography/test/17,high_school_geography,Social Sciences,Which type of transportation system created the star-shaped city pattern?,Highways to airports that link cities,Interstate highways that link cities,Beltways around cities,Streetcar and trolley lines extending from the CBD,D,[],[],[],[],[],[],-,False
high_school_geography/test/18,high_school_geography,Social Sciences,In which urban US setting below would you expect to find planned communities?,Ghettos,Suburbs,CBDs,Transition zones,B,"['regional', 'regional', 'regional', 'regional', 'regional']","['No', 'Yes', 'No', 'No', 'No']","[{'end': 25, 'label': 'Geographic', 'score': None, 'start': 0}, {'end': 31, 'label': 'Geographic', 'score': None, 'start': 9}, {'end': 25, 'label': 'Geographic', 'score': None, 'start': 9}, {'end': 25, 'label': 'Geographic', 'score': None, 'start': 9}, {'end': 25, 'label': 'Geographic', 'score': None, 'start': 9}]",['Western Culture'],"['North America', 'North America', 'North America', 'North America']","['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True
high_school_geography/test/19,high_school_geography,Social Sciences,The latitude and longitude coordinates of a place are an example of,a formal region.,a functional region.,an absolute location.,a relative location.,C,[],[],[],[],[],[],-,False
high_school_geography/test/20,high_school_geography,Social Sciences,The voluntary association of three or more countries willing to give up some measure of sovereignty is called,nationalism.,devolution.,supranationalism.,complementarity.,C,[],[],[],[],[],[],-,False
high_school_geography/test/21,high_school_geography,Social Sciences,The key factor Thomas Malthus failed to recognize in his population theory was,population is limited by their means of subsistence.,all populations have the potential to increase more than the actual rate of increase.,wars and famine inhibit population's reproductive capacity.,technology's ability to raise the Earth's carrying capacity.,D,[],[],[],[],[],[],-,False
high_school_geography/test/22,high_school_geography,Social Sciences,Which pair of religions are both universalizing religions?,Islam and Judaism,Judaism and Buddhism,Hinduism and Buddhism,Christianity and Buddhism,D,[],[],[],[],[],[],-,False
high_school_geography/test/23,high_school_geography,Social Sciences,Which urban model theorizes that high-rent residential areas grow outward from the center of the city along major highways with lower-rent inhabitants taking over sequentially?,Concentric zone model,Central place model,Urban realms model,Sector model,D,[],[],[],[],[],[],-,False
high_school_geography/test/24,high_school_geography,Social Sciences,"When a country combines its religion with its government, it is called a",dictatorship.,theocracy.,democracy.,autocracy.,B,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
high_school_geography/test/25,high_school_geography,Social Sciences,What is the chief religion practiced in Europe?,Christianity,Islam,Hinduism,Animism,A,[],[],[],[],[],[],-,False
high_school_geography/test/26,high_school_geography,Social Sciences,Which group enacted the first effective settlement in the eastern United States?,French,"British (English, Scotch-Irish, Welsh, Scottish)",Russian,Chinese,B,[],[],[],[],[],[],-,False
high_school_geography/test/28,high_school_geography,Social Sciences,The Rhine River is an example of which type of boundary?,Geometric,Artificial,Natural,Relict,C,[],[],[],[],[],[],-,False
high_school_geography/test/29,high_school_geography,Social Sciences,Which type of economic activity is most closely tied to the physical environment?,Primary,Secondary,Tertiary,Quaternary,A,"['none', 'none', 'regional', 'none', 'none']","['No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",[],[],[],CA,True
high_school_geography/test/30,high_school_geography,Social Sciences,The majority of workers in periphery countries are probably employed in which type of activities?,Primary,Secondary,Tertiary,Quaternary,A,[],[],[],[],[],[],-,False
high_school_geography/test/32,high_school_geography,Social Sciences,Transnational corporations distribute their operations,manufacturing goods where production costs are the highest.,conducting accounting and research services where economical.,based on comparative advantage.,with headquarters located in LDCs.,C,[],[],[],[],[],[],-,False
