sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
high_school_macroeconomics/test/0,high_school_macroeconomics,Social Sciences,Suppose that an expansionary fiscal policy leads to a large increase in real output and a small increase in the price level. From this it can be inferred that,inflation had already impacted the economy before the fiscal stimulus.,the economy initially had some unemployed resources.,aggregate supply decreased.,aggregate demand is steeply sloped.,B,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/3,high_school_macroeconomics,Social Sciences,Tariffs and quotas,result in lower domestic prices.,sometimes raise and sometimes lower the amount of the product sold domestically.,lower the amount of the product sold domestically.,raise the amount of the product sold domestically.,C,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/5,high_school_macroeconomics,Social Sciences,Households demand more money as an asset when,nominal GDP falls.,the nominal interest rate falls.,bond prices fall.,the supply of money falls.,B,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
high_school_macroeconomics/test/6,high_school_macroeconomics,Social Sciences,Allocative efficiency,means that no inferior products will be produced.,implies that the economy's output is distributed evenly.,means that those who work hardest will get more.,implies that resources are used to produce the goods and services society desires in just the right amounts.,D,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/7,high_school_macroeconomics,Social Sciences,GDP measures,production within a nation's borders.,production by a nation's citizens wherever they may be.,income earned by the factors of production plus depreciation and indirect business taxes.,(A) and (C),D,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/9,high_school_macroeconomics,Social Sciences,When a nation is operating at the natural rate of unemployment,there is no cyclical unemployment.,the inflation rate is zero.,there is no structural unemployment.,the nation is experiencing a recession.,A,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/10,high_school_macroeconomics,Social Sciences,If a country has a negative value on its current account then it must,pay that amount to its trading partners.,have a positive value of equal magnitude on its capital account.,depreciate its currency.,appreciate its currency.,B,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/12,high_school_macroeconomics,Social Sciences,If your nominal income rises 4 percent and your real income falls 1 percent by how much did the price level change?,5 percent decrease,¼ percent increase,3 percent increase,5 percent increase,D,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/13,high_school_macroeconomics,Social Sciences,Economy X is an open economy with flexible exchange rates. Economy Y is closed. Ceteris paribus expansionary monetary policy is,more effective in X because the policy will increase net exports.,more effective in X because the policy will decrease net exports.,equally effective in X and Y.,less effective in X because the policy will decrease net exports.,D,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/15,high_school_macroeconomics,Social Sciences,If $1000 is deposited into a checking account and excess reserves increase by $700 the reserve ratio must be:,70%.,30%.,40%.,90%.,B,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
high_school_macroeconomics/test/16,high_school_macroeconomics,Social Sciences,Automatic or built-in stabilizers,prevent inflation.,prevent recessions from occurring.,prevent inflation and recessions from occurring.,are government policies already in place that promote deficit spending during recessions and surplus budgets during expansions.,D,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/17,high_school_macroeconomics,Social Sciences,Suppose consumers expect the price of corn to be lower in the near future while the price of seed corn and fertilizer fall. What will happen to the equilibrium price and the equilibrium quantity?,The equilibrium price will rise while the equilibrium quantity is indeterminate.,The equilibrium price will fall while the equilibrium quantity is indeterminate.,The equilibrium price is indeterminate while the equilibrium quantity will rise.,The equilibrium price is indeterminate while the equilibrium quantity will fall.,B,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
high_school_macroeconomics/test/18,high_school_macroeconomics,Social Sciences,An increase in the demand for money in the economy could result from,a recession.,a higher price level.,higher interest rates.,expected future inflation.,B,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
high_school_macroeconomics/test/19,high_school_macroeconomics,Social Sciences,An increase in the consumer price index is commonly referred to as,economic growth.,inflation.,unemployment.,discouraged workers.,B,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/20,high_school_macroeconomics,Social Sciences,GDP measures I. production II. income earned during the production process III. spending by consumers businesses governments and foreigners,Only I is correct.,Only II is correct.,Only III is correct.,I II and III are correct.,D,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/21,high_school_macroeconomics,Social Sciences,The economy is currently operating at full employment. Assuming flexible wages and prices how would a decline in aggregate demand affect GDP and the price level in the short run and GDP and the price level in the long run? SHORT-RUN GDP     SHORT-RUN PRICE LEVEL     LONG-RUN GDP     LONG-RUN PRICE LEVEL,Falls     Falls     No change     Falls,Falls     Falls     Falls     Falls,No change     Falls     No change     No change,Falls     Falls     No change     No change,A,"['none', 'none', 'none', 'none', 'none', 'none']","['No', 'No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-', '-']",[],[],[],CA,True
high_school_macroeconomics/test/23,high_school_macroeconomics,Social Sciences,The real interest rate is,what one sees when looking at bank literature,the nominal interest rate divided by the inflation rate,the nominal interest rate plus the anticipated inflation rate,the nominal interest rate minus anticipated inflation,D,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/26,high_school_macroeconomics,Social Sciences,Among those hurt by inflation are I.   borrowers at fixed interest rates II.   individuals on fixed incomes III.   those with savings earning fixed interest rates IV.   restaurant owners,I and II only,II and III only,II and IV only,II III and IV only,D,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/27,high_school_macroeconomics,Social Sciences,Required reserves,can be used by banks to make loans or buy investments.,can be held in a bank's vault or its account at the FED.,must be kept in a bank's vault.,must be used to make loans.,B,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/28,high_school_macroeconomics,Social Sciences,Potential GDP will fall ceteris paribus if,the unemployment rate rises.,the retirement age is lowered.,tariffs protecting domestic jobs are eliminated.,more immigration is allowed.,B,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/31,high_school_macroeconomics,Social Sciences,Fisher's Hypothesis states that,the real interest equals the nominal interest rate plus the inflation rate.,the nominal interest rate equals the real interest rate minus the inflation rate.,the nominal interest rate equals the unemployment rate plus the real interest rate.,the nominal interest rate equals the real interest rate plus the inflation rate.,D,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/33,high_school_macroeconomics,Social Sciences,According to Say's law,when price goes up supply goes up,it is better to give than receive,demand creates its own supply,supply creates its own demand,D,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/34,high_school_macroeconomics,Social Sciences,What will happen to the equilibrium price level and the equilibrium quantity of output if the aggregate supply curve shifts to the left? Assume an upward sloping aggregate supply curve.,The equilibrium price level increases while the equilibrium quantity of output decreases.,The equilibrium price level decreases while the equilibrium quantity of output increases.,The equilibrium price level and quantity of output increase.,The equilibrium price level and quantity of output decrease.,A,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/35,high_school_macroeconomics,Social Sciences,The Federal Open Market Committee,advises the President of the United States.,is part of the Federal Reserve System.,has seven members.,promotes free trade.,B,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/36,high_school_macroeconomics,Social Sciences,An increase in the price of forklifts imported into the United States from Belgium will,increase the consumer price index and the GDP deflator.,increase the consumer price index but not the GDP deflator.,increase the GDP deflator but not the consumer price index.,have no effect on the consumer price index or the GDP deflator.,D,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/37,high_school_macroeconomics,Social Sciences,Theo loses his job at the public swimming pool when the pool closes for the winter. This is an example of,cyclical unemployment.,discouraged worker.,seasonal unemployment.,frictional unemployment.,C,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/38,high_school_macroeconomics,Social Sciences,Keynes,advanced Classical economic theory by making several refinements.,showed how Say's Law operated in capitalist economies.,was a great American economist.,explained the cause of and cure for the Great Depression.,D,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/39,high_school_macroeconomics,Social Sciences,Assume commercial banks save no excess reserves and the reserve requirement is 20 percent. How much money is created in new loans from all banks after this bank receives a deposit of $1000 ?,$800 ,"$1,000 ","$4,000 ","$5,000 ",C,[],[],[],[],[],[],-,False
