sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
philosophy/test/0,philosophy,Humanities,Aesthetics deals with objects that are_____.,essential to our existence,unimportant to most people,not essential to our existence,rarely viewed,C,[],[],[],[],[],[],-,False
philosophy/test/1,philosophy,Humanities,"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____.",the state,the justice system,the body,the soul,D,[],[],[],[],[],[],-,False
philosophy/test/2,philosophy,Humanities,"According to Kant, nothing can be called “good” without qualification except _____.",right action,good consequences,happiness,a good will,D,[],[],[],[],[],[],-,False
philosophy/test/8,philosophy,Humanities,"For Socrates, the soul is harmed by lack of _____.",knowledge,wealth,community,courage,A,[],[],[],[],[],[],-,False
philosophy/test/13,philosophy,Humanities,Berkeley asserts that existing and perceiving are _____.,one and the same thing,both nonexistent,two distinct things,imaginary,A,[],[],[],[],[],[],-,False
philosophy/test/14,philosophy,Humanities,"According to Rawls, the term “justice as fairness” conveys the idea that the principles of justice are agreed to in an initial position that is _____.",rational,artificial,constitutional,fair,D,[],[],[],[],[],[],-,False
philosophy/test/15,philosophy,Humanities,Berkeley believes that sensible things cannot exist except in _____.,a mind,absolute existence,material substance,a material universe,A,[],[],[],[],[],[],-,False
philosophy/test/24,philosophy,Humanities,Epictetus claims that things within our power are __________ and things not in our power are __________.,free and unhindered; free and unhindered,free and unhindered; servile and subject to hindrance,servile and subject to hindrance; free and unhindered,servile and subject to hindrance; servile and subject to hindrance,B,[],[],[],[],[],[],-,False
philosophy/test/30,philosophy,Humanities,Leo Tolstoy says that art is _____.,expression,form,representation,abstract,A,[],[],[],[],[],[],-,False
philosophy/test/35,philosophy,Humanities,"The systematic use of critical reasoning to try to find answers to fundamental questions about reality, morality, and knowledge is called _____.",the argumentative method,the philosophical method,propositional logic,syllogistic reasoning,B,[],[],[],[],[],[],-,False
philosophy/test/36,philosophy,Humanities,"According to Mill, to determine whether one pleasure is more valuable than another, we must _____.",determine which one is objectively most pleasurable,determine which pleasure most experienced people prefer,consult philosophers of the past,consult science,B,[],[],[],[],[],[],-,False
philosophy/test/37,philosophy,Humanities,"According to Hobbes, the definition of injustice is _____.",disobedience to a sovereign,disobedience to God's law,failure to abide by a contract,failure to respect inherent rights,C,[],[],[],[],[],[],-,False
philosophy/test/41,philosophy,Humanities,"To Kant, making a lying promise would be wrong because _____.",lying to people can cause them harm,lying to people harms society,you could not consistently will that everyone should make lying promises,most people condemn the practice,C,[],[],[],[],[],[],-,False
philosophy/test/44,philosophy,Humanities,The famous statement “An unexamined life is not worth living” is attributed to _____.,Aristotle,John Locke,Socrates,Plato,C,[],[],[],[],[],[],-,False
philosophy/test/45,philosophy,Humanities,Paley maintains that the key difference between the “contrivance” of a watch and that of nature is that the latter is _____.,simpler,more natural,older,greater and grander,D,"['regional', 'cultural', 'cultural', 'none', 'none']","['No', 'No', 'No', 'No', 'No']","[{'end': 5, 'label': 'Geographic', 'score': None, 'start': 0}, {'end': 5, 'label': 'Cultural', 'score': None, 'start': 0}, {'end': 5, 'label': 'Cultural', 'score': None, 'start': 0}, '-', '-']","['Western Culture', 'Western Culture', 'Western Culture']",[],['United States of America (USA)'],CS,True
philosophy/test/47,philosophy,Humanities,"For the soft determinist, to say that you could have done otherwise is to say that you would have done otherwise if _____.",your desires were always the same,your desires were completely under your control,your desires had been different,your desires played no role in your decisions,C,[],[],[],[],[],[],-,False
philosophy/test/49,philosophy,Humanities,"According to Rawls, behind the veil of ignorance, the principles of justice are _____.",the result of coercion,impractical,chosen arbitrarily,the result of a fair agreement or bargain,D,[],[],[],[],[],[],-,False
philosophy/test/65,philosophy,Humanities,"According to Sartre, if God does not exist, _____.",anything is permissible,moral values must come from nature,moral values still exist,man does not exist,A,[],[],[],[],[],[],-,False
philosophy/test/66,philosophy,Humanities,Baggini accuses pessimists of mixing up the two senses of _____.,philosophy,religion,meaning,time,C,[],[],[],[],[],[],-,False
philosophy/test/67,philosophy,Humanities,Which of the following is an example of deception in business research?,The obtaining of company material without permission.,The researcher wearing a disguise during an observation.,The researcher representing their research as being about a different topic.,The researcher failing to ask permission to interview someone.,C,[],[],[],[],[],[],-,False
philosophy/test/69,philosophy,Humanities,Descartes had been disillusioned by his discovery that many of the alleged truths learned in his youth were _____.,contrary to his religion,TRUE,FALSE,beyond question,C,"['cultural', 'cultural', 'none', 'cultural']","['No', 'No', 'No', 'No']","[{'end': 9, 'label': 'Cultural', 'score': None, 'start': 0}, {'end': 9, 'label': 'Cultural', 'score': None, 'start': 0}, '-', '-']","['Western Culture', 'Western Culture', 'Western Culture']",[],[],CS,True
philosophy/test/70,philosophy,Humanities,Critics of the divine command theory have argued that the theory implies that God's commands are _____.,well supported,unclear,unknowable,arbitrary,D,[],[],[],[],[],[],-,False
philosophy/test/75,philosophy,Humanities,An important formal characteristic of art is_____.,social meaning,faithful representation,its power to evoke strong emotions,coherence,D,[],[],[],[],[],[],-,False
