sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
abstract_algebra/test/3,abstract_algebra,STEM,"Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.","True, True","False, False","True, False","False, True",B,"['none', 'none', 'none', 'none', 'none']","['No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",[],[],[],CA,True
abstract_algebra/test/5,abstract_algebra,STEM,"Statement 1 | If a group has an element of order 15 it must have at least 8 elements of order 15. Statement 2 | If a group has more than 8 elements of order 15, it must have at least 16 elements of order 15.","True, True","False, False","True, False","False, True",A,[],[],[],[],[],[],-,False
abstract_algebra/test/6,abstract_algebra,STEM,Statement 1 | Every homomorphic image of a group G is isomorphic to a factor group of G. Statement 2 | The homomorphic images of a group G are the same (up to isomorphism) as the factor groups of G.,"True, True","False, False","True, False","False, True",A,[],[],[],[],[],[],-,False
abstract_algebra/test/7,abstract_algebra,STEM,Statement 1 | A ring homomorphism is one to one if and only if the kernel is {0}. Statement 2 | Q is an ideal in R.,"True, True","False, False","True, False","False, True",D,[],[],[],[],[],[],-,False
abstract_algebra/test/10,abstract_algebra,STEM,"Statement 1 | If H is a subgroup of G and a belongs to G then |aH| = |Ha|. Statement 2 | If H is a subgroup of G and a and b belong to G, then aH and Hb are identical or disjoint.","True, True","False, False","True, False","False, True",C,[],[],[],[],[],[],-,False
abstract_algebra/test/15,abstract_algebra,STEM,Statement 1 | R is a splitting field of some polynomial over Q. Statement 2 | There is a field with 60 elements.,"True, True","False, False","True, False","False, True",B,[],[],[],[],[],[],-,False
abstract_algebra/test/19,abstract_algebra,STEM,Statement 1| Every group of order p^2 where p is prime is Abelian. Statement 2 | For a fixed prime p a Sylow p-subgroup of a group G is a normal subgroup of G if and only if it is the only Sylow p-subgroup of G.,"True, True","False, False","True, False","False, True",A,[],[],[],[],[],[],-,False
abstract_algebra/test/20,abstract_algebra,STEM,"Statement 1 | For finite groups G and H, |G + H| = |G||H|. (G + H is the internal direct product.) Statement 2 | If r divides m and s divides n then Z_m + Z_n has a subgroup isomorphic to Z_r + Z_s.","True, True","False, False","True, False","False, True",A,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
abstract_algebra/test/22,abstract_algebra,STEM,"Statement 1 | Any set of two vectors in R^2 is linearly independent. Statement 2 | If V = span(v1, ... , vk) and {v1, ... , vk} are linearly independent, then dim(V) = k.","True, True","False, False","True, False","False, True",D,[],[],[],[],[],[],-,False
abstract_algebra/test/24,abstract_algebra,STEM,"Statement 1 | Every maximal ideal is a prime ideal. Statement 2 | If I is a maximal ideal of a commutative ring R, then R/I is field.","True, True","False, False","True, False","False, True",B,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
abstract_algebra/test/26,abstract_algebra,STEM,Statement 1 | Every group of order 42 has a normal subgroup of order 7. Statement 2 | Every group of order 42 has a normal subgroup of order 8.,"True, True","False, False","True, False","False, True",C,[],[],[],[],[],[],-,False
abstract_algebra/test/28,abstract_algebra,STEM,Statement 1 | The image of a group of 6 elements under a homomorphism may have 12 elements. Statement 2 | There is a homomorphism of some group of 6 elements into some group of 12 elements.,"True, True","False, False","True, False","False, True",D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
abstract_algebra/test/29,abstract_algebra,STEM,Statement 1 | The homomorphic image of a cyclic group is cyclic. Statement 2 | The homomorphic image of an Abelian group is Abelian.,"True, True","False, False","True, False","False, True",A,[],[],[],[],[],[],-,False
abstract_algebra/test/30,abstract_algebra,STEM,"Statement 1 | If H is a subgroup of a group G and a belongs to G, then aH = Ha. Statement 2 | If H is normal of G and a belongs to G, then ah = ha for all h in H.","True, True","False, False","True, False","False, True",B,[],[],[],[],[],[],-,False
abstract_algebra/test/32,abstract_algebra,STEM,"Statement 1 | In a finite dimensional vector space every linearly independent set of vectors is contained in a basis. Statement 2 | If B_1 and B_2 are bases for the same vector space, then |B_1| = |B_2|.","True, True","False, False","True, False","False, True",A,"['none', 'none', 'none', 'none', 'none']","['No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",[],[],[],CA,True
abstract_algebra/test/34,abstract_algebra,STEM,"Statement 1 | If T: V -> W is a linear transformation and dim(V ) < dim(W) < 1, then T must be injective. Statement 2 | Let dim(V) = n and suppose that T: V -> V is linear. If T is injective, then it is a bijection.","True, True","False, False","True, False","False, True",A,"['none', 'none', 'none', 'none', 'none']","['No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",[],[],[],CA,True
abstract_algebra/test/39,abstract_algebra,STEM,Statement 1 | Every permutation is a cycle. Statement 2 | Every cycle is a permutation.,"True, True","False, False","True, False","False, True",D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
abstract_algebra/test/42,abstract_algebra,STEM,Statement 1 | Some abelian group of order 45 has a subgroup of order 10. Statement 2 | A subgroup H of a group G is a normal subgroup if and only if thenumber of left cosets of H is equal to the number of right cosets of H.,"True, True","False, False","True, False","False, True",B,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
abstract_algebra/test/43,abstract_algebra,STEM,Statement 1 | Every integral domain with characteristic 0 is infinite. Statement 2 | Every integral domain with prime characteristic is finite.,"True, True","False, False","True, False","False, True",C,[],[],[],[],[],[],-,False
abstract_algebra/test/44,abstract_algebra,STEM,"Let A and B be sets, f: A -> B and g: B -> A be functions such that for all a \in A, g(f(a)) = a. Statement 1 | The function f must necessarily be injective. Statement 2 | The function f must necessarily be surjective.","True, True","False, False","True, False","False, True",C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
abstract_algebra/test/45,abstract_algebra,STEM,"Statement 1 | For any two groups G and G', there exists a homomorphism of G into G'. Statement 2 | Every homomorphism is a one-to-one map.","True, True","False, False","True, False","False, True",C,"['none', 'none', 'none', 'none', 'none']","['No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",[],[],[],CA,True
abstract_algebra/test/46,abstract_algebra,STEM,Statement 1 | A homomorphism may have an empty kernel. Statement 2 | It is not possible to have a nontrivial homomorphism of some finite group into some infinite group.,"True, True","False, False","True, False","False, True",B,"['none', 'none', 'none', 'none', 'none']","['No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",[],[],[],CA,True
abstract_algebra/test/48,abstract_algebra,STEM,"Statement 1 | If a R is an integral domain, then R[x] is an integral domain. Statement 2 | If R is a ring and f(x) and g(x) are in R[x], then deg (f(x)g(x)) = deg f(x) + deg g(x).","True, True","False, False","True, False","False, True",C,[],[],[],[],[],[],-,False
abstract_algebra/test/50,abstract_algebra,STEM,Statement 1 | Every solvable group is of prime-power order. Statement 2 | Every group of prime-power order is solvable.,"True, True","False, False","True, False","False, True",D,[],[],[],[],[],[],-,False
abstract_algebra/test/53,abstract_algebra,STEM,"Statement 1 | If G, H and K are groups of order 4, at least two of them are isomorphic. Statement 2 | If Z_r + Z_s is isomorphic to a subgroup Z_m + Z_n, then r divides m and s divides n.","True, True","False, False","True, False","False, True",C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
abstract_algebra/test/55,abstract_algebra,STEM,Statement 1 | Every free abelian group is torsion free. Statement 2 | Every finitely generated torsion-free abelian group is a free abelian group.,"True, True","False, False","True, False","False, True",A,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
abstract_algebra/test/56,abstract_algebra,STEM,Statement 1 | 4x - 2 is irreducible over Z. Statement 2 | 4x - 2 is irreducible over Q.,"True, True","False, False","True, False","False, True",D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
abstract_algebra/test/58,abstract_algebra,STEM,Statement 1 | Every group of order 159 is cyclic. Statement 2 | Every group of order 102 has a nontrivial proper normal subgroup.,"True, True","False, False","True, False","False, True",A,[],[],[],[],[],[],-,False
abstract_algebra/test/59,abstract_algebra,STEM,"Statement 1 | If H and K are subgroups of G and one of H or K is normal subgroup of G, then HK is a subgroup of G. Statement 2 | All groups of order p^2 where p is prime are Abelian.","True, True","False, False","True, False","False, True",A,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
abstract_algebra/test/60,abstract_algebra,STEM,Statement 1 | The unity of a subring must be the same as the unity of the ring. Statement 2 | Every field is an integral domain.,"True, True","False, False","True, False","False, True",D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
