sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
high_school_macroeconomics/test/1,high_school_macroeconomics,Social Sciences,Which of the following is included in U.S. GDP? I.   The market value of movies made in Africa by U.S. citizens II.   The market value of olive oil made in Italy and sold in the United States. III.   The market value of blue jeans made in the United States and sold in Japan IV.   The market value of wine made in the United States by Canadian citizens,II III and IV only,I and III only,II and IV only,III and IV only,D,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/2,high_school_macroeconomics,Social Sciences,When both short-run aggregate supply and aggregate demand increase which of the following can be said for certain?,The price level rises but real GDP falls.,Both the price level and real GDP rise.,The price level rises but the change in real GDP is uncertain.,Real GDP rises but the change in the price level is uncertain.,D,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/4,high_school_macroeconomics,Social Sciences,A likely cause of falling Treasury bond prices might be,expansionary monetary policy.,contractionary monetary policy.,a depreciating dollar.,fiscal policy designed to reduce the budget deficit.,B,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/8,high_school_macroeconomics,Social Sciences,Every choice results in a foregone best alternative which economists call the,accounting cost,switching cost,inferior cost,opportunity cost,D,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/11,high_school_macroeconomics,Social Sciences,Which of the following transactions would be counted in GDP?,The cash you receive from babysitting your neighbor’s kids,The sale of illegal drugs,The sale of cucumbers to a pickle manufacturer,The sale of a pound of tomatoes at a supermarket,D,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/14,high_school_macroeconomics,Social Sciences,Equilibrium real GDP is far below full employment and the government lowers household taxes. Which is the likely result?,Unemployment falls with little inflation.,Unemployment rises with little inflation.,Unemployment falls with rampant inflation.,Unemployment rises with rampant inflation.,A,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/22,high_school_macroeconomics,Social Sciences,If the economy is operating at full employment which of the following policies will create the most inflation in the short run?,An increase in government spending matched by an equal increase in taxes,An increase in government spending with no change in taxes,A decrease in government spending and a matching increase in taxes,A decrease in taxes with no change in government spending,B,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/24,high_school_macroeconomics,Social Sciences,Which of the following would be an example of fiat money?,Cigarettes used as money in prisons,Dollar bills,Gold coins,Arrowheads used as a medium of exchange,B,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/25,high_school_macroeconomics,Social Sciences,Which of the following fiscal policies is likely to be most effective when the economy is experiencing an inflationary gap?,The government decreases taxes and keeps spending unchanged.,The government increases spending and keeps taxes unchanged.,The government increases spending matched with an increase in taxes.,The government increases taxes and decreases spending.,D,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/29,high_school_macroeconomics,Social Sciences,Contractionary monetary policy implies which of the following about the discount rate the nominal interest rate and aggregate demand? Discount rate      Nominal interest rate      Aggregate demand,Decreases            Increases      Decreases,Increases            Increases      Decreases,Decreases            Decreases      Decreases,Increases            Increases      Increases,B,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/30,high_school_macroeconomics,Social Sciences,Which of the following is a fundamental economic question?,Who will get how much of each good and service?,Who should pay taxes?,Who will work?,Who will make the economic decisions?,A,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/32,high_school_macroeconomics,Social Sciences,The best example of a negative supply shock to the economy would be,a decrease in government spending.,a decrease in the real interest rate.,an increase in the money supply.,unexpectedly higher resource prices.,D,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/40,high_school_macroeconomics,Social Sciences,Which of the following policies is most likely to bring about economic growth in the long run?,Imposing tariffs to protect domestic industries from foreign competition.,Placing taxes on savings.,Increasing government spending.,Promoting improvements in the education of the population.,D,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/44,high_school_macroeconomics,Social Sciences,"The ""crowding-out"" effect refers to which of the following?",Lower interest rates that result from borrowing to conduct expansionary monetary policy,Higher interest rates that result from borrowing to conduct contractionary fiscal policy,Higher interest rates that result from borrowing to conduct expansionary fiscal policy,Higher interest rates due to borrowing to conduct contractionary monetary policy,C,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/47,high_school_macroeconomics,Social Sciences,Which of the following would lead to a decrease in the money supply?,The FED lowers the discount rate.,The FED sells government securities in the secondary market.,The federal government spends less money.,The FED lowers reserve requirements.,B,"['regional', 'none', 'regional', 'regional']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",['Western Culture'],"['North America', 'North America']","['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True
high_school_macroeconomics/test/48,high_school_macroeconomics,Social Sciences,Which of the following insures the value of the U.S. dollar?,The euro and other foreign currencies held by the Federal Reserve,Gold bars in secure locations like Fort Knox,The promise of the U.S. government to maintain its value,The value of the actual paper on which it is printed.,C,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/49,high_school_macroeconomics,Social Sciences,In what ways is contractionary fiscal policy in the United States likely to affect domestic interest rates and the international value of the dollar?,Interest rates increase and the dollar depreciates.,Interest rates decrease and the dollar appreciates.,Interest rates increase and the dollar appreciates.,Interest rates decrease and the dollar depreciates.,D,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/50,high_school_macroeconomics,Social Sciences,Which of the following results from stagflation?,Unemployment decreases,The price level decreases,The aggregate supply curve shifts to the right,The Phillips curve shifts to the right,D,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/52,high_school_macroeconomics,Social Sciences,Which of the following statements is true?,Some of the things included in M2 are not as liquid as the things in MI.,M2 is smaller than MI.,M I is backed by gold and M2 is backed by silver.,The biggest component of M I is currency.,A,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/56,high_school_macroeconomics,Social Sciences,Which of the following represents a combination of contractionary fiscal and expansionary monetary policy? FISCAL POLICY     MONETARY POLICY,Higher taxes     Selling Treasury securities,Lower taxes     Buying Treasury securities,Lower government spending     Increasing the reserve ratio,Higher taxes     Buying Treasury securities,D,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/58,high_school_macroeconomics,Social Sciences,Stagflation most likely results from,increasing AD with constant SRAS.,decreasing SRAS with constant AD.,decreasing AD with constant SRAS.,a decrease in both AD and SRAS.,B,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/60,high_school_macroeconomics,Social Sciences,Which of the following lists contains only Fed actions that will increase the money supply?,Raise reserve requirements; lower the discount rate; sell bonds.,Raise reserve requirements; lower the discount rate; buy bonds.,Raise reserve requirements; raise the discount rate; sell bonds.,Lower reserve requirements; lower the discount rate; buy bonds.,D,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/71,high_school_macroeconomics,Social Sciences,Which of the following is not included in MI?,Coins.,Paper money.,Travelers' checks.,Credit cards.,D,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/74,high_school_macroeconomics,Social Sciences,Which of the following is an accurate statement of the money supply in the United States?,The money supply is backed by gold reserves.,The least liquid measure of money is M2.,M1 is larger than M3.,The most liquid measure of money is M1.,D,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/75,high_school_macroeconomics,Social Sciences,Which of the following is an example of an expansionary supply shock?,Rapid increasing wages,A greatly depreciated currency,Declining labor productivity,Lower factor prices in major industries,D,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/76,high_school_macroeconomics,Social Sciences,Which of the following shifts the production possibilities frontier outward?,A decrease in the price level.,An increase in labor productivity.,An increase in the money supply.,A decrease in the unemployment rate.,B,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/77,high_school_macroeconomics,Social Sciences,The money supply will increase as a result of which of the following?,A decrease in the required reserve ratio,An increase in the discount rate,The selling of bonds by the Federal Reserve,An increase in the fraction of deposits that must be held by banks,A,"['none', 'none', 'regional', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],['North America'],['United States of America (USA)'],CA,True
high_school_macroeconomics/test/81,high_school_macroeconomics,Social Sciences,Which of the following is true of money and financial markets?,As the demand for bonds increases the interest rate increases.,For a given money supply if nominal GDP increases the velocity of money decreases.,When demand for stocks and bonds increases the asset demand for money falls.,A macroeconomic recession increases the demand for loanable funds.,C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
high_school_macroeconomics/test/83,high_school_macroeconomics,Social Sciences,Suppose the economy is operating beyond full employment. Which of the following is true at this point?,The short-run aggregate supply curve is horizontal.,Further increases in aggregate demand will result in a lower price level.,A decrease in aggregate demand will result in a lower price level if prices are sticky.,Further increases in aggregate demand will not lower the unemployment rate but will create inflation.,D,"['none', 'none', 'none', 'none', 'none', 'none', 'none', 'none']","['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-', '-', '-', '-']",[],[],[],CA,True
high_school_macroeconomics/test/91,high_school_macroeconomics,Social Sciences,Of the following choices which combination of fiscal and monetary policy would most likely reduce a recessionary gap? FISCAL POLICY     MONETARY POLICY,Increase taxes.     Increase the reserve ratio.,Decrease spending.     Sell Treasury securities.,Decrease taxes.     Buy Treasury securities.,Increase spending.     Increase the reserve ratio.,C,"['none', 'none', 'none', 'none', 'none']","['No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",[],[],[],CA,True
high_school_macroeconomics/test/94,high_school_macroeconomics,Social Sciences,A use of easy money (expansionary) policy by the Fed could result in which of the following?,an increase in net exports,a decrease in net exports,an increase in the real interest rate,an increase in the nominal interest rate,B,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/96,high_school_macroeconomics,Social Sciences,Which of the following is not included in M2?,Currency.,Travelers' checks.,Certificates of deposit.,Credit cards.,D,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/100,high_school_macroeconomics,Social Sciences,Which of the following tends to increase the spending multiplier?,An increase in the marginal propensity to consume,A decreased velocity of money,An increase in the marginal propensity to save,An increase in the real interest rate,A,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/102,high_school_macroeconomics,Social Sciences,The crowding-out effect from government borrowing is best described as,the rightward shift in AD in response to the decreasing interest rates from contractionary fiscal policy.,the leftward shift in AD in response to the rising interest rates from expansionary fiscal policy.,the effect of the President increasing the money supply which decreases real interest rates and increases AD.,the effect on the economy of hearing the chairperson of the central bank say that he or she believes that the economy is in a recession.,B,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/103,high_school_macroeconomics,Social Sciences,Which of the following best describes a key difference between the short-run and long-run aggregate supply curve?,Short-run aggregate supply is upward sloping as nominal wages quickly respond to price level changes.,Long-run aggregate supply is upward sloping as nominal wages quickly respond to price level changes.,Short-run aggregate supply is vertical as nominal wages quickly respond to price level changes.,Short-run aggregate supply is upward sloping as nominal wages do not quickly respond to price level changes.,D,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/109,high_school_macroeconomics,Social Sciences,Which of the following monetary policies would lessen the effectiveness of expansionary fiscal policy?,Decreasing the value of the domestic currency.,Lowering the income tax rate.,Selling Treasury securities to commercial banks.,Lowering the discount rate.,C,"['none', 'regional', 'none', 'none']","['No', 'Yes', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
high_school_macroeconomics/test/113,high_school_macroeconomics,Social Sciences,Use the following three responses to answer the question: Fiscal policy is not always effective because of I. crowding out. II. rational expectations. III. the balanced budget amendment.,I only,II only,II and III,I and II,D,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/115,high_school_macroeconomics,Social Sciences,Which of the following is a consequence of a protective tariff on imported steel?,Net exports fall.,Income is transferred from domestic steel consumers to domestic steel producers.,Allocative efficiency is improved.,Income is transferred from domestic steel to foreign steel producers.,B,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/116,high_school_macroeconomics,Social Sciences,Of the following choices the one most likely to be preferred by supply-side economists would be,increased government spending.,higher tariffs on imported goods.,lower taxes on household income.,a tax credit on capital investment.,D,[],[],[],[],[],[],-,False
high_school_macroeconomics/test/119,high_school_macroeconomics,Social Sciences,Which of the following is NOT included in GDP?,Federal government purchases of goods and services.,Imports.,State and local government purchases of goods and services.,Exports.,B,[],[],[],[],[],[],-,False
