sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
conceptual_physics/test/0,conceptual_physics,STEM,A 10-N force at an angle 45° above the horizontal has a horizontal component of about,7 N,5 N,10 N,12 N,A,[],[],[],[],[],[],-,False
conceptual_physics/test/1,conceptual_physics,STEM,A completely submerged object always displaces its own,weight of fluid.,volume of fluid.,density of fluid.,All of these.,B,[],[],[],[],[],[],-,False
conceptual_physics/test/2,conceptual_physics,STEM,"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light",totally internally reflects,passes into the air above,is absorbed,None of these,B,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
conceptual_physics/test/3,conceptual_physics,STEM,"According to four-dimensional geometry, the angles of a triangle add to 180°",always.,sometimes.,never.,on planet Earth only.,B,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
conceptual_physics/test/4,conceptual_physics,STEM,A voltage will be induced in a wire loop when the magnetic field within that loop,changes,aligns with the electric field,is at right angles to the electric field,converts to magnetic energy,A,[],[],[],[],[],[],-,False
conceptual_physics/test/5,conceptual_physics,STEM,"Among these colors, the one that has the most energy per photon is",red,yellow-green,blue,violet,D,[],[],[],[],[],[],-,False
conceptual_physics/test/6,conceptual_physics,STEM,"According to general relativity,",mass distorts spacetime.,gravity affects clocks.,light can’t escape from a black hole.,All of these.,D,[],[],[],[],[],[],-,False
conceptual_physics/test/7,conceptual_physics,STEM,A step-up transformer in an electric circuit can step up,voltage,energy,Both of these,Neither of these,A,[],[],[],[],[],[],-,False
conceptual_physics/test/8,conceptual_physics,STEM,Spectral lines of the elements are,chaotic,ordered,positioned by amplitude,in phase,B,[],[],[],[],[],[],-,False
conceptual_physics/test/9,conceptual_physics,STEM,A wave transfers,amplitude,wavelength,frequency,energy,D,[],[],[],[],[],[],-,False
conceptual_physics/test/10,conceptual_physics,STEM,"Immediately after two separated charged particles are released from rest, both increase in acceleration. The sign of charge of the particles is therefore",the same,opposite,Either of these,Need more information,B,[],[],[],[],[],[],-,False
conceptual_physics/test/11,conceptual_physics,STEM,The surface of planet Earth loses energy to outer space due mostly to,conduction,convection,radiation,radioactivity,C,[],[],[],[],[],[],-,False
conceptual_physics/test/12,conceptual_physics,STEM,"In a series circuit, if the current in one lamp is 2 A, the current in the lamp next to it is","half, 1 A",2 A,Depends on which lamp is closer to the battery,Not enough information to say,B,[],[],[],[],[],[],-,False
conceptual_physics/test/13,conceptual_physics,STEM,"As a blinking light source approaching you gains speed, you see the frequency of flashes",increase.,decrease.,remain unchanged.,None of these.,A,[],[],[],[],[],[],-,False
conceptual_physics/test/14,conceptual_physics,STEM,In the absence of air resistance a ball of mass m is tossed upward to reach a height of 20 m. At the 10-m position half way up the net force on the ball is,2mg,mg,mg/2,mg/4,B,[],[],[],[],[],[],-,False
conceptual_physics/test/15,conceptual_physics,STEM,Pumice is a volcanic rock that floats in water. The density of pumice compared with that of water is,less.,equal.,greater.,none because it sinks.,A,[],[],[],[],[],[],-,False
conceptual_physics/test/16,conceptual_physics,STEM,When you look at the red petals of a rose the color light you're seeing is,red.,green.,white minus red.,a mixture of green and yellow.,A,[],[],[],[],[],[],-,False
conceptual_physics/test/17,conceptual_physics,STEM,Compared with the sound you hear from the siren of a stationary fire engine the sound you hear when it approaches you has an increased,speed,frequency,wavelength,All of these,B,[],[],[],[],[],[],-,False
conceptual_physics/test/18,conceptual_physics,STEM,"When you squeeze an air-filled party balloon, you increase its",volume,mass,weight,density,D,[],[],[],[],[],[],-,False
conceptual_physics/test/19,conceptual_physics,STEM,Polarization is a property of,transverse waves,longitudinal waves,all waves,None of these,A,[],[],[],[],[],[],-,False
conceptual_physics/test/20,conceptual_physics,STEM,"In a vacuum, an object has no",buoyant force,mass,weight,All of these,A,[],[],[],[],[],[],-,False
conceptual_physics/test/21,conceptual_physics,STEM,Temperature is generally proportional to a substance’s,thermal energy.,vibrational kinetic energy.,average translational kinetic energy.,rotational kinetic energy.,C,[],[],[],[],[],[],-,False
conceptual_physics/test/22,conceptual_physics,STEM,"In a hydraulic press operation, the output piston cannot",move farther than the input piston,exceed the force input,exceed the input piston’s speed,produce increased energy,D,[],[],[],[],[],[],-,False
conceptual_physics/test/23,conceptual_physics,STEM,When a spinning system contracts in the absence of an external torque its rotational speed increases and its angular momentum,decreases,increases,remains unchanged,may increase or decrease,C,[],[],[],[],[],[],-,False
conceptual_physics/test/24,conceptual_physics,STEM,"According to Hooke’s law, if you hang by a tree branch and note how much it bends, then hanging with twice the weight produces",half the bend.,the same bend if the branch doesn’t break.,twice the bend.,4 times the bend.,C,[],[],[],[],[],[],-,False
conceptual_physics/test/25,conceptual_physics,STEM,When an increase in speed doubles the kinetic energy of a moving body its momentum,increases but less than doubles,doubles,more than doubles,depends on factors not stated,A,[],[],[],[],[],[],-,False
conceptual_physics/test/26,conceptual_physics,STEM,Suppose the number of neutrons in a reactor that is starting up doubles each minute reaching one billion neutrons in 10 minutes. When did the number of neutrons reach half a billion?,1 minute.,2 minutes.,5 minutes.,9 minutes.,D,[],[],[],[],[],[],-,False
conceptual_physics/test/27,conceptual_physics,STEM,"If an object is already moving and the sum of all the vector forces on a mass is zero, then the object will",move at a constant speed in a straight line,accelerate at a constant rate in a straight line,come to rest,increase its amount of inertia,A,[],[],[],[],[],[],-,False
conceptual_physics/test/29,conceptual_physics,STEM,Put a saucer of water on your table. A process that then occurs is,evaporation,condensation,Both,Neither,C,[],[],[],[],[],[],-,False
conceptual_physics/test/30,conceptual_physics,STEM,A barometer that uses water instead of mercury will be,shorter,taller,equal in height,inoperable,B,"['none', 'none', 'none', 'none', 'none']","['No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",[],[],[],CA,True
conceptual_physics/test/31,conceptual_physics,STEM,A heavy rock and a light rock in free fall (zero air resistance) have the same acceleration. The heavy rock doesn't have a greater acceleration because the,force due to gravity is the same on each.,air resistance is always zero in free fall.,inertia of both rocks is the same.,ratio of force to mass is the same.,D,[],[],[],[],[],[],-,False
conceptual_physics/test/32,conceptual_physics,STEM,When an increase in speed doubles the momentum of a moving body its kinetic energy,increases but less than doubles,doubles,more than doubles,depends on factors not stated,C,[],[],[],[],[],[],-,False
conceptual_physics/test/33,conceptual_physics,STEM,The equation E = mc^2 indicates that energy,equals mass moving at the speed of light squared.,equals moving mass.,is fundamentally different than mass.,and mass are closely related.,D,[],[],[],[],[],[],-,False
conceptual_physics/test/34,conceptual_physics,STEM,General relativity predicts that,light leaving the Sun is slowed by gravity.,light passing the Sun is deflected.,a clock on the Sun’s surface runs faster than on Earth.,All of these.,D,[],[],[],[],[],[],-,False
conceptual_physics/test/35,conceptual_physics,STEM,"When an element ejects an alpha particle, the atomic number of the resulting element",reduces by 2,reduces by 4,increases by 2,increases by 4,A,[],[],[],[],[],[],-,False
conceptual_physics/test/36,conceptual_physics,STEM,"As more lamps are connected in parallel in a circuit, the current in the power source",increases,decreases,remains the same,Not enough information to say,A,[],[],[],[],[],[],-,False
conceptual_physics/test/37,conceptual_physics,STEM,An airplane with its nose pointing north with an airspeed of 40 km/h in a 30-km/h crosswind (at right angles) has a groundspeed of,30 km/h,40 km/h,50 km/h,60 km/h,C,[],[],[],[],[],[],-,False
conceptual_physics/test/38,conceptual_physics,STEM,The energy of an emitted photon is related to its,amplitude,polarization,momentum,frequency,D,[],[],[],[],[],[],-,False
conceptual_physics/test/39,conceptual_physics,STEM,Thermal conduction involves mainly,electrons,protons,neutrons,ions,A,"['none', 'none', 'none', 'none', 'none']","['No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",[],[],[],CA,True
