sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
high_school_geography/test/4,high_school_geography,Social Sciences,Which of the following statements is TRUE concerning women in the labor force?,Most women work in agriculture,The percentage of women economically active in the labor force declined worldwide,The percentage of women in the total labor force declined,Women spend more hours per day working than men in all regions except Anglo America and Australia,D,[],[],[],[],[],[],-,False
high_school_geography/test/5,high_school_geography,Social Sciences,All the following factors can be considered pull factors of migration EXCEPT,safety.,better climate.,better schools.,overcrowding.,D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
high_school_geography/test/6,high_school_geography,Social Sciences,Which of the following countries does NOT have a well-known example of a relict boundary?,Vietnam,United Kingdom,Germany,Bolivia,D,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","['-', '-', {'end': 89, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 32, 'label': 'Geographic', 'score': None, 'start': 0}]",['Latin American Culture'],"['South America', 'South America']","['Bolivia, Plurinational State of', 'Bolivia, Plurinational State of', 'Bolivia, Plurinational State of']",CS,True
high_school_geography/test/7,high_school_geography,Social Sciences,Which form of migration below are farm workers from another country most likely to be practicing during the year?,Chain migration,Cluster migration,Circular migration,International migration,C,[],[],[],[],[],[],-,False
high_school_geography/test/8,high_school_geography,Social Sciences,Which of the following is a centrifugal force in a country?,Religious differences,A national holiday,An attack by another country,A charismatic national leader,A,[],[],[],[],[],[],-,False
high_school_geography/test/9,high_school_geography,Social Sciences,Early settlements and high population density along coastlines and rivers are best attributed to which of the following?,Mediterranean climate,Limited forest cover,Growth of manufacturing,Access to trade routes,D,[],[],[],[],[],[],-,False
high_school_geography/test/14,high_school_geography,Social Sciences,The best definition of an urban area is,the central city and its developed areas.,the central city and its surrounding suburbs.,the central city and its hinterlands.,the central city and the adjacent counties.,B,[],[],[],[],[],[],-,False
high_school_geography/test/15,high_school_geography,Social Sciences,Which of the following religions developed first?,Buddhism,Christianity,Islam,Hinduism,D,[],[],[],[],[],[],-,False
high_school_geography/test/16,high_school_geography,Social Sciences,Which one of the following is NOT a characteristic of world cities?,World cities contain the headquarters of many transnational corporations.,World cities are well connected to secondary-level world cities.,World cities contain many offices of multinational organizations.,World cities are found only in the northern and western hemispheres.,D,[],[],[],[],[],[],-,False
high_school_geography/test/27,high_school_geography,Social Sciences,"A population pyramid, or age-sex structure, displays all the following information about a country's population EXCEPT",future social spending needs of the population.,"the impact of ""baby booms"" on the population.",the impact of wars on the population.,a quick visual depiction of the country's demographics.,B,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
high_school_geography/test/31,high_school_geography,Social Sciences,All of the following are non-basic jobs in the city EXCEPT,city firefighter.,social worker.,dry cleaner.,garment factory worker.,D,[],[],[],[],[],[],-,False
high_school_geography/test/33,high_school_geography,Social Sciences,Which of the following is LEAST associated with the development of alluvial landscapes?,A deep cover of loose materials,A predominance of gentle slopes,Frequent flooding,Deep dissection and erosion,D,[],[],[],[],[],[],-,False
high_school_geography/test/34,high_school_geography,Social Sciences,Which of the following is LEAST self-sufficient in the natural resources needed for modern industry?,United States,Japan,France,United Kingdom,B,[],[],[],[],[],[],-,False
high_school_geography/test/38,high_school_geography,Social Sciences,Which one of the following statements best describes an application of the S-curve?,Graph of the Bantu migration,Graph of the growth of human populations since their first appearance on Earth,The chart showing how cities associate with one another based on their population sizes,A model showing the decrease in population growth for several countries after they industrialize,D,[],[],[],[],[],[],-,False
high_school_geography/test/39,high_school_geography,Social Sciences,Which of the following items is NOT a challenge to the state?,Transnational corporations,EU,World Trade Organization,Good transportation network,D,[],[],[],[],[],[],-,False
high_school_geography/test/42,high_school_geography,Social Sciences,"On which of the following can one most accurately depict true geographical distance, true direction, true size, and true shape?",A Mercator projection,A globe,A conic projection,A gnomonic projection,B,"['none', 'none', 'none', 'none', 'none']","['No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",[],[],[],CA,True
high_school_geography/test/43,high_school_geography,Social Sciences,Which of the following could be considered a higher-order central place function?,Winn-Dixie grocery store,Mercedes-Benz dealership,Shoe store,Family doctor,B,[],[],[],[],[],[],-,False
high_school_geography/test/48,high_school_geography,Social Sciences,Which of the following jobs is in the non-basic employment sector?,Software engineer,F-10 pickup truck assembly-line worker,Oil refinery worker,Parking lot attendant,D,[],[],[],[],[],[],-,False
high_school_geography/test/49,high_school_geography,Social Sciences,In which of the following regions is subsistence agriculture being replaced by large-scale commercial development?,The Swiss Alps,The Amazon Basin,North Africa,The Alaskan tundra,B,[],[],[],[],[],[],-,False
high_school_geography/test/52,high_school_geography,Social Sciences,Which of the following U.S. main immigration flow associations is NOT correct?,"Pioneer settlement to 1870—Germans, British, Scotch-Irish, Africans",1870–1914—Asians,1870–1914—Eastern and southern Europeans,1965–present—Hispanics,B,[],[],[],[],[],[],-,False
high_school_geography/test/57,high_school_geography,Social Sciences,Which of the following would NOT be considered a barrier to diffusion of a cultural trait?,Language,Religion,Oceans,Tolerant complaisant citizens,D,"['cultural', 'none', 'none', 'none', 'none', 'none']","['No', 'No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-', '-']",[],[],[],CA,True
