sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
miscellaneous/test/1,miscellaneous,Other,"In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy?",Conferencing,Discipline-based inquiry,Self-Regulated Strategy Development,Introduction-Body-Conclusion strategy,B,[],[],[],[],[],[],-,False
miscellaneous/test/3,miscellaneous,Other,The Apple iMac computer is available in all of the following colors except which?,Tangerine,Strawberry,Kiwi,Grape,C,"['none', 'none', 'none', 'cultural']","['No', 'Yes', 'No', 'Yes']","['-', '-', '-', '-']",['Western Culture'],[],[],CA,True
miscellaneous/test/5,miscellaneous,Other,"A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described?",Direct instruction,Literature circle,Guided reading,Read-aloud,C,[],[],[],[],[],[],-,False
miscellaneous/test/7,miscellaneous,Other,Which of the following materials has a resistance that is LEAST affected by temperature changes?,Copper,Carbon,Germanium,Silicon,A,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
miscellaneous/test/10,miscellaneous,Other,A hard-edge painting is most likely to be characterized by,"an even, solid paint application",blurry color mixed on the painting's surface,scratchy brush marks clearly separated,translucent multiple layers of paint,A,[],[],[],[],[],[],-,False
miscellaneous/test/12,miscellaneous,Other,Which of the following lists includes minerals only?,"Granite, gabbro, diorite, quartz, feldspar","Gold, quartz, topaz, diamond, corundum","Gneiss, schist, phyllite, chlorite, mica","Coal, chert, limestone, dolomite, halite",B,[],[],[],[],[],[],-,False
miscellaneous/test/13,miscellaneous,Other,Which of the following is a likely outcome of the development and use of genetically modified plants?,Reduced cost of plant seeds,New plant varieties being patented,Increased genetic diversity within a planted field,Less oversight and fewer regulations than for unmodified crops,B,[],[],[],[],[],[],-,False
miscellaneous/test/14,miscellaneous,Other,"A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?",Plot sequence,Point of view,Character development,Setting,A,[],[],[],[],[],[],-,False
miscellaneous/test/16,miscellaneous,Other,Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?,"A grayish, milky fluid",Excessive fluid use,Excessive thinning of the fluid,A noisy relief valve,A,[],[],[],[],[],[],-,False
miscellaneous/test/18,miscellaneous,Other,Which of the following is part of a farm combine?,Beater,Conditioner,Seed plate,Furrow opener,A,[],[],[],[],[],[],-,False
miscellaneous/test/19,miscellaneous,Other,According to legend in what country are you most likely to meet a leprechaun?,Ireland,Poland,Greenland,Scotland,A,[],[],[],[],[],[],-,False
miscellaneous/test/20,miscellaneous,Other,During which of the following processes within the hydrologic cycle do water molecules absorb energy?,Formation of ice from water,Formation of a cloud from water vapor,Runoff along the land surface,Evaporation from the ocean surface,D,[],[],[],[],[],[],-,False
miscellaneous/test/42,miscellaneous,Other,Which of the following actions is most important before removing the blade from a gas-powered lawn mower?,Adjusting the wheels to their highest level,Removing the spark plug,Emptying the gas tank,Removing the air filter,B,[],[],[],[],[],[],-,False
miscellaneous/test/43,miscellaneous,Other,Which of the following is a force that is most responsible for causing a fixed-wing aircraft to move forward?,Lift,Drag,Thrust,Weight,C,[],[],[],[],[],[],-,False
miscellaneous/test/44,miscellaneous,Other,Which of the following heavenly bodies have never had a spacecraft landed on it?,Venus,Mars,The Moon,Jupiter,D,[],[],[],[],[],[],-,False
miscellaneous/test/46,miscellaneous,Other,Which of the following is an example of persuasive speech?,A campaign manager's introduction of a mayoral candidate,A professor's lecture on the structure of the heart,A company president's yearly sales report,A tour guide's discussion of an art museum installation,A,[],[],[],[],[],[],-,False
miscellaneous/test/60,miscellaneous,Other,"As seen from Earth, the Moon goes through a series of phases due to changes in which of the following?",The amount of the Moon's surface that is in Earth's shadow,The amount of the illuminated side of the Moon that can be seen from Earth,The part of the Moon that faces Earth as the Moon rotates on its axis,The tilt of the Moon on its axis,B,[],[],[],[],[],[],-,False
miscellaneous/test/61,miscellaneous,Other,In which of the following fields did Islamic civilization most influence Europeans at the time of the Crusades?,Music,Theology,Mathematics,Law,C,[],[],[],[],[],[],-,False
miscellaneous/test/62,miscellaneous,Other,Which of the following is not a flavor of Ben & Jerry's Ice Cream?,Wavy Gravy,Bovinity Divinity,Cutie Patootie,Chubby Hubby,C,[],[],[],[],[],[],-,False
miscellaneous/test/63,miscellaneous,Other,Which of the following terms refers to the use of distortion to create the illusion of an object extending into space?,Cantilevering,Contrapposto,Sfumato,Foreshortening,D,[],[],[],[],[],[],-,False
miscellaneous/test/70,miscellaneous,Other,The accumulation of stress along the boundaries of lithospheric plates results in which of the following?,Earthquakes,Magnetic reversals,Hurricanes,Increased deposition of deep-sea sediments,A,[],[],[],[],[],[],-,False
miscellaneous/test/72,miscellaneous,Other,Which of the following geometric shapes is most commonly used to give strength to the structure of truss bridges?,Circle,Triangle,Hexagon,Rectangle,B,[],[],[],[],[],[],-,False
miscellaneous/test/75,miscellaneous,Other,"After a visit to a rescue squad, Ms. Espinosa asks her 3-year-old students to help her write a thank-you letter to the rescue squad employees. She records the students' responses on a large sheet of chart paper as the students share their ideas. While writing, Ms. Espinosa focuses the students' attention on several early literacy skills. Which of the following is the most appropriate focus for 3-year-old students?",Paraphrasing ideas,Spelling words correctly,Expressing speech in print,Capitalizing proper nouns,C,[],[],[],[],[],[],-,False
miscellaneous/test/77,miscellaneous,Other,"A well on the side of a hill penetrates the water table at an elevation of 550 feet above sea level. If someone plans to drill on the top of the hill, where would the water table most likely be found?",The water table would be found at sea level.,The water table would be found at an elevation lower than 550 feet above sea level but above sea level.,The water table would be found at an elevation higher than 550 feet above sea level but many feet below the land surface.,"The water table would intersect with the land surface at the top of the hill, forming a spring.",C,"['none', 'none', 'none', 'dialect', 'none', 'regional', 'cultural']","['No', 'No', 'No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-', {'end': 83, 'label': 'Geographic', 'score': None, 'start': 75}, {'end': 83, 'label': 'Cultural', 'score': None, 'start': 75}]",['Western Culture'],[],[],CA,True
miscellaneous/test/78,miscellaneous,Other,Before he went into coaching Phil Jackson played for which of the following NBA teams?,Boston Celtics,Los Angeles Lakers,New York Knicks,Philadelphia 76ers,C,[],[],[],[],[],[],-,False
miscellaneous/test/84,miscellaneous,Other,Which of the following terms refers to the process of using thick applications of paint?,Scumbling,Alla prima,Impasto,Frottage,C,[],[],[],[],[],[],-,False
miscellaneous/test/90,miscellaneous,Other,Which of the following best describes an effect of the green revolution in the 1960s?,Increased varieties of each crop planted,Increased use of fertilizers,Decreased use of mechanization,Decreased use of pesticides,B,[],[],[],[],[],[],-,False
miscellaneous/test/95,miscellaneous,Other,Which of the following terms refers to Archaic Greek statues whose poses—rigidly frontal with clenched fists—recall the stance of ancient Egyptian statues?,Caryatids,Telamones,Discoboloi,Kouroi,D,[],[],[],[],[],[],-,False
miscellaneous/test/99,miscellaneous,Other,Which of the following is an example of a concurrent power?,The printing and coining of money,The power to declare war,The process of naturalization,The levying of taxes,D,[],[],[],[],[],[],-,False
