sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
professional_medicine/test/48,professional_medicine,Medical,"A 30-year-old woman, gravida 2, para 0, aborta 1, at 28 weeks' gestation comes to the office for a prenatal visit. She has had one previous pregnancy resulting in a spontaneous abortion at 12 weeks' gestation. Today, her vital signs are within normal limits. Physical examination shows a uterus consistent in size with a 28-week gestation. Fetal ultrasonography shows a male fetus with no abnormalities. Her blood group is O, Rh-negative. The father's blood group is B, Rh-positive. The physician recommends administration of Rho",immune globulin to the patient. This treatment is most likely to prevent which of the following in this mother?,Development of natural killer cells,Development of polycythemia,Formation of antibodies to RhD,C,[],[],[],[],[],[],-,False
professional_medicine/test/108,professional_medicine,Medical,"A 64-year-old male presents to the emergency room with a bloody nose that has been dripping out his nares for the past 2 hours. He denies any trauma, recent upper respiratory illness, or history of prior bloody nose. Past medical history is unremarkable, and he takes no medications. He has a blood pressure of 180/90 mmHg. Examination of the nasal passages reveals that the site of the bleeding is on the septal mucosa of the right naris. The most appropriate next step in management includes",anterior packing,placing an ice compress over the nose,catheter balloon tamponade,pinching the nares together for 5 minutes,D,[],[],[],[],[],[],-,False
professional_medicine/test/133,professional_medicine,Medical,"A 25-year-old gravida 3 para 2 female is admitted to the hospital at 39 weeks' gestation in active labor. She had been having regular contractions every 4 minutes, but is now having only a few intermittent, weak contractions. She has received medication for pain twice in the past 6 hours. Examination shows no reason for obstructed labor. The fetal head is engaged, the membranes are intact, the fetal heart tones are normal, and the cervix is 100% effaced and 7 cm dilated. The most appropriate management is to",administer an epidural anesthetic,administer tocolytic therapy,apply cervical topical corticosteroids,augment the labor with oxytocin,D,[],[],[],[],[],[],-,False
professional_medicine/test/146,professional_medicine,Medical,A 68-year-old female has a history of breast cancer that has recurred twice in the past 5 years. She has undergone both radiation and chemotherapy for metastatic carcinoma to the bone. She presents to the office today to ask for help in dealing with midthoracic back pain to enable her to use less analgesic agents. The most appropriate osteopathic manipulative technique to treat this patient's spine is,"high velocity, low amplitude",indirect myofascial release,isotonic exercise therapy,"mid velocity, mid amplitude",B,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
professional_medicine/test/155,professional_medicine,Medical,"A 2-month-old female is brought to the office for her first routine health maintenance examination and for her immunization update. In order to determine whether or not any contraindications exist for diphtheria, tetanus, pertussis (DtaP) immunization, the parents should be questioned regarding",allergy to eggs,Apgar scores at birth,gestational age at birth,previous seizures,D,[],[],[],[],[],[],-,False
professional_medicine/test/158,professional_medicine,Medical,"A 78-year-old male presents to the office with the complaint of severe neck pain. He rates the pain as a 7 on a scale of 0 to 10 scale. He denies any trauma but reports that he had been doing a lot of painting over the past week. He denies any radicular pain or numbness. Cervical range of motion is moderately limited in all fields. He is treated with articulatory springing technique. Four hours later the physician receives a call from the local emergency department, where the patient presented confused, nauseated, and vertiginous. The physician may be found liable if",the motion barrier was articulated more than 3 times,the motion barrier was met with a vectored force from the direction of ease,the neck was treated in simultaneous hyperrotation and extension,the patient was previously treated for osteoarthritis of the cervical spine,C,[],[],[],[],[],[],-,False
professional_medicine/test/166,professional_medicine,Medical,"A 15-year-old male presents to the office with the complaint of painless swelling in the left testicle that has varied in size over the past several months. There is no history of trauma. The lesion transilluminates well, and no inguinal nodes are palpable. Findings from a testicular scan are normal. The most appropriate management includes",injection with a sclerosing agent,needle aspiration,needle biopsy,surgical repair,D,[],[],[],[],[],[],-,False
professional_medicine/test/182,professional_medicine,Medical,"A 44-year-old female presents to the office for evaluation of a lump on her neck that she noted 1 week ago. She denies any tenderness, fever, weight loss, or fatigue. Physical examination reveals a 2-cm freely movable mass in the lower left lobe of the thyroid. In addition to thyroid-stimulating hormone and free thyroxine levels, the most appropriate initial method to investigate this lesion is",a nuclear thyroid scan,an iodine131 scan,fine-needle aspiration,ultrasonography of the thyroid gland,D,[],[],[],[],[],[],-,False
professional_medicine/test/191,professional_medicine,Medical,"A 22-year-old male college student presents to the office with a 6-month history of intermittent loose stools alternating with constipation. He says that he has been constipated for the past 5 days and denies hematochezia and melena. He says that he usually has loose stools during final exam week. Vital signs are normal. Physical examination reveals mild diffuse abdominal tenderness, and the remainder of the findings are normal. Where does the sympathetic innervation for the viscera involved in this patient's condition originate?",C1-C2,T1-T4,T7-L2,L3-L5,C,[],[],[],[],[],[],-,False
professional_medicine/test/200,professional_medicine,Medical,An 18-year-old female presents to the office with a 3-day history of lower abdominal pain and a 2-day history of fever. She reports frequent unprotected sexual intercourse with different partners since she started college 4 months ago. Abdominal examination reveals suprapubic tenderness. Bimanual examination of the uterus reveals more intense tenderness. Swabs of cervical mucus are obtained. This patient should be given antimicrobial chemotherapy to provide treatment for,Candida albicans and Chlamydia trachomatis,Chlamydia trachomatis and Neisseria gonorrhoeae,Chlamydia trachomatis and Treponema pallidum,Gardnerella vaginalis and Mobiluncus species,B,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
