sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
miscellaneous/test/0,miscellaneous,Other,An important source of information on the credit rating of retail businesses is,the Retail Merchants Association,the local chamber of commerce,"Dun & Bradstreet, Inc.",the United States Retail Credit Association,C,[],[],[],[],[],[],-,False
miscellaneous/test/1,miscellaneous,Other,"In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy?",Conferencing,Discipline-based inquiry,Self-Regulated Strategy Development,Introduction-Body-Conclusion strategy,B,[],[],[],[],[],[],-,False
miscellaneous/test/2,miscellaneous,Other,Paper will burn at approximately what temperature in Fahrenheit?,986 degrees,2125 degrees,3985 degrees,451 degrees,D,[],[],[],[],[],[],-,False
miscellaneous/test/3,miscellaneous,Other,The Apple iMac computer is available in all of the following colors except which?,Tangerine,Strawberry,Kiwi,Grape,C,"['none', 'none', 'none', 'cultural']","['No', 'Yes', 'No', 'Yes']","['-', '-', '-', '-']",['Western Culture'],[],[],CA,True
miscellaneous/test/4,miscellaneous,Other,What were the first names of the early American explorers Lewisand Clark?,Morgan and Mason,Meriwether and William,Cabot and Joseph,Meredith and George,B,[],[],[],[],[],[],-,False
miscellaneous/test/5,miscellaneous,Other,"A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described?",Direct instruction,Literature circle,Guided reading,Read-aloud,C,[],[],[],[],[],[],-,False
miscellaneous/test/6,miscellaneous,Other,What is varicella?,a fancy pasta,a type of opera,the chicken pox virus,ancient Roman poetry,C,[],[],[],[],[],[],-,False
miscellaneous/test/7,miscellaneous,Other,Which of the following materials has a resistance that is LEAST affected by temperature changes?,Copper,Carbon,Germanium,Silicon,A,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
miscellaneous/test/8,miscellaneous,Other,A second-year college student is usually called a what?,sophomore,senior,freshman,junior,A,[],[],[],[],[],[],-,False
miscellaneous/test/9,miscellaneous,Other,In the film 'The Talented Mr Ripley' who plays Mr Ripley?,Jude Law,Matt Damon,Dustin Hoffman,Ben Affleck,B,[],[],[],[],[],[],-,False
miscellaneous/test/10,miscellaneous,Other,A hard-edge painting is most likely to be characterized by,"an even, solid paint application",blurry color mixed on the painting's surface,scratchy brush marks clearly separated,translucent multiple layers of paint,A,[],[],[],[],[],[],-,False
miscellaneous/test/11,miscellaneous,Other,Who was president of the United States when Bill Clinton was born?,Herbert Hoover,Harry S Truman,Franklin Roosevelt,Dwight Eisenhower,B,[],[],[],[],[],[],-,False
miscellaneous/test/12,miscellaneous,Other,Which of the following lists includes minerals only?,"Granite, gabbro, diorite, quartz, feldspar","Gold, quartz, topaz, diamond, corundum","Gneiss, schist, phyllite, chlorite, mica","Coal, chert, limestone, dolomite, halite",B,[],[],[],[],[],[],-,False
miscellaneous/test/13,miscellaneous,Other,Which of the following is a likely outcome of the development and use of genetically modified plants?,Reduced cost of plant seeds,New plant varieties being patented,Increased genetic diversity within a planted field,Less oversight and fewer regulations than for unmodified crops,B,[],[],[],[],[],[],-,False
miscellaneous/test/14,miscellaneous,Other,"A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?",Plot sequence,Point of view,Character development,Setting,A,[],[],[],[],[],[],-,False
miscellaneous/test/15,miscellaneous,Other,"Which movie popularized the phrase ""You talkin' to me?""",Ghost Busters,Taxi Driver,Joker,Groundhog Day,B,"['cultural', 'cultural', 'regional', 'cultural']","['No', 'No', 'No', 'No']","[{'end': 11, 'label': 'Cultural', 'score': None, 'start': 0}, {'end': 53, 'label': 'Cultural', 'score': None, 'start': 36}, {'end': 55, 'label': 'Geographic', 'score': None, 'start': 35}, {'end': 34, 'label': 'Cultural', 'score': None, 'start': 6}]","['Western Culture', 'Western Culture', 'Western Culture', 'Western Culture']",['North America'],"['United States of America (USA)', 'United States of America (USA)']",CS,True
miscellaneous/test/16,miscellaneous,Other,Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?,"A grayish, milky fluid",Excessive fluid use,Excessive thinning of the fluid,A noisy relief valve,A,[],[],[],[],[],[],-,False
miscellaneous/test/17,miscellaneous,Other,What animal represents the year 2000 on the Chinese calendar?,dragon,rabbit,tiger,monkey,A,[],[],[],[],[],[],-,False
miscellaneous/test/18,miscellaneous,Other,Which of the following is part of a farm combine?,Beater,Conditioner,Seed plate,Furrow opener,A,[],[],[],[],[],[],-,False
miscellaneous/test/19,miscellaneous,Other,According to legend in what country are you most likely to meet a leprechaun?,Ireland,Poland,Greenland,Scotland,A,[],[],[],[],[],[],-,False
