sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
prehistory/test/4,prehistory,Humanities,"At its peak, the palace at Knossos is thought to have had over _________ rooms.",100,500,"1,000","5,000",C,[],[],[],[],[],[],-,False
prehistory/test/5,prehistory,Humanities,"The Hopewell were complex rank societies, but they were not a state. Hopewell culture lacked all of the following elements EXCEPT:",formal government,monumental earthworks,urban centers,a permanent military,B,[],[],[],[],[],[],-,False
prehistory/test/7,prehistory,Humanities,The 30 upright stones at Stonehenge are called _______; the horizontal stones are _________.,"legumes, sarsens","lintels, stelae","sarsens, lintels","trilithon, tholoi",C,[],[],[],[],[],[],-,False
prehistory/test/10,prehistory,Humanities,Which of the following is evidence of new uses for plants during the Middle Stone Age?,the use of seeds as a natural insecticide in Altamira cave in southwestern Europe,plant materials such as flowers in Aurignacian burials in southern France,plant material lining the floor of Sibudu Cave in South Africa,the use of wood in the Gravettian tradition to make spear-throwers and canoes,C,[],[],[],[],[],[],-,False
prehistory/test/12,prehistory,Humanities,"Toward the end of the Pleistocene, between 28,000 and 18,000 years ago, worldwide sea level was much lower than present day, resulting in the exposure of a landmass east of Siberia called __________. This period is called the _______.",Beringia; Late Beringian Period,Sundaland; McKenzie Maximum,Beringia; Late Glacial Maximum,Wallacea; Late Laurentide Period,C,[],[],[],[],[],[],-,False
prehistory/test/13,prehistory,Humanities,Which archaeological method is best for identifying large-scale land modifications?,test pits,ground-penetrating radar,aerial photography,proton magnetometers,C,[],[],[],[],[],[],-,False
prehistory/test/20,prehistory,Humanities,"The _______ developed one of the earliest kingdoms in South America, reaching its height at around _________.",Moche; AD 400,Wari; AD 100,Inca; AD 200,Maya; AD 400,A,[],[],[],[],[],[],-,False
prehistory/test/22,prehistory,Humanities,Which of the following is used to remove the soil enclosing site materials?,brushes,trowels,dental picks,all of the above,D,[],[],[],[],[],[],-,False
prehistory/test/34,prehistory,Humanities,Which of the following is evidence of a complex society?,monumental works,burials with grave goods,leisure and a sedentary lifestyle,all of the above,A,[],[],[],[],[],[],-,False
prehistory/test/35,prehistory,Humanities,"The face of Homo erectus was more ________ than modern humans, but less so than Homo habilis.",altricial,hairy,occipital,prognathous,D,[],[],[],[],[],[],-,False
prehistory/test/36,prehistory,Humanities,Montezuma ruled over millions of people from the _______ capital of _____.,Maya; Tikal.,Aztec; Tenochtitlán.,Teotihuacános; Teotihuacán.,Zapotec; Monte Albán.,B,[],[],[],[],[],[],-,False
