sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
public_relations/test/0,public_relations,Social Sciences,Which common public relations tactic involves sending journalists on visits to appropriate locations?,Media release,Media tour,Press room,Promotional days/weeks,B,[],[],[],[],[],[],-,False
public_relations/test/1,public_relations,Social Sciences,"You are the vice president of public relations for a corporation that produces a well-known brand of food products. In the Albany, New York, market, one of your products has recently been found to have some contamination. While apparently not fatal, it has given a large number of consumers severe stomach cramps and other intestinal problems. The cause has been traced back to your product, which is sold throughout the nation. Your CEO wants to know what you would advise to keep the situation from becoming a public relations disaster. What should you recommend?",Quickly investigate to make certain your product is definitely the cause of the illness.,Stop all sales of the product throughout the nation and issue a recall for that product.,"Stop sales of the product in the Albany, New York, market and issue a recall for that product.","Issue a press release to the Albany, New York, market explaining how to treat the symptoms.",B,[],[],[],[],[],[],-,False
public_relations/test/3,public_relations,Social Sciences,In what year did the BBC start broadcasting radio?,1917,1922,1925,1927,B,"['regional', 'regional', 'none', 'regional']","['No', 'No', 'No', 'No']","[{'end': 24, 'label': 'Geographic', 'score': None, 'start': 21}, {'end': 24, 'label': 'Geographic', 'score': None, 'start': 21}, '-', '-']",[],['Europe'],"['United Kingdom (UK)', 'United Kingdom (UK)', 'United Kingdom (UK)']",CS,True
public_relations/test/5,public_relations,Social Sciences,Why should a successful public relations counselor continually review present and future realities for an organization?,to develop a vision statement,to interpret trends for management,to interpret the organization's business plan,to consider the role public relations might play,B,[],[],[],[],[],[],-,False
public_relations/test/7,public_relations,Social Sciences,"What two elements do the planning models of Hendrix (2002), Kendall (1999), Merston (1963) and Parkinson and Ekachai (2006) have in common?",Research and evaluation,Strategy and evaluation,Strategy and implementation,Objectives and implementation,A,[],[],[],[],[],[],-,False
public_relations/test/8,public_relations,Social Sciences,At which stage in the planning process are the objectives decided on?,Defining the program,Planning the program,Taking action and implementing ideas,Evaluation of the program,B,[],[],[],[],[],[],-,False
public_relations/test/10,public_relations,Social Sciences,How much has the number of practitioners working in consultancies in the UK grown since 25 years ago?,It hasn't,Doubled,Tripled,Quadrupled,C,[],[],[],[],[],[],-,False
public_relations/test/12,public_relations,Social Sciences,In what year did the BBC start broadcasting radio?,1917,1922,1925,1927,B,[],[],[],[],[],[],-,False
public_relations/test/13,public_relations,Social Sciences,How many regional newspapers are there in the UK?,270,600,"2,800","5,200",C,[],[],[],[],[],[],-,False
public_relations/test/14,public_relations,Social Sciences,"According to Esman (1972), which publics are related to the organisation through shared industrial interests?",Enabling,Functional,Normative,Diffused,C,[],[],[],[],[],[],-,False
