sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
miscellaneous/test/0,miscellaneous,Other,An important source of information on the credit rating of retail businesses is,the Retail Merchants Association,the local chamber of commerce,"Dun & Bradstreet, Inc.",the United States Retail Credit Association,C,[],[],[],[],[],[],-,False
miscellaneous/test/2,miscellaneous,Other,Paper will burn at approximately what temperature in Fahrenheit?,986 degrees,2125 degrees,3985 degrees,451 degrees,D,[],[],[],[],[],[],-,False
miscellaneous/test/4,miscellaneous,Other,What were the first names of the early American explorers Lewisand Clark?,Morgan and Mason,Meriwether and William,Cabot and Joseph,Meredith and George,B,[],[],[],[],[],[],-,False
miscellaneous/test/6,miscellaneous,Other,What is varicella?,a fancy pasta,a type of opera,the chicken pox virus,ancient Roman poetry,C,[],[],[],[],[],[],-,False
miscellaneous/test/8,miscellaneous,Other,A second-year college student is usually called a what?,sophomore,senior,freshman,junior,A,[],[],[],[],[],[],-,False
miscellaneous/test/9,miscellaneous,Other,In the film 'The Talented Mr Ripley' who plays Mr Ripley?,Jude Law,Matt Damon,Dustin Hoffman,Ben Affleck,B,[],[],[],[],[],[],-,False
miscellaneous/test/11,miscellaneous,Other,Who was president of the United States when Bill Clinton was born?,Herbert Hoover,Harry S Truman,Franklin Roosevelt,Dwight Eisenhower,B,[],[],[],[],[],[],-,False
miscellaneous/test/15,miscellaneous,Other,"Which movie popularized the phrase ""You talkin' to me?""",Ghost Busters,Taxi Driver,Joker,Groundhog Day,B,"['cultural', 'cultural', 'regional', 'cultural']","['No', 'No', 'No', 'No']","[{'end': 11, 'label': 'Cultural', 'score': None, 'start': 0}, {'end': 53, 'label': 'Cultural', 'score': None, 'start': 36}, {'end': 55, 'label': 'Geographic', 'score': None, 'start': 35}, {'end': 34, 'label': 'Cultural', 'score': None, 'start': 6}]","['Western Culture', 'Western Culture', 'Western Culture', 'Western Culture']",['North America'],"['United States of America (USA)', 'United States of America (USA)']",CS,True
miscellaneous/test/17,miscellaneous,Other,What animal represents the year 2000 on the Chinese calendar?,dragon,rabbit,tiger,monkey,A,[],[],[],[],[],[],-,False
miscellaneous/test/21,miscellaneous,Other,What French city is home to a famous international film festival each spring?,Cannes,Marseille,Dijon,Lyon,A,[],[],[],[],[],[],-,False
miscellaneous/test/22,miscellaneous,Other,What do you call three consecutive strikes in bowling?,yahtzee,mulligan,turkey,ace,C,[],[],[],[],[],[],-,False
miscellaneous/test/23,miscellaneous,Other,Which of the boys on the TV show 'My Three Sons' is adopted?,Mike,Ernie,Chip,Robbie,B,[],[],[],[],[],[],-,False
miscellaneous/test/24,miscellaneous,Other,Which of these horror films spawned the most sequels?,Scream',Jaws',Halloween',Friday the 13th',D,[],[],[],[],[],[],-,False
miscellaneous/test/25,miscellaneous,Other,What is the name of the female character played by comedian Flip Wilson on his 1970s TV show?,Miss Jackie,Elizabeth Sanford,Geraldine Jones,Gladys Knight,C,[],[],[],[],[],[],-,False
miscellaneous/test/26,miscellaneous,Other,What kind of animal is a peregrine?,moose,cat,bird,fish,C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
miscellaneous/test/27,miscellaneous,Other,What part of the human body does a gastroenterologist examine?,Brain,Skeleton,Stomach,Nose,C,[],[],[],[],[],[],-,False
miscellaneous/test/28,miscellaneous,Other,A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination?,Blue,Green,Red,Black,D,[],[],[],[],[],[],-,False
miscellaneous/test/29,miscellaneous,Other,Meat should be kept frozen at what temperature in degrees Fahrenheit?,0 degrees or below,between 10 and 20 degrees,between 20 and 30 degrees,just below 32 degrees,A,[],[],[],[],[],[],-,False
miscellaneous/test/30,miscellaneous,Other,What kind of animal is cartoon character Tennessee Tuxedo?,cat,skunk,walrus,penguin,D,[],[],[],[],[],[],-,False
miscellaneous/test/31,miscellaneous,Other,What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,Calvin Coolidge,Harry Truman,Herbert Hoover,Richard Nixon,C,[],[],[],[],[],[],-,False
miscellaneous/test/32,miscellaneous,Other,What is the heaviest confirmed noble gas?,Xenon,Argon,Radon,Krypton,C,[],[],[],[],[],[],-,False
miscellaneous/test/33,miscellaneous,Other,How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,1 mol,2 mol,3 mol,6 mol,D,[],[],[],[],[],[],-,False
miscellaneous/test/34,miscellaneous,Other,Who led the 1831 slave insurrection in SouthamptonVirginia?,John Brown,Dred Scott,Nat Turner,Harriet Tubman,C,[],[],[],[],[],[],-,False
miscellaneous/test/35,miscellaneous,Other,For what purpose would you use an awl?,to shoot ducks,to polish floors,to make holes,to weigh fruit,C,[],[],[],[],[],[],-,False
miscellaneous/test/36,miscellaneous,Other,Which of these bones is located in the wrist?,Patella,Humerus,Carpals,Coccyx,C,[],[],[],[],[],[],-,False
miscellaneous/test/37,miscellaneous,Other,What do you call a young cow?,mare,lamb,kid,calf,D,[],[],[],[],[],[],-,False
miscellaneous/test/38,miscellaneous,Other,Which of these is an Italian Design firm?,Escada,Fendi,Ghost,Mainbocher,B,[],[],[],[],[],[],-,False
miscellaneous/test/39,miscellaneous,Other,Operant conditioning would be most useful for,determining whether a toddler is securely attached,increasing on-task behavior in the classroom,measuring a dependent variable,preventing anterograde amnesia,B,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
miscellaneous/test/40,miscellaneous,Other,Which of these countries was not a member of the Axis alliance during World War II?,Germany,Italy,Spain,Japan,C,[],[],[],[],[],[],-,False
miscellaneous/test/41,miscellaneous,Other,The demand for labor is called derived demand because it is,dependent on the demand for the final product that the labor is used to produce,inversely related to the wage rate,dependent on the availability of capital goods,directly related to the marginal utility of working,A,[],[],[],[],[],[],-,False
