sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
high_school_psychology/test/0,high_school_psychology,Social Sciences,Nearsightedness results from,too much curvature of the cornea and lens,too little curvature of the cornea and lens,too much curvature of the iris and lens,too little curvature of the iris and lens,A,[],[],[],[],[],[],-,False
high_school_psychology/test/1,high_school_psychology,Social Sciences,Delusions of grandeur are most characteristic of,OCD.,schizophrenia.,conversion disorder.,antisocial personality disorder.,B,[],[],[],[],[],[],-,False
high_school_psychology/test/3,high_school_psychology,Social Sciences,"In test construction and evaluation, validity refers to the degree to which a test",measures what it purports to measure,yields consistent results on successive administrations,has been piloted and statistically analyzed,includes norms based on a representative sample of the general population,A,[],[],[],[],[],[],-,False
high_school_psychology/test/4,high_school_psychology,Social Sciences,The precedent established in Larry P. v. Riles resulted in,"the provision of a free, appropriate public education for students with disabilities",the provision of bilingual education for English-language learners,schools being held responsible for providing tests that do not discriminate on the basis of race,the assignment of similar funding to athletic activities for boys and girls,C,[],[],[],[],[],[],-,False
high_school_psychology/test/5,high_school_psychology,Social Sciences,The heritability for traits of a cloned population is,0%,25%,50%,75%,A,[],[],[],[],[],[],-,False
high_school_psychology/test/8,high_school_psychology,Social Sciences,"Dan read a list of 30 vocabulary words only once. If he is typical and shows the serial position effect, we would expect that the words he remembers two days later are",at the beginning of the list,in the middle of the list,at the end of the list,distributed throughout the list,A,[],[],[],[],[],[],-,False
high_school_psychology/test/9,high_school_psychology,Social Sciences,"Which developmental stage theory explained how experiences in infancy, childhood, adolscence, adulthood, and old age influence later personality characteristics?",Piaget's cognitive development theory,Erikson's psychosocial stage theory,Kohlberg's moral development theory,Ainsworth's social attachment theory,B,[],[],[],[],[],[],-,False
high_school_psychology/test/11,high_school_psychology,Social Sciences,Our ability to perceive depth depends primarily on what other perceptual abilities?,proximity and similarity,top-down processing and bottom-up processing,binocular and monocular cues,size and shape constancy,C,[],[],[],[],[],[],-,False
high_school_psychology/test/12,high_school_psychology,Social Sciences,A person who sustains major injuries that involve the destruction of the medulla oblongata will,be paralyzed,fall into a coma,suffer severe speech impairment,die,D,[],[],[],[],[],[],-,False
high_school_psychology/test/18,high_school_psychology,Social Sciences,Substances that are toxic to humans often taste,sour,sweet,salty,bitter,D,[],[],[],[],[],[],-,False
high_school_psychology/test/22,high_school_psychology,Social Sciences,"Susan is a first-grade student who is referred to the school psychologist because she will not remain seated at her desk. Her teacher reports that Susan is ""always getting up and walking around the room."" What observation data is LEAST relevant to the referral concern?",Frequency,Duration,Intensity,Peer comparison,C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
high_school_psychology/test/23,high_school_psychology,Social Sciences,"In order to prove a psychological theory,",you need to run an experiment.,you need to find statistically significant results.,you must replicate your findings.,it is impossible to prove a theory.,D,[],[],[],[],[],[],-,False
high_school_psychology/test/27,high_school_psychology,Social Sciences,Runners in a park were found to pick up their pace when another runner came into view; this finding illustrates the phenomenon of,social facilitation.,conformity.,deindividuation.,norms.,A,[],[],[],[],[],[],-,False
high_school_psychology/test/28,high_school_psychology,Social Sciences,"A researcher tests the problem solving skills of twenty 10-year-old, twenty 20-year-old, and twenty 30-year-old participants for a study on age and problem solving. What research method is this researcher using?",longitudinal,stage,developmental,cross-sectional,D,[],[],[],[],[],[],-,False
