sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
high_school_psychology/test/2,high_school_psychology,Social Sciences,Abraham Maslow proposed the idea that some motives are more imperative to survival than others. Which of the following approaches expresses this?,Homeostatic regulation,Goal-setting,Expectancy-value,Hierarchy of needs,D,[],[],[],[],[],[],-,False
high_school_psychology/test/6,high_school_psychology,Social Sciences,Which of the following statistics provides the most information about how spread out a distribution of scores is?,variance,mean,range,median,A,[],[],[],[],[],[],-,False
high_school_psychology/test/7,high_school_psychology,Social Sciences,"According to the position statement Supervision in School Psychology published by the National Association of School Psychologists (NASP), which of the following is most accurate concerning school psychologists who will be supervising in a school district?",They need provide supervision only to school psychologists who are not fully certified or licensed and to any school psychology interns.,They should provide professional but not administrative supervision.,They are eligible to serve as supervisors after one year of experience as a school psychologist.,They should hold the Nationally Certified School Psychologist credential or the state school psychologist credential.,D,[],[],[],[],[],[],-,False
high_school_psychology/test/10,high_school_psychology,Social Sciences,The AP Psychology examination given by the College Board in May exemplifies which of the following types of tests?,aptitude,projective,achievement,intelligence,C,[],[],[],[],[],[],-,False
high_school_psychology/test/13,high_school_psychology,Social Sciences,Which of the following terms applies to IQ tests?,achievement,standardized,projective,triarchic,B,[],[],[],[],[],[],-,False
high_school_psychology/test/14,high_school_psychology,Social Sciences,"Which classical conditioning term best describes the following scenario: Later in his classical conditioning experiments, Ivan Pavlov's dogs began to salivate whenever they heard any sound similar to a bell, such as a doorbell or someone accidentally clinking a water glass.",discrimination,spontaneous recovery,trace conditioning,generalization,D,[],[],[],[],[],[],-,False
high_school_psychology/test/15,high_school_psychology,Social Sciences,"Sal meets Petunia for the first time. She is outgoing and funny. He walks away with the opinion that Petunia is a fun person, whereas in actuality Petunia is temporarily gleeful because she just won the lottery. Sal's opinion that Petunia is funny is best explained by",the mere-exposure effect.,self-serving bias.,equipotentiality.,the fundamental attribution error.,D,[],[],[],[],[],[],-,False
high_school_psychology/test/16,high_school_psychology,Social Sciences,All of the following are examples of punishment EXCEPT,grounding a teenager for staying out past curfew,spanking a child for misbehavior,permanently revoking the driving privileges of a third-time DWI driver,refusing to return the boss' phone call after not getting the expected raise,D,[],[],[],[],[],[],-,False
high_school_psychology/test/17,high_school_psychology,Social Sciences,Which of the following must be done when universal screening data show that very few students are successfully meeting school competencies?,Changes must be made in the delivery of the core program.,Students who are not meeting competencies must be given strategic or supplemental instruction.,Students must be given more time to develop competencies.,Students who are not meeting competencies must be evaluated for learning disabilities.,A,[],[],[],[],[],[],-,False
high_school_psychology/test/19,high_school_psychology,Social Sciences,All public institutions subscribe to all of the following ethical guidelines EXCEPT,avoiding unnecessary deception to humans,avoiding unnecessary pain to humans and other animals,avoiding use of animals when computers are available,protecting confidentiality,C,[],[],[],[],[],[],-,False
high_school_psychology/test/20,high_school_psychology,Social Sciences,Which of the following kinds of tests is most likely to be an achievement test?,an IQ test,a classroom test over a chapter in a textbook,an entrance exam for law school,a personality test based on the Big Five personality traits,B,[],[],[],[],[],[],-,False
